OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.500333	0.501667	0.903333	0
0.500333	0.515333	0.912333	0
0.5	0.504667	0.907	0
0.501667	0.516667	0.915333	0
0.500667	0.504	0.909	0
0.500333	0.516333	0.913667	0
0.501333	0.505667	0.911	0
0.501333	0.505	0.909667	0
0.500667	0.503	0.906333	0
0.501333	0.503667	0.909333	0
0.500333	0.515	0.912	0
0.500667	0.515333	0.912667	0
0.500333	0.514667	0.910667	0
0.501	0.507667	0.911667	0
0.501333	0.516667	0.914667	0
0.500333	0.505667	0.909333	0
0.500667	0.51	0.911667	0
0.501667	0.503	0.906667	0
0.502	0.505	0.911	0
0.501333	0.503333	0.908667	0
0.500333	0.501	0.901667	0
0.500333	0.507667	0.910333	0
0.500667	0.515667	0.913	0
0.501	0.516	0.914	0
0.501667	0.516333	0.915	0
0.5	0.516333	0.913	0
0.501333	0.502333	0.905667	0
0.500333	0.503	0.906	0
0.500667	0.503333	0.907333	0
0.501667	0.504	0.909667	0
0.500667	0.505333	0.909333	0
0.500667	0.505667	0.910667	0
0.5	0.501333	0.902	0
0.500333	0.501333	0.902667	0
0.501333	0.505333	0.910333	0
0.501	0.514333	0.913	0
0.501	0.514	0.912333	0
0.500333	0.503667	0.907667	0
0.500667	0.515	0.912333	0
0.501	0.507333	0.911	0
0.501333	0.507333	0.911333	0
0.500333	0.506	0.909667	0
0.501	0.51	0.912	0
0.502	0.504333	0.91	0
0.502	0.504667	0.910667	0
0.502333	0.504667	0.911	1
0.501667	0.505667	0.911667	0
0.501	0.503667	0.908667	0
0.501	0.502333	0.904333	0
0.500667	0.502667	0.905667	0
0.500333	0.503333	0.907	0
