OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.503667	0.896333	0
0.500333	0.502	0.895667	0
0.500667	0.501	0.892333	0
0.5	0.501667	0.891333	0
0.500667	0.502333	0.897667	0
0.500667	0.501333	0.894	0
0.501333	0.502667	0.898667	0
0.502	0.506333	0.903	0
0.501667	0.506667	0.903	0
0.501333	0.506333	0.902333	0
0.500667	0.501667	0.896667	0
0.501667	0.503667	0.900667	0
0.501667	0.504333	0.901667	0
0.502667	0.508333	0.907333	0
0.500667	0.507667	0.905	0
0.501667	0.507333	0.905333	0
0.500333	0.501667	0.892	0
0.500667	0.508333	0.906	0
0.500333	0.508667	0.904667	0
0.502	0.508667	0.907	0
0.500667	0.503333	0.898667	0
0.500667	0.507333	0.904667	0
0.502	0.503333	0.899	0
0.500333	0.500667	0.890667	0
0.501	0.509333	0.908	0
0.502667	0.508	0.907	0
0.502333	0.508	0.906333	0
0.500333	0.503333	0.898	0
0.500333	0.504	0.900667	0
0.500333	0.507	0.903333	0
0.500333	0.507667	0.903667	0
0.500333	0.501333	0.891	0
0.502333	0.506667	0.903333	0
0.500667	0.505	0.901333	0
0.501	0.505667	0.902	0
0.502	0.507	0.905	1
0.501333	0.503667	0.900333	0
0.502667	0.507667	0.906667	0
0.501333	0.508333	0.906333	0
0.501	0.509	0.907333	0
0.500667	0.509333	0.907667	0
0.502333	0.508333	0.907	0
0.502	0.508	0.905667	0
0.500667	0.503667	0.899667	0
0.500667	0.506667	0.902667	0
