OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.515333	0.888333	0
0.500333	0.503	0.869	0
0.500333	0.502	0.862333	0
0.501333	0.506667	0.886667	0
0.5	0.516667	0.897333	0
0.500333	0.515333	0.897	0
0.501333	0.505333	0.877333	0
0.501333	0.515333	0.897667	0
0.500333	0.518333	0.899	0
0.500667	0.505	0.875	0
0.500667	0.515667	0.898	0
0.500667	0.515	0.897	0
0.500333	0.503333	0.869333	0
0.501	0.504667	0.874333	0
0.501	0.508	0.891	0
0.500667	0.506333	0.883667	0
0.500333	0.502667	0.866667	0
0.500667	0.51	0.893667	0
0.501333	0.516	0.899667	0
0.501	0.504333	0.871333	0
0.500333	0.502333	0.862667	0
0.500667	0.517	0.900667	0
0.501333	0.51	0.894333	0
0.501	0.507667	0.89	0
0.502333	0.508333	0.893	0
0.501333	0.504	0.871333	0
0.500333	0.507333	0.887	0
0.500667	0.502667	0.868333	0
0.501667	0.515	0.897333	0
0.502	0.506333	0.885333	0
0.501667	0.509667	0.895	1
0.500333	0.508	0.887667	0
0.500667	0.517333	0.901	0
0.500333	0.517667	0.898	0
0.501333	0.510333	0.895	0
0.501667	0.507667	0.890333	0
0.501	0.514333	0.896	0
0.500667	0.503667	0.87	0
0.501333	0.516667	0.901	0
0.502	0.51	0.895333	0
0.501	0.509333	0.893	0
0.501667	0.515667	0.9	0
0.500667	0.507667	0.889333	0
0.500667	0.516667	0.899333	0
0.501333	0.517333	0.902	0
0.500667	0.514333	0.895667	0
0.500333	0.518	0.898667	0
0.500333	0.505333	0.875	0
0.500333	0.515	0.896	0
0.501333	0.504333	0.873667	0
0.500667	0.508	0.890667	0
0.502	0.508667	0.893333	0
0.501333	0.514667	0.897	0
0.500333	0.517333	0.897667	0
0.501333	0.507333	0.889333	0
0.502	0.508333	0.892333	0
0.500667	0.509667	0.892667	0
0.500667	0.509333	0.892333	0
0.501	0.508667	0.892	0
0.502	0.516667	0.901333	0
0.501333	0.509667	0.894	0
0.502	0.516333	0.900333	0
0.502	0.517	0.902	0
0.500333	0.514667	0.894333	0
0.500667	0.502333	0.867667	0
0.500667	0.507	0.884667	0
0.5	0.506	0.874	0
0.500333	0.509333	0.89	0
0.501	0.507	0.886667	0
0.500667	0.514667	0.896667	0
0.500667	0.506	0.883333	0
0.501667	0.508667	0.893	0
0.501	0.51	0.894	0
0.501	0.511	0.894333	0
0.501	0.516667	0.900333	0
0.500333	0.509667	0.892333	0
0.501	0.509	0.892667	0
0.501333	0.515667	0.899	0
0.500667	0.518333	0.901667	0
0.500667	0.514	0.894667	0
0.502	0.509	0.893667	0
0.500333	0.514333	0.892667	0
0.501	0.516	0.898333	0
