OneWayAcc	TwoWayAcc	FourWayAcc	ChiMaxs	ChiSums	Best
0.514333	0.522	0.675	0.961054125753525	3.18092332078031	0
0.514333	0.521667	0.675	1.06542114387052	3.28458192580042	0
0.514333	0.521667	0.676333	1.17509296488377	3.98666616612297	0
0.514333	0.521667	0.677333	1.290514815456	4.00251179431537	0
0.514333	0.522667	0.678333	1.17509296488377	3.77728861321675	0
0.514	0.520667	0.676	1.290514815456	4.49730789738378	0
0.514	0.52	0.676667	1.40745794581470	4.61466227143847	1
0.514	0.520333	0.675	1.17422252143144	4.27128677978468	0
0.514	0.519667	0.673667	1.40745794581470	4.9266482959168	0
0.514667	0.521333	0.675667	1.28930030794645	4.28316889780896	0
0.513667	0.520333	0.674667	1.41030997312388	4.71840944214328	0
0.513667	0.521	0.676	1.66559275370741	4.67159441368758	0
0.513667	0.521333	0.675667	1.53533924504348	4.350585847541	0
0.514667	0.522	0.675667	0.962370389614384	3.29935554037887	0
0.514667	0.522333	0.676667	1.17422252143144	3.58341375864451	0
0.515667	0.523	0.676333	1.41062703196449	3.49125497709268	0
0.515333	0.523	0.676667	1.41062703196449	3.56786985832064	0
0.515667	0.520667	0.654	0.444126386325237	1.24886349445419	0
0.512667	0.519333	0.670333	1.94173328375841	4.12318316974491	0
0.512	0.519333	0.67	2.24142777219229	4.58902681879428	0
0.516333	0.52	0.663333	0.678663676837495	1.89271092774817	0
0.514667	0.520333	0.666667	1.17596371226380	3.72769467227867	0
0.514333	0.521333	0.674667	0.863500356702153	2.49466431050966	0
0.514333	0.521	0.674	0.862875995810964	2.42115905193007	0
0.516	0.521667	0.672667	0.682666666666667	2.17108395140245	0
0.515	0.523	0.671333	0.863875076293838	2.01210872260008	0
0.518	0.525	0.664	0.265545208875549	0.764967579309994	0
0.518667	0.524667	0.664667	0.215226085597059	0.447420989026768	0
0.519	0.525333	0.665333	0.130063265212384	0.368282605279006	0
0.519	0.525	0.665	0.130063265212384	0.304524284176128	0
0.518	0.525333	0.665	0.215857750858552	0.471860381923874	0
0.518333	0.525667	0.664667	0.170441611012814	0.368657639062806	0
0.520333	0.527333	0.676	0.768275925537618	1.24485095156269	0
0.518667	0.525333	0.676333	0.765682591850359	1.43421054430840	0
