OneWayAcc	TwoWayAcc	FourWayAcc	ChiMaxs	ChiSums	Best
0.511333	0.517667	0.668	1.52544385488382	4.1773461886765	0
0.516	0.521333	0.658333	0.445570776366231	1.20521465036668	0
0.517	0.525333	0.676333	0.765682591850359	1.93299326722871	0
0.512	0.517333	0.671667	2.24023872963181	5.0002968839446	0
0.515667	0.520333	0.663333	0.862002251282488	2.27576211267264	0
0.515	0.519667	0.665333	1.29005931218573	3.18232151388930	0
0.515667	0.520333	0.666333	1.17596371226380	2.91863036053747	0
0.516667	0.527333	0.666	0.449554514013027	0.901387201570617	0
0.514667	0.522333	0.673333	0.863875076293838	2.27680437676731	0
0.518	0.525333	0.663333	0.169767315810683	0.434857288899302	0
0.518333	0.526	0.677667	0.767096619136404	1.81524912780061	0
0.518333	0.525667	0.676667	0.767096619136404	1.51575434884606	0
0.518667	0.526	0.675667	0.678663676837495	1.37672291227046	0
0.518	0.525333	0.677	0.679885618119368	1.53512349404134	0
0.511667	0.518667	0.672	2.08377152488672	4.60896743635219	0
0.512333	0.519333	0.672333	2.24023872963181	4.94646000679676	0
0.515333	0.520333	0.664333	0.769219992624486	2.30760171830611	0
0.514	0.522	0.676333	1.17509296488377	3.78160030863798	0
0.512	0.517333	0.668	1.52544385488382	4.29793122981201	0
0.511333	0.517	0.666667	1.40397580740791	4.22782485955408	0
0.516667	0.523333	0.661333	0.383916036440987	0.90001178647078	0
0.516667	0.52	0.661667	0.596841863339499	1.62841039128605	0
0.516667	0.519667	0.660333	0.596841863339499	1.59281080411167	0
0.510667	0.517	0.671333	2.23429786888207	5.51632295240745	0
0.514333	0.522	0.676667	1.17567342936862	3.80624597166318	0
0.514	0.520333	0.675667	1.17567342936862	4.3824665112964	0
0.514	0.521	0.675	1.17422252143144	4.15654822428496	0
0.514667	0.522667	0.676	1.290514815456	3.52957945531015	0
0.510333	0.517	0.671333	2.23865379083831	5.72902717009728	0
0.516333	0.522	0.658667	0.375647625802038	1.04468082380237	0
0.516667	0.521333	0.660333	0.445570776366231	1.02377229314414	0
0.512333	0.519667	0.670333	2.24142777219229	4.52212817023532	0
0.517	0.521	0.664	0.59872012204432	1.77504524980714	0
0.517	0.520333	0.664667	0.862002251282488	2.21070550833030	0
0.517333	0.520333	0.664	0.681664863767796	1.82982636982910	0
0.514667	0.521333	0.672333	0.864	2.41854907257955	0
0.518333	0.525667	0.665	0.215857750858552	0.419213463086231	0
0.511	0.517333	0.671	1.93840481867528	4.90429969020031	0
0.511	0.517667	0.668333	1.52544385488382	4.2602206854897	0
0.511667	0.518	0.668	1.28687290467919	3.92728027306618	0
0.511667	0.517667	0.669	1.52544385488382	4.1449607956516	0
0.512	0.517667	0.667667	1.52544385488382	4.05883479846184	0
0.516	0.522333	0.659	0.517890050988584	1.27759020252301	0
0.515667	0.521	0.659	0.519155260413540	1.27900955594541	0
0.519	0.525	0.666333	0.266596508194147	0.558527948798183	0
0.517	0.524333	0.676	0.859508157523617	2.21618993685147	0
0.512667	0.517667	0.671667	2.23865379083831	4.89616009412675	0
0.512333	0.518333	0.671667	2.08760086212295	4.74721277942633	0
0.515667	0.520667	0.662667	0.768275925537618	2.25827955676201	0
0.514667	0.520333	0.665667	1.29005931218573	3.09461444224426	0
0.515333	0.519333	0.665667	1.29005931218573	3.20316242446349	0
0.516333	0.52	0.666	1.290514815456	3.0978085514699	0
0.515667	0.520667	0.665333	1.06652824128223	2.90214247964549	0
0.514333	0.520667	0.673333	0.864	3.00703681613945	0
0.518333	0.525	0.662667	0.170160495758967	0.458016414622917	0
0.517333	0.525333	0.676667	0.679885618119368	1.54032311529724	0
0.518	0.526	0.677333	0.768275925537618	1.68998206095145	0
0.518	0.526	0.674333	0.52256897387322	1.47356617742751	0
0.512	0.519	0.672667	2.24023872963181	5.16658464830782	0
0.515333	0.520667	0.663	0.769219992624486	2.30299133117289	0
0.515333	0.52	0.664	0.862875995810964	2.44667386133832	0
0.516	0.520333	0.664333	0.862002251282488	2.15226862038915	0
0.512	0.517	0.667667	1.65701305270708	4.43171843740851	0
0.516667	0.520333	0.662333	0.679885618119368	1.72519962351717	0
0.517667	0.521333	0.661333	0.38098290825175	1.12363078462944	0
0.516	0.524667	0.664	0.96000172954703	1.88037863499098	0
