OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.500667	0.502667	0.794	0
0.500333	0.503333	0.860333	0
0.500333	0.509	0.898333	0
0.500667	0.505333	0.88	0
0.500333	0.507333	0.895333	0
0.500667	0.504333	0.874667	0
0.500667	0.507	0.898	0
0.500667	0.506333	0.891667	0
0.500333	0.514667	0.904	0
0.501	0.502333	0.790667	0
0.500667	0.502	0.789667	0
0.501667	0.504667	0.878	0
0.501	0.507	0.899333	0
0.502333	0.509667	0.903333	0
0.500667	0.505667	0.891	0
0.502	0.508	0.901	0
0.500667	0.511333	0.902667	0
0.500333	0.514333	0.903333	0
0.501667	0.506667	0.898	0
0.500333	0.508333	0.897667	0
0.501667	0.51	0.903667	0
0.500333	0.505667	0.887	0
0.501667	0.508333	0.901	0
0.501333	0.511667	0.905333	0
0.501333	0.504667	0.877333	0
0.502	0.515667	0.908	0
0.501333	0.506333	0.895333	0
0.501333	0.505333	0.889667	0
0.501	0.51	0.902333	0
0.500333	0.514	0.902	0
0.501	0.504	0.874667	0
0.500667	0.510333	0.901667	0
0.502	0.504333	0.876333	0
0.501333	0.505667	0.893	0
0.501333	0.511333	0.904667	0
0.501667	0.516	0.906	0
0.500333	0.51	0.900667	0
0.502333	0.516667	0.909333	0
0.501667	0.508	0.900667	0
0.502	0.510333	0.904	0
0.501333	0.509333	0.903	1
0.501333	0.506667	0.897	0
0.502	0.514667	0.906667	0
0.501	0.506	0.894	0
0.500333	0.509333	0.899333	0
0.501	0.505333	0.889333	0
0.501	0.508667	0.901	0
0.502333	0.516333	0.909	0
0.501	0.503	0.861333	0
0.500333	0.502333	0.789	0
0.500667	0.504667	0.876333	0
0.501667	0.511	0.904333	0
0.501	0.510667	0.903	0
0.500667	0.509667	0.901333	0
0.502	0.508333	0.901333	0
0.501	0.509	0.902	0
0.500333	0.507667	0.896667	0
0.500667	0.507667	0.898667	0
0.501667	0.510667	0.904	0
0.500333	0.503667	0.871667	0
0.500333	0.504333	0.872	0
0.500667	0.509333	0.900667	0
0.502667	0.515	0.907	0
0.501667	0.516333	0.906667	0
0.501	0.506333	0.894333	0
0.500333	0.502667	0.789333	0
0.500667	0.507333	0.898333	0
0.501333	0.508333	0.9	0
0.500667	0.512333	0.904333	0
0.501	0.505667	0.892333	0
0.500333	0.506	0.891333	0
0.501333	0.509	0.902333	0
0.501	0.505	0.886667	0
0.501	0.508333	0.899667	0
0.500667	0.509	0.899	0
0.501	0.512333	0.905667	0
0.501333	0.504333	0.875	0
0.501	0.511333	0.904	0
0.502	0.516	0.908667	0
0.500667	0.503333	0.869333	0
0.500667	0.503667	0.872333	0
0.500667	0.506667	0.892333	0
