OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.501	0.503333	0.509333	0.734	0
0.503333	0.504333	0.521333	0.773333	0
0.502333	0.505333	0.522667	0.775667	0
0.502667	0.504333	0.521	0.772333	0
0.503	0.504333	0.522333	0.774	0
0.501667	0.502333	0.512667	0.739333	0
0.501333	0.505	0.522667	0.772	0
0.501333	0.504	0.517	0.766667	0
0.500333	0.503667	0.522	0.767333	0
0.502	0.505667	0.520333	0.771667	0
0.501333	0.502667	0.513333	0.746333	0
0.500333	0.503667	0.515	0.746333	0
0.502333	0.504	0.522667	0.773	0
0.502333	0.504667	0.520667	0.771667	0
0.501667	0.503667	0.508667	0.732333	0
0.502	0.504	0.510667	0.739667	0
0.502	0.503333	0.522333	0.769667	0
0.501	0.503333	0.515333	0.752333	0
0.501	0.503333	0.512667	0.745333	0
0.500667	0.503	0.513667	0.745	0
0.502	0.508667	0.527	0.777333	0
0.501333	0.505	0.526	0.774333	0
0.502	0.505	0.522	0.772333	0
0.500667	0.503333	0.512	0.740333	0
0.501	0.502667	0.509	0.729	0
0.501	0.505667	0.528	0.774	0
0.502	0.505	0.523	0.774333	0
0.501	0.504333	0.511667	0.740667	0
0.501	0.504	0.518	0.767333	0
0.500333	0.503667	0.514	0.743333	0
0.501333	0.503	0.509	0.733	0
0.502333	0.504667	0.521333	0.772667	0
0.503	0.507	0.528333	0.777	0
0.501	0.504	0.515	0.75	0
0.501	0.504333	0.519667	0.769667	0
0.502333	0.508667	0.527333	0.779	0
0.501	0.505667	0.522	0.771667	0
0.501333	0.503667	0.516667	0.765667	0
0.501	0.503	0.513333	0.746667	0
0.501667	0.505667	0.514333	0.751333	0
0.501667	0.504	0.514333	0.750667	0
0.501	0.504	0.509667	0.737333	0
0.502	0.504333	0.522333	0.772	0
0.501667	0.504	0.511333	0.739	0
0.502333	0.503667	0.521667	0.769	0
0.501333	0.503667	0.515	0.752333	0
0.500667	0.503333	0.513667	0.745667	0
0.502333	0.508	0.527333	0.777333	0
0.503	0.508333	0.527	0.778333	0
0.501667	0.508667	0.526667	0.776333	0
0.502	0.508333	0.526667	0.776667	0
0.500667	0.503	0.512667	0.743	0
0.502333	0.505667	0.523333	0.776	0
0.502	0.506	0.522667	0.775333	0
0.503333	0.505667	0.521	0.772667	0
0.502	0.503667	0.522	0.770667	0
0.501667	0.502333	0.512333	0.739	0
0.501333	0.503	0.512333	0.739667	0
0.501333	0.502333	0.512667	0.739	0
0.501333	0.505333	0.522333	0.771667	0
0.503	0.507	0.528667	0.777333	0
0.502667	0.505	0.519667	0.770667	0
0.501667	0.504333	0.522667	0.772333	0
0.502333	0.504	0.522333	0.771667	0
0.502	0.508333	0.527	0.777	0
0.500667	0.503	0.518333	0.766	1
0.502333	0.509	0.526333	0.777333	0
0.502333	0.509333	0.526333	0.777667	0
0.502667	0.51	0.526667	0.779	0
0.501	0.503	0.515667	0.750667	0
0.501333	0.503	0.516333	0.752333	0
0.501667	0.505	0.526	0.774667	0
0.500667	0.505	0.527667	0.773667	0
0.502	0.504333	0.524	0.774667	0
0.502333	0.505	0.524	0.775	0
0.500667	0.504333	0.512	0.740667	0
0.500667	0.503	0.511	0.737667	0
0.501333	0.504333	0.509667	0.738	0
0.500667	0.504333	0.513	0.743667	0
0.504	0.506667	0.528	0.776667	0
0.503	0.507333	0.528333	0.777333	0
0.500667	0.503667	0.514667	0.748667	0
0.501	0.504	0.520333	0.770333	0
0.502	0.504667	0.520333	0.770667	0
0.502	0.508667	0.527667	0.778	0
0.502667	0.505	0.523667	0.775	0
0.500667	0.505333	0.521667	0.771333	0
0.501	0.502667	0.514667	0.745333	0
0.501667	0.505	0.527	0.775	0
0.501	0.503667	0.514	0.747333	0
0.501333	0.503667	0.51	0.738333	0
0.502	0.504667	0.522333	0.772333	0
0.502	0.505	0.521	0.771667	0
0.502	0.504667	0.520667	0.771333	0
0.502	0.509	0.526667	0.777333	0
0.502	0.509333	0.528333	0.779333	0
0.501333	0.504333	0.510333	0.738667	0
0.501667	0.505	0.522667	0.773667	0
0.501333	0.505	0.523667	0.772667	0
0.501333	0.505667	0.522	0.772667	0
