Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	FourWayAcc	Best
101	1	0.5	0.509333	0.878	0
101	2	0.5	0.509667	0.880333	0
101	3	0.500333	0.512667	0.89	0
101	4	0.500333	0.518333	0.899333	0
101	5	0.500667	0.511333	0.89	0
101	6	0.500333	0.513667	0.893333	0
101	7	0.501333	0.516333	0.9	0
101	8	0.501	0.502333	0.858	0
101	9	0.500333	0.507667	0.879	0
101	10	0.500667	0.519333	0.902	0
101	11	0.500333	0.501667	0.856	0
101	12	0.500333	0.511333	0.889333	0
101	13	0.500333	0.517	0.897667	0
101	14	0.500333	0.516667	0.897333	0
101	15	0.501333	0.507667	0.882333	0
101	16	0.503	0.512	0.893333	0
101	17	0.500333	0.509667	0.886333	0
101	18	0.500667	0.518667	0.901667	0
101	19	0.500333	0.514667	0.893667	0
101	20	0.500333	0.505333	0.873333	0
101	21	0.501667	0.515	0.898333	0
101	22	0.501	0.515667	0.898	0
101	23	0.502333	0.512333	0.894333	0
101	24	0.501	0.518333	0.901667	0
101	25	0.500667	0.505	0.874333	0
101	26	0.501	0.508333	0.882667	0
101	27	0.500667	0.513333	0.893667	0
101	28	0.501	0.513	0.893667	0
101	29	0.501	0.507333	0.881667	0
101	30	0.500333	0.519333	0.901333	0
101	31	0.500333	0.503333	0.872	0
101	32	0.500333	0.503667	0.872667	0
101	33	0.501333	0.505667	0.878	0
101	34	0.500667	0.515667	0.897333	0
101	35	0.500333	0.507333	0.878667	0
101	36	0.501	0.510667	0.888	0
101	37	0.500333	0.509	0.882333	0
101	38	0.501	0.503	0.871667	0
101	39	0.500667	0.509	0.885333	0
101	40	0.500667	0.503	0.870667	0
101	41	0.500333	0.516333	0.896	0
101	42	0.501	0.507667	0.882	0
101	43	0.500333	0.509333	0.885333	0
101	44	0.502	0.513333	0.895667	0
101	45	0.501	0.506	0.879667	0
101	46	0.501	0.518	0.901	0
101	47	0.501	0.504333	0.874333	0
101	48	0.500667	0.502333	0.857	0
101	49	0.500667	0.502667	0.857333	0
101	50	0.500333	0.517333	0.898	0
101	51	0.501	0.508667	0.884667	0
101	52	0.501667	0.516667	0.900333	0
101	53	0.500667	0.512667	0.892333	0
101	54	0.500667	0.504667	0.874	0
101	55	0.501667	0.515667	0.899333	0
101	56	0.500667	0.514667	0.895667	0
101	57	0.500667	0.513667	0.895333	0
101	58	0.501333	0.503667	0.873	0
101	59	0.500667	0.517	0.899	0
101	60	0.501	0.517667	0.900667	0
101	61	0.501333	0.508	0.883333	0
101	62	0.501	0.505333	0.876667	0
101	63	0.501	0.512667	0.892667	0
101	64	0.501	0.512	0.892	0
101	65	0.501333	0.513667	0.897	1
101	66	0.501	0.514	0.896	0
101	67	0.501667	0.512333	0.893667	0
101	68	0.501	0.519	0.902	0
101	69	0.500333	0.511	0.889	0
101	70	0.502333	0.512	0.893	0
101	71	0.501333	0.509333	0.886	0
101	72	0.501333	0.515	0.897667	0
101	73	0.500667	0.518	0.900667	0
101	74	0.501333	0.505	0.876	0
101	75	0.501667	0.512667	0.894333	0
101	76	0.500667	0.515333	0.896667	0
101	77	0.502333	0.516333	0.900333	0
101	78	0.502	0.507333	0.882	0
101	79	0.502333	0.511667	0.892	0
101	80	0.503333	0.511	0.891333	0
101	81	0.501	0.506667	0.880333	0
101	82	0.501	0.507	0.881333	0
101	83	0.501	0.515	0.897333	0
101	84	0.501	0.505667	0.877333	0
101	85	0.500667	0.518333	0.901	0
101	86	0.500333	0.502667	0.857	0
101	87	0.501	0.511	0.889667	0
101	88	0.500333	0.515	0.894667	0
101	89	0.500667	0.516667	0.898667	0
101	90	0.501	0.511667	0.891667	0
101	91	0.501	0.514667	0.896333	0
101	92	0.501	0.513667	0.895667	0
101	93	0.500333	0.519	0.9	0
101	94	0.501667	0.519333	0.902333	0
101	95	0.500667	0.508667	0.881667	0
101	96	0.500667	0.510667	0.887667	0
101	97	0.501	0.502667	0.868667	0
101	98	0.500667	0.507	0.880667	0
101	99	0.500333	0.517667	0.898333	0
101	100	0.500667	0.505333	0.876	0
101	101	0.501333	0.512	0.892333	0
101	102	0.501667	0.513	0.894667	0
101	103	0.501667	0.513333	0.895	0
101	104	0.501333	0.512333	0.893333	0
101	105	0.502667	0.516	0.899667	0
101	106	0.502	0.511333	0.890667	0
101	107	0.501333	0.510667	0.888333	0
101	108	0.502667	0.511667	0.892667	0
102	1	0.5	0.51	0.907667	0
102	2	0.501	0.505667	0.900667	0
102	3	0.5	0.510333	0.908	0
102	4	0.500667	0.501333	0.878667	0
102	5	0.500667	0.503	0.89	0
102	6	0.500333	0.502333	0.885667	0
102	7	0.502	0.509667	0.911667	0
102	8	0.500667	0.508	0.909333	0
102	9	0.500333	0.508667	0.909333	0
102	10	0.500667	0.502333	0.888333	0
102	11	0.500333	0.508333	0.908333	0
102	12	0.500333	0.506	0.9	0
102	13	0.500667	0.505667	0.899333	0
102	14	0.500333	0.501667	0.879333	0
102	15	0.500667	0.503333	0.894	0
102	16	0.500667	0.502667	0.889333	0
102	17	0.500667	0.501667	0.886	0
102	18	0.501	0.502667	0.890333	0
102	19	0.500667	0.504667	0.897333	0
102	20	0.500333	0.504	0.895667	0
102	21	0.500667	0.503667	0.895667	0
102	22	0.500333	0.502	0.884	0
102	23	0.500333	0.510667	0.910333	0
102	24	0.500667	0.501	0.877	0
102	25	0.500333	0.507667	0.906667	0
102	26	0.500667	0.504	0.896	0
102	27	0.501333	0.510667	0.912333	0
102	28	0.501	0.509	0.911	0
102	29	0.501333	0.504	0.898667	0
102	30	0.500333	0.51	0.91	0
102	31	0.500333	0.503667	0.894667	0
102	32	0.501333	0.504667	0.899667	0
102	33	0.500667	0.508667	0.91	0
102	34	0.500667	0.509333	0.911333	0
102	35	0.501667	0.511	0.913	0
102	36	0.500667	0.507667	0.907333	0
102	37	0.501	0.506	0.901333	0
102	38	0.500333	0.508	0.907333	0
102	39	0.500333	0.507333	0.903667	0
102	40	0.500667	0.504333	0.896333	0
102	41	0.500333	0.505	0.897	0
102	42	0.502333	0.510333	0.912333	0
102	43	0.501	0.507667	0.909	1
102	44	0.500667	0.506	0.900333	0
102	45	0.500333	0.502667	0.888333	0
102	46	0.500667	0.507333	0.906333	0
102	47	0.500667	0.509	0.910667	0
102	48	0.501667	0.511333	0.913333	0
102	49	0.501	0.511333	0.912	0
102	50	0.501	0.507	0.905333	0
103	1	0.500667	0.504333	0.900667	0
103	2	0.500667	0.504667	0.902	0
103	3	0.500333	0.508	0.909	0
103	4	0.500333	0.504667	0.901333	0
103	5	0.501	0.508	0.910667	0
103	6	0.501333	0.503	0.897333	0
103	7	0.500667	0.503667	0.899333	0
103	8	0.500333	0.508333	0.909333	0
103	9	0.500333	0.502	0.881667	0
103	10	0.500667	0.503	0.894667	0
103	11	0.502	0.505333	0.903	0
103	12	0.501	0.507667	0.908667	0
103	13	0.500333	0.507	0.907667	0
103	14	0.500333	0.501667	0.879667	0
103	15	0.500667	0.505	0.902667	0
103	16	0.500667	0.501333	0.879667	0
103	17	0.501333	0.506667	0.907667	0
103	18	0.502333	0.506333	0.907333	0
103	19	0.501	0.505667	0.903667	0
103	20	0.501	0.507333	0.908333	0
103	21	0.501667	0.509333	0.914	0
103	22	0.501	0.508333	0.912333	0
103	23	0.500667	0.508667	0.912333	0
103	24	0.500667	0.506333	0.907	0
103	25	0.501	0.504333	0.901333	0
103	26	0.501667	0.502667	0.896333	0
103	27	0.500667	0.502	0.882	0
103	28	0.501	0.506667	0.907333	0
103	29	0.500667	0.507667	0.908	0
103	30	0.502	0.507333	0.91	0
103	31	0.501	0.503333	0.899	0
103	32	0.501333	0.508	0.912	1
103	33	0.500333	0.506333	0.906667	0
103	34	0.500333	0.505333	0.902	0
103	35	0.501	0.503	0.897	0
103	36	0.500333	0.502333	0.893667	0
103	37	0.502333	0.505667	0.904667	0
103	38	0.5	0.502667	0.893333	0
103	39	0.500333	0.506	0.906333	0
