OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.5	0.504	0.837667	0
0.5	0.510667	0.885	0
0.501333	0.503667	0.880333	0
0.500333	0.508333	0.904667	0
0.500667	0.503667	0.878667	0
0.500667	0.504333	0.890333	0
0.501333	0.503	0.877	0
0.501333	0.506	0.899333	0
0.501667	0.509667	0.914333	0
0.500667	0.511	0.914667	0
0.501	0.507667	0.903333	0
0.500333	0.502333	0.845333	0
0.500667	0.504667	0.894333	0
0.501333	0.51	0.915	0
0.501	0.507	0.901	0
0.501	0.502333	0.846667	0
0.501667	0.509	0.912667	0
0.500667	0.507667	0.902667	0
0.500667	0.503333	0.847	0
0.501333	0.505667	0.898333	0
0.501333	0.508667	0.910667	0
0.501	0.503333	0.879333	0
0.500333	0.503667	0.876667	0
0.500667	0.502333	0.846333	0
0.500667	0.506667	0.899	0
0.500333	0.510667	0.913667	0
0.501	0.504333	0.893333	0
0.500333	0.508	0.904333	0
0.501	0.508333	0.909333	0
0.500333	0.503333	0.845667	0
0.500667	0.506	0.897333	0
0.501333	0.508333	0.909667	0
0.500333	0.508667	0.905333	0
0.501333	0.507667	0.905	0
0.502	0.507667	0.905333	0
0.501	0.505667	0.896333	0
0.500333	0.509	0.906333	0
0.500667	0.507	0.900667	0
0.500667	0.506333	0.898667	0
0.500667	0.508667	0.909333	0
0.500667	0.507333	0.902	0
0.501667	0.504333	0.894333	0
0.501	0.505	0.895	0
0.501667	0.508333	0.910667	0
0.500667	0.504	0.879333	0
0.500667	0.505333	0.896	0
0.501	0.506	0.899	0
0.500333	0.509333	0.907667	0
0.501333	0.502667	0.847333	0
0.501333	0.504333	0.894	0
0.500333	0.507333	0.899	0
0.501333	0.509333	0.913333	0
0.501	0.506333	0.900333	0
0.500667	0.502667	0.846667	0
0.500667	0.509333	0.912333	0
0.500333	0.507667	0.900667	0
0.502	0.509	0.913	1
0.501	0.508	0.907667	0
0.500333	0.504667	0.893667	0
0.501667	0.506	0.899667	0
0.501	0.51	0.914667	0
0.500333	0.509667	0.910667	0
0.500667	0.510333	0.914	0
0.500333	0.506	0.894333	0
0.501333	0.507333	0.904	0
0.502	0.508667	0.911	0
0.502	0.510333	0.915667	0
0.501333	0.509	0.912	0
0.500667	0.509	0.910667	0
