OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.528667	0.884667	0
0.500333	0.504	0.857667	0
0.5	0.526333	0.881	0
0.5	0.503	0.854333	0
0.5	0.512667	0.875667	0
0.500333	0.508333	0.869333	0
0.501667	0.503333	0.858	0
0.500333	0.529	0.888333	0
0.5	0.514	0.876	0
0.501667	0.526667	0.887667	0
0.501	0.509333	0.871	0
0.501	0.521333	0.881333	0
0.500333	0.506	0.863667	0
0.500333	0.514333	0.878	0
0.500667	0.511667	0.876333	0
0.501333	0.525333	0.886667	0
0.501333	0.528	0.888667	0
0.500667	0.526333	0.886333	0
0.501	0.510667	0.874	0
0.500667	0.521667	0.881333	0
0.500333	0.511667	0.874667	0
0.501	0.520333	0.880333	0
0.502	0.520333	0.880667	0
0.502333	0.520667	0.881	0
0.500667	0.511333	0.875333	0
0.500667	0.512	0.877	0
0.500333	0.506333	0.864	0
0.501	0.525333	0.886	0
0.500667	0.527	0.886667	0
0.500667	0.506	0.865667	0
0.501	0.522	0.881667	0
0.501	0.523333	0.884	0
0.500333	0.522333	0.881	0
0.500667	0.512667	0.877667	0
0.500667	0.505	0.863333	0
0.501	0.514333	0.878667	0
0.500667	0.503333	0.856333	0
0.500667	0.502333	0.856	0
0.501	0.502667	0.856667	0
0.501333	0.522333	0.882667	0
0.501667	0.513	0.878333	0
0.500667	0.508	0.868667	0
0.500333	0.516	0.879	0
0.501	0.522333	0.882	0
0.500667	0.523667	0.884	0
0.500333	0.521667	0.880333	0
0.501333	0.504	0.860333	0
0.501333	0.514667	0.879333	0
0.5	0.528333	0.883667	0
0.500333	0.507	0.867	0
0.500333	0.505667	0.863	0
0.500667	0.525667	0.885	0
0.501667	0.522	0.883	0
0.500333	0.510667	0.873	0
0.500333	0.508	0.868333	0
0.500667	0.520667	0.880667	0
0.500667	0.504	0.859333	0
0.500333	0.503667	0.856333	0
0.500333	0.511333	0.874	0
0.500667	0.526	0.885667	0
0.502667	0.520667	0.882667	0
0.500667	0.527333	0.887	0
0.501	0.523	0.883333	0
0.501	0.504333	0.861667	0
0.502667	0.519333	0.88	0
0.500333	0.515667	0.878333	0
0.501667	0.521667	0.882667	0
0.501333	0.512333	0.878	1
0.502	0.514667	0.879667	0
0.501	0.509	0.870333	0
0.500667	0.515333	0.879	0
0.502	0.527	0.888	0
0.500667	0.521333	0.881	0
0.501	0.506333	0.867667	0
0.500333	0.512333	0.875667	0
0.501	0.525	0.884667	0
0.501	0.525667	0.886667	0
0.500667	0.529	0.890667	0
0.501	0.513333	0.878	0
0.501667	0.527667	0.888667	0
0.501333	0.527333	0.887667	0
0.500667	0.528333	0.888333	0
0.500667	0.514667	0.878333	0
0.501	0.503	0.857	0
0.501333	0.505667	0.865667	0
0.501333	0.503667	0.859667	0
0.501	0.515333	0.879667	0
0.500333	0.506667	0.865333	0
0.501333	0.509	0.871	0
0.502667	0.527	0.888333	0
0.502333	0.527333	0.888667	0
0.500333	0.520667	0.879333	0
0.500667	0.503667	0.858667	0
0.502333	0.521	0.882667	0
0.501333	0.522667	0.883333	0
0.501	0.504	0.859667	0
0.502	0.521	0.881333	0
0.500667	0.505667	0.865333	0
0.502667	0.519667	0.881	0
0.501333	0.521333	0.882	0
0.500333	0.502667	0.853	0
0.501667	0.526333	0.887333	0
0.500667	0.509333	0.870333	0
0.501333	0.525	0.885667	0
0.501	0.528667	0.889	0
0.500667	0.511	0.873333	0
0.500667	0.512333	0.877333	0
0.500333	0.504333	0.860667	0
0.500333	0.524	0.882	0
0.500667	0.523333	0.883	0
0.501	0.514667	0.879	0
0.500667	0.506333	0.866667	0
0.502667	0.527333	0.889333	0
0.502667	0.528667	0.890333	0
0.500667	0.507333	0.867333	0
0.501667	0.514	0.878667	0
0.500333	0.51	0.871	0
0.501	0.513667	0.878333	0
0.502	0.527667	0.889	0
0.501	0.528	0.887667	0
0.501	0.503333	0.857667	0
