OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.509333	0.909	0
0.500333	0.509667	0.912	0
0.500333	0.501	0.897333	0
0.500333	0.501667	0.899333	0
0.501	0.506667	0.908667	0
0.501	0.507333	0.910667	1
0.500667	0.508	0.912	0
0.500667	0.509667	0.912667	0
0.500667	0.509333	0.912333	0
0.500333	0.502	0.9	0
0.502	0.504667	0.906	0
0.500667	0.505667	0.906667	0
0.500333	0.508667	0.911	0
0.500333	0.501333	0.898667	0
0.500333	0.507333	0.909333	0
0.500667	0.501667	0.902333	0
0.500667	0.507333	0.91	0
0.500333	0.500667	0.896667	0
0.500667	0.502	0.903333	0
0.500667	0.507	0.909667	0
0.501	0.506333	0.907667	0
0.501333	0.508333	0.912667	0
0.502	0.505333	0.906333	0
0.501	0.505	0.905667	0
0.501333	0.504667	0.905667	0
0.500333	0.506	0.906	0
0.500333	0.503	0.904	0
0.500333	0.503333	0.904667	0
