OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.501333	0.505	0.515	0.771333	0
0.500667	0.503667	0.51	0.743333	0
0.500333	0.505333	0.519667	0.774333	0
0.501	0.504333	0.510333	0.749667	0
0.501667	0.504667	0.514667	0.771	0
0.501333	0.505667	0.516333	0.774333	0
0.500667	0.503667	0.517333	0.769333	0
0.501667	0.509	0.521333	0.782333	0
0.500667	0.504	0.517667	0.771667	0
0.502	0.505333	0.519333	0.78	0
0.501	0.506667	0.521	0.779	0
0.500667	0.503333	0.518667	0.771	1
0.501	0.503333	0.507667	0.740667	0
0.500667	0.503667	0.511667	0.750667	0
0.501	0.503	0.512333	0.752	0
0.501	0.503	0.513333	0.753333	0
0.500667	0.504333	0.519333	0.773	0
0.501	0.503333	0.516333	0.770333	0
0.500667	0.504	0.516333	0.768333	0
0.501	0.504	0.511	0.748667	0
0.501333	0.507	0.518667	0.779	0
0.502	0.507	0.519	0.779667	0
0.502	0.507	0.52	0.781333	0
0.501333	0.503667	0.514333	0.767333	0
0.501333	0.505	0.516	0.773	0
0.502	0.505667	0.518667	0.778333	0
0.501333	0.506	0.519333	0.778333	0
0.500667	0.504333	0.517333	0.77	0
0.501333	0.504	0.511333	0.750333	0
0.501	0.503	0.516	0.768667	0
0.501	0.503	0.515333	0.768	0
0.500667	0.504667	0.512667	0.757	0
0.501333	0.503333	0.514667	0.767667	0
0.501	0.503667	0.515667	0.769	0
0.501667	0.505333	0.517	0.774	0
0.501333	0.504667	0.517	0.773667	0
0.501333	0.505	0.52	0.777	0
0.500667	0.506	0.517667	0.774667	0
0.500667	0.503333	0.508667	0.738333	0
0.501333	0.504667	0.516	0.771667	0
0.502	0.504667	0.520333	0.779333	0
0.501	0.502333	0.513667	0.75	0
0.501	0.503333	0.513	0.766333	0
0.502333	0.507667	0.519333	0.781	0
0.502667	0.508333	0.519	0.780333	0
0.500667	0.507	0.519667	0.775333	0
0.501	0.508333	0.52	0.777667	0
0.501	0.507	0.519667	0.777	0
0.500333	0.505	0.520333	0.771333	0
0.501333	0.503667	0.509667	0.746667	0
0.500667	0.504667	0.511333	0.75	0
0.500667	0.510667	0.529333	0.781667	0
0.501667	0.51	0.529333	0.783333	0
0.501	0.503667	0.510667	0.747	0
0.501333	0.504	0.51	0.748	0
0.501	0.503333	0.510667	0.746	0
0.501333	0.504667	0.518	0.774	0
0.501	0.504333	0.515667	0.769667	0
0.501667	0.506667	0.523	0.781	0
0.501333	0.507	0.523333	0.780667	0
0.501333	0.504	0.510667	0.749333	0
0.501667	0.505333	0.519	0.779	0
0.500667	0.503667	0.518333	0.770667	0
0.501	0.503333	0.519333	0.771333	0
0.501333	0.503667	0.507333	0.738667	0
0.501	0.504333	0.517	0.772	0
0.501	0.504	0.516333	0.771667	0
0.501	0.502667	0.513667	0.751667	0
0.501333	0.506667	0.520333	0.779333	0
0.501333	0.503333	0.515667	0.768333	0
0.500667	0.504	0.510667	0.746	0
0.501333	0.508	0.519	0.779333	0
0.501333	0.506333	0.518333	0.777333	0
0.502	0.507333	0.521	0.781667	0
0.501333	0.505333	0.516667	0.773333	0
0.501	0.505333	0.517	0.773	0
0.501667	0.504333	0.514333	0.769333	0
0.501667	0.503667	0.515	0.769	0
0.501333	0.504	0.515	0.771	0
0.501333	0.503667	0.514667	0.768667	0
0.501	0.510667	0.527	0.782333	0
0.501333	0.505333	0.519667	0.778667	0
0.501	0.503	0.515	0.767	0
0.500333	0.504333	0.513	0.757	0
0.500667	0.504667	0.513333	0.757333	0
0.501333	0.503333	0.515	0.768	0
0.500667	0.511	0.529333	0.782667	0
0.500667	0.511	0.528	0.780667	0
0.501	0.505333	0.520333	0.776	0
0.501	0.505667	0.520333	0.776333	0
0.502667	0.505	0.519	0.775333	0
0.501667	0.504333	0.520667	0.779	0
0.501	0.507333	0.519333	0.777	0
0.501333	0.505667	0.519333	0.776333	0
0.501	0.505667	0.52	0.775	0
0.501333	0.503333	0.510333	0.746333	0
0.501667	0.504667	0.509667	0.747	0
0.500333	0.504667	0.511667	0.750333	0
0.500667	0.504	0.511	0.746667	0
0.502	0.506667	0.520667	0.781	0
