OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.548667	0.891	0
0.5	0.549667	0.895667	0
0.5	0.505333	0.885333	0
0.500667	0.502333	0.883	0
0.500667	0.505	0.888667	0
0.500333	0.545667	0.894	0
0.500333	0.507	0.892	0
0.501	0.503333	0.885	0
0.500333	0.504667	0.887667	0
0.5	0.506667	0.890333	0
0.500333	0.506	0.890333	0
0.500667	0.547333	0.896667	0
0.500667	0.505667	0.890333	0
0.500667	0.503333	0.884333	0
0.500667	0.506667	0.892333	1
0.502	0.548667	0.898	0
0.500333	0.547333	0.895333	0
0.501333	0.546667	0.896333	0
0.501	0.502667	0.883333	0
0.500667	0.504667	0.888	0
0.500667	0.545333	0.893667	0
0.500667	0.507333	0.893	0
0.501	0.503	0.884333	0
0.501	0.546	0.895667	0
0.500333	0.501	0.88	0
0.500667	0.547	0.896333	0
0.501333	0.505333	0.891333	0
0.500667	0.506	0.891333	0
0.5	0.504	0.883333	0
0.501667	0.547333	0.897	0
0.500333	0.546333	0.894667	0
0.501333	0.503333	0.885667	0
0.501333	0.505	0.890333	0
0.501	0.505	0.889667	0
0.500333	0.508667	0.892333	0
0.501	0.504667	0.889333	0
0.501	0.504333	0.888	0
0.500667	0.506333	0.892	0
0.501	0.504	0.887667	0
0.501333	0.503667	0.887333	0
0.500667	0.501333	0.880667	0
0.501	0.545667	0.894333	0
0.500333	0.506667	0.891333	0
0.501	0.507	0.892667	0
0.501333	0.545333	0.894333	0
0.500667	0.546333	0.895	0
0.501667	0.503333	0.886	0
0.500667	0.546667	0.895333	0
0.500333	0.504	0.884	0
0.500333	0.503667	0.883	0
0.500333	0.546	0.894333	0
0.500667	0.505333	0.889333	0
0.501	0.503667	0.885333	0
