Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	FiveWayAcc	Best
201	1	0.501	0.502667	0.809667	0
201	2	0.5	0.507667	0.839	0
201	3	0.501	0.505333	0.837667	0
201	4	0.500667	0.502667	0.809	0
201	5	0.500333	0.503667	0.818333	0
201	6	0.500667	0.514333	0.876333	0
201	7	0.500333	0.509667	0.862	0
201	8	0.500333	0.51	0.863333	0
201	9	0.500333	0.514333	0.872	0
201	10	0.501	0.505667	0.847667	0
201	11	0.501	0.508333	0.860667	0
201	12	0.501333	0.503	0.818	0
201	13	0.500333	0.517667	0.882333	0
201	14	0.502333	0.515667	0.884667	0
201	15	0.500333	0.506667	0.839333	0
201	16	0.500333	0.503	0.810333	0
201	17	0.501	0.507333	0.857333	0
201	18	0.501333	0.508667	0.862667	0
201	19	0.500667	0.506	0.847333	0
201	20	0.500667	0.509	0.862667	0
201	21	0.500667	0.503	0.815667	0
201	22	0.500333	0.504	0.820667	0
201	23	0.501	0.512667	0.87	0
201	24	0.501	0.516667	0.886333	0
201	25	0.500667	0.516	0.881667	0
201	26	0.501333	0.507	0.857	0
201	27	0.501333	0.517	0.887667	0
201	28	0.500667	0.517	0.882	0
201	29	0.501333	0.509667	0.866667	0
201	30	0.501	0.507667	0.857667	0
201	31	0.500667	0.508	0.857333	0
201	32	0.500333	0.515667	0.879333	0
201	33	0.500667	0.506667	0.856	0
201	34	0.500667	0.511	0.866667	0
201	35	0.501667	0.505333	0.846667	0
201	36	0.500667	0.503667	0.821333	0
201	37	0.500667	0.514	0.874	0
201	38	0.500667	0.517333	0.882667	0
201	39	0.501	0.52	0.887667	0
201	40	0.502333	0.515333	0.884333	1
201	41	0.500333	0.506333	0.838667	0
201	42	0.500667	0.513333	0.870667	0
201	43	0.500667	0.507667	0.856667	0
201	44	0.500333	0.517333	0.882	0
201	45	0.501333	0.507333	0.857667	0
201	46	0.500333	0.513333	0.869667	0
201	47	0.501	0.517	0.887	0
201	48	0.502333	0.515	0.883333	0
201	49	0.504	0.520333	0.891333	0
201	50	0.500667	0.51	0.864	0
201	51	0.502	0.514	0.880667	0
201	52	0.501333	0.516333	0.885333	0
201	53	0.500667	0.520333	0.885333	0
