OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.503333	0.923	0
0.500667	0.503333	0.925667	1
0.501333	0.502667	0.923667	0
0.500333	0.501667	0.921	0
0.5	0.505	0.924667	0
0.500333	0.500667	0.919667	0
0.5	0.504	0.923667	0
0.500667	0.504667	0.926333	0
0.501	0.505	0.927	0
0.501667	0.504667	0.927333	0
0.500333	0.501333	0.920667	0
0.501333	0.505	0.927667	0
0.500667	0.502	0.921667	0
0.501	0.502333	0.923333	0
0.501	0.504333	0.926	0
0.501	0.504667	0.926667	0
0.501667	0.504	0.926667	0
0.500667	0.501333	0.921	0
0.5	0.504667	0.924333	0
0.500333	0.503333	0.923667	0
0.500333	0.502333	0.921667	0
