OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.500333	0.502	0.836333	0
0.5	0.507333	0.882667	0
0.501	0.507	0.892	0
0.500333	0.502333	0.838	0
0.501333	0.503333	0.869	0
0.500333	0.503333	0.867667	0
0.500333	0.504667	0.879667	0
0.500333	0.503667	0.868	0
0.500333	0.503	0.867	0
0.500667	0.506333	0.889667	0
0.500333	0.507333	0.890667	0
0.501333	0.510333	0.900667	0
0.500667	0.510333	0.898333	0
0.501667	0.509	0.893667	0
0.500333	0.509667	0.894667	0
0.500333	0.507	0.89	0
0.501667	0.512	0.905333	0
0.500333	0.511	0.901333	0
0.500333	0.510667	0.897667	0
0.500667	0.511333	0.902333	0
0.501667	0.51	0.899	0
0.500333	0.509333	0.891667	0
0.501	0.506	0.889667	0
0.501333	0.511	0.904667	0
0.502333	0.509	0.894	0
0.500667	0.503	0.867333	0
0.500333	0.512	0.902	0
0.502	0.51	0.899333	0
0.501333	0.510667	0.904	1
0.501	0.504	0.876667	0
0.501	0.510333	0.9	0
0.501	0.505333	0.881333	0
0.501	0.511333	0.904667	0
0.500667	0.503333	0.868667	0
0.502333	0.51	0.900667	0
0.501667	0.509667	0.898667	0
0.500667	0.505	0.881	0
0.500333	0.508333	0.891	0
0.500667	0.511667	0.904	0
0.501333	0.509333	0.897333	0
0.500667	0.504333	0.878667	0
0.500667	0.504	0.874333	0
0.502333	0.509667	0.899667	0
0.501333	0.503667	0.869667	0
0.502333	0.506667	0.890333	0
0.500667	0.51	0.897333	0
0.502333	0.508667	0.893	0
0.501	0.511	0.902667	0
0.500667	0.508	0.891	0
0.500667	0.506	0.888	0
0.501333	0.512667	0.905333	0
0.502667	0.509	0.896333	0
0.501333	0.511667	0.905	0
0.502	0.510667	0.904333	0
0.502	0.510333	0.902667	0
0.501	0.504333	0.880333	0
0.500667	0.509667	0.897	0
