OneWayAcc	TwoWayAcc	FourWayAcc	ChiMaxs	ChiSums	Best
0.506333	0.510333	0.659	0.521104636049527	1.43271226857757	0
0.507	0.510667	0.663	0.434257483929642	1.18314439072732	0
0.508	0.514667	0.668333	0.26659650819415	0.824325118211029	0
0.507667	0.510667	0.67	0.446836473654542	1.43990682109818	0
0.506667	0.511	0.665333	0.521787747741012	1.57079187565142	0
0.507	0.511333	0.667667	0.448828925767639	1.33613190706718	0
0.507333	0.511667	0.662	0.372000744001488	1.00789839343714	0
0.506333	0.510667	0.663	0.372000744001488	1.25367195386389	0
0.505667	0.508667	0.666333	1.06445287942109	2.48389155184205	0
0.506667	0.512	0.662	0.322185122592577	1.01587295111351	0
0.507333	0.512	0.662	0.265545208875551	0.910356192042916	0
0.509333	0.514	0.673	0.317121317785179	0.733984863981421	0
0.509333	0.513667	0.672	0.317121317785179	0.7154301452946	0
0.504333	0.512	0.678333	1.40397580740791	4.75388736745886	0
0.504333	0.512	0.678667	2.07153944485026	5.24650437893685	0
0.508	0.512333	0.677	0.740592989410819	2.06728287683748	0
0.504333	0.509333	0.673	1.21752464592247	3.67074452862155	0
0.509	0.511333	0.669333	0.383664199056618	1.09269505990516	0
0.506667	0.509333	0.672	1.27586753746035	2.66116270768492	0
0.507	0.509333	0.673333	1.27586753746035	2.64469824658305	0
0.506	0.509	0.673	1.27586753746035	2.84041341961614	0
0.506	0.511333	0.677667	1.40745794581470	3.47379567004227	0
0.506	0.509333	0.667667	0.769219992624486	2.09104971653419	0
0.506667	0.509667	0.669	0.769219992624486	1.90727044526915	0
0.506	0.509667	0.668667	0.681664863767796	1.89602796007881	0
0.507333	0.512667	0.664333	0.315747036328306	0.902298375740673	0
0.508	0.513333	0.665333	0.314223454189503	0.891019629258875	0
0.508667	0.513	0.671667	0.444126386325237	0.890114844636986	0
0.504	0.512	0.679	1.93064867730471	5.4266075689329	0
0.504	0.511333	0.678667	2.22836426333022	5.50277830322324	1
0.507333	0.512	0.677	0.82835263315073	2.18271762969329	0
0.506	0.511	0.676	0.90348943193936	2.88989771820182	0
0.505333	0.510333	0.676	1.01844112170840	2.92301897842991	0
0.506333	0.509333	0.669333	1.25747868256738	2.67200958429852	0
0.506667	0.509333	0.668667	1.14862309409202	2.56315399582317	0
0.506	0.512	0.675667	0.769928405721369	2.42922024103518	0
0.505667	0.513333	0.674333	0.769928405721369	2.34120693685737	0
0.505333	0.511667	0.674	0.843870868772403	2.64337894928883	0
0.505667	0.511	0.675333	0.762152967462395	2.45784307272757	0
0.505	0.511	0.673667	0.937570121106922	2.85343656860757	0
0.505667	0.511667	0.674	0.77040085386117	2.45313016250473	0
0.508333	0.515667	0.671667	0.256656361903730	0.830820640232819	0
0.506667	0.514667	0.674667	0.521787747741012	1.91931537276653	0
0.506333	0.514333	0.674667	0.521787747741012	1.99163415952552	0
0.506	0.514	0.675	0.68255532049083	2.22488210167421	0
0.507	0.513333	0.674667	0.599973866939612	2.06348588799442	0
0.506333	0.513333	0.673667	0.573214359334347	2.06460272937786	0
0.507	0.511333	0.664333	0.372000744001488	1.07437214614797	0
0.507	0.511667	0.665	0.37722773776628	1.16657416838773	0
0.507	0.512333	0.665333	0.381903575859773	1.06427076526929	0
0.506667	0.512333	0.665	0.438730081122655	1.06209244216861	0
0.507	0.512333	0.664333	0.317121317785181	0.992801053535964	0
0.506667	0.512333	0.664667	0.440705030108347	1.06076899444882	0
