OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.502	0.86	0
0.5	0.511667	0.896	0
0.500333	0.501667	0.868667	0
0.500667	0.501333	0.868667	0
0.5	0.507333	0.888667	0
0.501667	0.513333	0.907333	0
0.500667	0.503	0.884	0
0.500333	0.507	0.895	0
0.501	0.512	0.905	0
0.501333	0.504	0.890667	0
0.5	0.503333	0.87	0
0.500333	0.505333	0.889667	0
0.500667	0.504	0.889333	0
0.501333	0.511	0.905	0
0.500667	0.507333	0.897	0
0.500333	0.504	0.888	0
0.500667	0.512	0.904667	0
0.500667	0.513667	0.907	0
0.500333	0.505	0.889	0
0.500333	0.502	0.869667	0
0.500667	0.503667	0.888667	0
0.500667	0.504333	0.890667	0
0.502	0.506667	0.896333	0
0.500667	0.512667	0.906	0
0.500333	0.506667	0.893333	0
0.501	0.511667	0.904667	0
0.501	0.514333	0.907333	0
0.501333	0.507	0.897	0
0.500667	0.506	0.892333	0
0.501333	0.511333	0.905333	0
0.500333	0.511667	0.902667	0
0.500333	0.513333	0.906	0
0.501333	0.503333	0.889333	0
0.501667	0.503667	0.889667	0
0.501	0.511	0.902667	0
0.500667	0.502333	0.882	0
0.500333	0.514	0.906667	0
0.500667	0.512333	0.905	0
0.501667	0.512333	0.906	0
0.502	0.505333	0.893667	0
0.501	0.503333	0.888	0
0.501	0.504667	0.891667	0
0.500333	0.506333	0.892	0
0.500333	0.51	0.899333	0
0.500333	0.503667	0.883	0
0.501333	0.506333	0.895667	0
0.501333	0.514333	0.907667	0
0.500667	0.501667	0.88	0
0.501667	0.505333	0.893333	0
0.501333	0.504333	0.891	0
0.501333	0.505333	0.893	0
0.500333	0.509667	0.897333	0
0.501333	0.507667	0.899	0
0.500333	0.503	0.882667	0
0.500667	0.506667	0.894667	0
0.501333	0.510667	0.904667	0
0.500333	0.502333	0.881	0
0.500333	0.502667	0.882	0
0.501	0.508667	0.902	0
0.500667	0.507667	0.898333	0
0.502333	0.506	0.894333	0
0.500667	0.513	0.906667	0
0.502333	0.504667	0.893	0
0.501333	0.505667	0.893333	0
0.500667	0.502	0.881667	0
0.502667	0.505667	0.894	0
0.500333	0.507333	0.895667	0
0.501333	0.505	0.892667	0
0.501667	0.507	0.898333	0
0.501	0.508333	0.901667	0
0.500333	0.504667	0.888333	0
0.501	0.504	0.889667	0
0.501667	0.506667	0.896	0
0.500667	0.509667	0.900667	0
0.501333	0.506	0.893667	0
0.502	0.507333	0.898667	0
0.501	0.508	0.901333	1
