OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.500667	0.502667	0.848	0
0.5	0.511333	0.886	0
0.501	0.508	0.884	0
0.500667	0.503	0.855333	0
0.500667	0.504667	0.873667	0
0.500667	0.502333	0.834667	0
0.500333	0.505667	0.875333	0
0.501333	0.503333	0.861	0
0.501	0.503667	0.862333	0
0.502	0.511333	0.896667	0
0.500333	0.507	0.879333	0
0.501333	0.506667	0.882333	0
0.500333	0.505	0.873667	0
0.500667	0.508333	0.883	0
0.500333	0.508333	0.882333	0
0.500333	0.509667	0.887	0
0.500667	0.509	0.886	0
0.500333	0.508	0.882	0
0.501	0.509667	0.889	0
0.500667	0.504	0.867	0
0.500667	0.506	0.877667	0
0.501	0.509333	0.887	0
0.501	0.504667	0.875333	0
0.501333	0.504667	0.876	0
0.501	0.506333	0.881667	0
0.501333	0.509333	0.887667	0
0.502	0.509	0.888333	0
0.501667	0.505667	0.881667	0
0.501333	0.504333	0.874667	0
0.501333	0.513	0.898	0
0.501333	0.508	0.884667	0
0.500333	0.503333	0.854333	0
0.500667	0.506667	0.879333	0
0.501667	0.512333	0.897667	0
0.500667	0.507667	0.882667	0
0.500667	0.505	0.874333	0
0.500333	0.507333	0.879667	0
0.500333	0.51	0.889	0
0.500667	0.503333	0.855667	0
0.500667	0.508667	0.884	0
0.501667	0.51	0.894	0
0.500333	0.502667	0.835	0
0.502333	0.511	0.896	0
0.502667	0.511667	0.897667	0
0.500333	0.504333	0.860333	0
0.501333	0.512	0.896	0
0.500667	0.511333	0.894333	0
0.500333	0.512	0.892667	0
0.501667	0.508333	0.886	0
0.500333	0.508667	0.883333	0
0.502	0.512667	0.899667	0
0.501667	0.510333	0.894333	0
0.500667	0.510667	0.891667	0
0.501	0.505	0.876	0
0.501	0.51	0.890333	0
0.501	0.511	0.894667	0
0.501667	0.513333	0.898333	0
0.500667	0.506333	0.878667	0
0.502333	0.512	0.898667	0
0.503	0.510667	0.896	1
0.502	0.511667	0.897333	0
0.502333	0.511333	0.897	0
0.500333	0.503667	0.855333	0
0.501	0.504333	0.874	0
0.501667	0.506333	0.882	0
0.501333	0.512667	0.896333	0
0.500667	0.509667	0.887333	0
0.501667	0.509333	0.888333	0
0.500667	0.505333	0.875	0
0.502667	0.511333	0.897333	0
0.501667	0.509667	0.893667	0
0.501	0.511667	0.895333	0
0.503333	0.511333	0.898667	0
0.502333	0.509333	0.890333	0
0.501	0.508333	0.884333	0
0.500333	0.504667	0.873	0
0.500667	0.507	0.879667	0
0.500667	0.507333	0.882333	0
0.501333	0.508333	0.885	0
0.501667	0.511667	0.896667	0
0.501	0.505667	0.879333	0
0.501667	0.508667	0.888	0
0.501333	0.505333	0.880667	0
0.501	0.510667	0.893667	0
0.501333	0.510667	0.894333	0
0.500667	0.509333	0.886333	0
0.500333	0.510333	0.891	0
0.501333	0.509667	0.892667	0
0.503333	0.511	0.897	0
