OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.510667	0.856	0
0.5	0.523	0.877667	0
0.5	0.502333	0.829	0
0.500333	0.503667	0.866	0
0.500333	0.510667	0.879333	0
0.500333	0.507667	0.875333	0
0.500333	0.516	0.879667	0
0.500667	0.509	0.877667	0
0.501	0.508333	0.877667	0
0.500333	0.519333	0.888	0
0.500333	0.502	0.83	0
0.500333	0.521667	0.891	0
0.500667	0.502333	0.831667	0
0.500333	0.527	0.895333	0
0.500667	0.502667	0.858667	0
0.502	0.520667	0.893333	0
0.501	0.504333	0.868333	0
0.501	0.518	0.885333	0
0.501	0.518333	0.886	0
0.501333	0.502667	0.859333	0
0.500667	0.504667	0.868333	0
0.501333	0.504	0.868333	0
0.500333	0.519667	0.888333	0
0.501333	0.525	0.896333	0
0.500333	0.526333	0.894667	0
0.500667	0.518667	0.885333	0
0.500667	0.526333	0.896	0
0.502333	0.518	0.887	0
0.500333	0.518333	0.883	0
0.500667	0.528667	0.896667	0
0.501667	0.502333	0.832667	0
0.501	0.511667	0.883	0
0.500333	0.505333	0.869	0
0.500667	0.517667	0.884	0
0.500333	0.523333	0.894	0
0.503	0.517	0.886667	0
0.501333	0.518333	0.886333	0
0.501333	0.525333	0.896667	0
0.501	0.51	0.881333	0
0.500667	0.52	0.889333	0
0.501	0.521	0.892667	0
0.500333	0.505	0.868667	0
0.500333	0.503	0.857	0
0.500333	0.520333	0.889	0
0.500667	0.502	0.830333	0
0.501667	0.518667	0.888	0
0.501333	0.507333	0.876	0
0.500667	0.509667	0.880333	0
0.502	0.528333	0.898667	0
0.501	0.520667	0.892333	0
0.500333	0.517333	0.880667	0
0.501	0.511	0.882667	1
0.500667	0.522	0.894	0
0.501333	0.502	0.831667	0
0.501	0.527333	0.897333	0
0.501333	0.505667	0.873333	0
0.501333	0.522333	0.895333	0
0.502	0.520333	0.892333	0
0.502	0.524333	0.896	0
0.500667	0.528333	0.896333	0
0.500333	0.507333	0.874667	0
0.501333	0.519333	0.889667	0
0.501	0.525333	0.895667	0
0.500333	0.522667	0.892333	0
0.501333	0.521667	0.895	0
0.501	0.519	0.889	0
0.501	0.527	0.897	0
0.501333	0.515333	0.885333	0
0.500667	0.510667	0.882333	0
0.501	0.503	0.859333	0
0.500667	0.508333	0.876667	0
0.500333	0.518	0.881	0
0.502333	0.526333	0.897333	0
0.500333	0.504667	0.868	0
0.501333	0.526667	0.897	0
0.502	0.516667	0.886333	0
0.500667	0.501667	0.829	0
0.501333	0.508	0.877667	0
0.500667	0.506333	0.874667	0
0.501667	0.508667	0.878667	0
0.501	0.527667	0.897667	0
0.502	0.52	0.891667	0
0.501667	0.522	0.895333	0
0.500667	0.522333	0.895	0
0.500333	0.522333	0.891667	0
0.501	0.516667	0.884667	0
0.502333	0.526667	0.898333	0
0.502667	0.526333	0.897667	0
0.500667	0.518333	0.884333	0
0.501	0.508667	0.878333	0
0.502	0.525	0.897	0
0.500667	0.510333	0.880667	0
0.501667	0.517333	0.886667	0
0.500333	0.507	0.874333	0
0.501333	0.521333	0.893667	0
0.501333	0.515	0.885	0
0.501	0.508	0.877	0
0.502	0.508	0.878667	0
0.501667	0.503333	0.859667	0
0.501	0.521333	0.893333	0
0.500667	0.508	0.876	0
0.501667	0.516	0.886	0
0.501667	0.517	0.886333	0
0.501333	0.516667	0.885667	0
0.502	0.527	0.897333	0
0.500667	0.506667	0.875667	0
0.500333	0.509667	0.878333	0
0.501	0.525667	0.896667	0
0.501	0.525	0.895333	0
0.501	0.521667	0.894333	0
0.501667	0.523667	0.895667	0
0.501333	0.509333	0.881	0
0.501	0.516	0.883333	0
0.500333	0.519	0.884667	0
0.500667	0.519	0.887	0
0.500667	0.504	0.866667	0
0.501667	0.525333	0.897	0
0.500667	0.517	0.882667	0
0.500667	0.520667	0.891333	0
0.501	0.509667	0.880667	0
0.501667	0.528333	0.898	0
0.500667	0.505	0.872	0
0.500667	0.519333	0.888667	0
0.501	0.506	0.872333	0
0.502	0.519667	0.891	0
0.501333	0.508333	0.878	0
