OneWayAcc	TwoWayAcc	FiveWayAcc	ChiMaxs	ChiSums	Best
0.51	0.518	0.685	2.7287063685719	8.61176844897214	0
0.513333	0.516333	0.675	1.9428433592422	5.2661315427428	0
0.513	0.517	0.673333	1.94395372825478	5.36996345919389	0
0.513333	0.517	0.673	1.66559275370742	4.84581217246521	0
0.511667	0.518333	0.683667	1.64401143123955	6.09970180947153	0
0.514	0.516333	0.680667	2.09066666666667	5.75195676383663	0
0.513667	0.516667	0.679333	2.09066666666667	5.43918366919969	0
0.514	0.517333	0.680333	2.24261710484439	5.30774335727951	0
0.509333	0.517	0.689333	4.05540846720285	14.1191124191612	0
0.509	0.516667	0.693	4.46717505700631	14.5432422254710	0
0.509	0.514333	0.675333	4.2212670873011	13.5553230390516	0
0.512	0.519	0.683	1.28687290467919	5.50815878819997	0
0.512	0.518333	0.683333	1.51607091976584	5.65060590558589	0
0.514	0.518	0.68	2.24142777219229	5.15780030948273	0
0.509	0.513333	0.668667	3.62313642095728	12.1760191039432	0
0.509333	0.513333	0.669	3.8250517493611	12.5137325153892	0
0.508333	0.513667	0.668667	3.62313642095728	12.8049548747003	0
0.508333	0.513	0.671	3.39386315589115	13.3058223799278	0
0.508667	0.517333	0.687333	4.47708695512513	14.4882134741527	0
0.507667	0.516333	0.69	4.92483119212991	16.0618403617005	0
0.514333	0.519	0.684333	1.94173328375841	5.15060379780498	0
0.513333	0.519	0.681333	1.79981204592536	5.27819902643223	0
0.514	0.519333	0.682333	1.66456210043388	4.66029223254279	0
0.514	0.519667	0.684	1.80195281464521	4.99542421645339	0
0.514	0.518667	0.682333	1.66318835807295	4.67914712155977	0
0.509	0.514667	0.666333	3.63261475428904	11.4874963541123	0
0.508667	0.514	0.668333	3.81968232243255	12.0769973364989	0
0.508667	0.514667	0.669333	3.62313642095728	12.3513302039924	0
0.509333	0.514667	0.669667	3.4265674360853	11.6090871015073	0
0.509333	0.513333	0.668333	3.62313642095728	12.1641104749285	0
0.508	0.515333	0.674333	3.41492308137791	13.4643225601882	0
0.509	0.515	0.674333	3.03093092645889	12.8784842946201	0
0.507667	0.512667	0.671	3.39386315589115	13.5801891721511	0
0.507333	0.512667	0.671667	3.59079453951841	14.2678012278132	0
0.508333	0.514333	0.671667	3.59824650675228	13.3799244305586	0
0.512	0.518	0.691333	2.39918086408060	7.37993707789446	0
0.511333	0.518333	0.691667	2.24023872963181	7.24406458042542	0
0.511	0.518333	0.691667	2.56134599255769	8.13155506271268	0
0.511667	0.517333	0.691667	2.56134599255769	7.8331116172751	0
0.511333	0.518	0.692333	2.56134599255769	7.77097501989685	0
0.511333	0.517667	0.692	2.39918086408060	7.50712557746912	0
0.512333	0.520667	0.692667	2.56007843805409	7.65968354343953	0
0.513333	0.519667	0.694333	2.39672422533528	7.82947096101733	0
0.513	0.52	0.694333	2.23865379083831	7.54284571554299	0
0.514	0.52	0.693333	1.94025363974749	7.15202406417322	0
0.512333	0.52	0.692667	2.55627749474952	7.73136350723605	0
0.513	0.520333	0.693667	2.08760086212295	7.38603820420414	0
0.512667	0.519667	0.692667	2.23865379083831	7.58715405839839	0
0.512667	0.52	0.693	2.39488250334374	7.66677434392751	0
0.51	0.518	0.690333	4.04805038334148	12.5207937993763	0
0.510333	0.518333	0.692	4.47929091839856	13.1953820331443	0
0.51	0.518333	0.690667	4.04805038334148	12.8175090468665	0
0.508667	0.517667	0.691333	4.26558963068869	14.4355479803745	0
0.513667	0.517	0.677	1.80106068414748	5.23683354767404	0
0.513333	0.517333	0.679333	1.94358357263748	5.22481458140843	0
