OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.500667	0.502	0.846333	0
0.5	0.505667	0.877	0
0.500667	0.503667	0.884333	0
0.500667	0.502333	0.849	0
0.500333	0.503333	0.883	0
0.500333	0.506	0.900333	0
0.500333	0.503667	0.884	0
0.500667	0.504	0.892333	0
0.501	0.504333	0.894333	0
0.501	0.504	0.893333	0
0.500333	0.509333	0.905667	0
0.500333	0.507667	0.902667	0
0.500333	0.505667	0.899667	0
0.500333	0.509	0.905333	0
0.501333	0.505	0.897333	0
0.500333	0.504	0.884333	0
0.501667	0.506667	0.906333	0
0.501	0.508333	0.908667	0
0.500667	0.503	0.881333	0
0.502	0.507667	0.909	0
0.502	0.508667	0.910667	0
0.500667	0.508	0.906333	0
0.501	0.505667	0.901667	0
0.502	0.507	0.907	0
0.501	0.505	0.897	0
0.502	0.506	0.906333	0
0.501667	0.506	0.905	0
0.501333	0.507333	0.907	0
0.501	0.502667	0.849667	0
0.501	0.504667	0.895667	0
0.501667	0.508667	0.91	0
0.501	0.506667	0.904	0
0.501333	0.506	0.904333	0
0.501667	0.508333	0.909667	0
0.500333	0.508667	0.903667	0
0.500667	0.509333	0.908	0
0.500667	0.505333	0.897333	0
0.500667	0.507	0.904333	0
0.502333	0.506667	0.907	0
0.502333	0.509667	0.911667	0
0.501	0.507667	0.907333	0
0.501333	0.507667	0.907667	0
0.502	0.506333	0.906667	0
0.501333	0.506667	0.905667	0
0.501333	0.506333	0.904667	0
0.501333	0.504667	0.897	0
0.502333	0.507667	0.909333	1
0.500667	0.507667	0.905333	0
0.502667	0.506667	0.907667	0
0.501333	0.509	0.909	0
0.501333	0.505667	0.903	0
0.503	0.507	0.908	0
0.502667	0.509	0.911667	0
0.501333	0.507	0.906333	0
