OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.501667	0.502667	0.521333	0.74	0
0.501	0.502333	0.519667	0.733667	1
0.501333	0.502667	0.521333	0.739667	0
0.501333	0.503	0.519	0.735	0
0.501333	0.506667	0.520667	0.745333	0
0.500667	0.504667	0.513	0.720667	0
0.500667	0.503333	0.52	0.736	0
0.501333	0.506667	0.527	0.753	0
0.501	0.505667	0.525333	0.749333	0
0.503	0.504	0.521667	0.742333	0
0.501333	0.503333	0.51	0.720333	0
0.500667	0.505667	0.523667	0.749	0
0.501	0.504333	0.519333	0.741667	0
0.502	0.507	0.528333	0.753667	0
0.501	0.505667	0.521	0.745333	0
0.501333	0.504333	0.510333	0.721333	0
0.501667	0.504333	0.511	0.722	0
0.501333	0.504	0.514667	0.724	0
0.502	0.506333	0.524667	0.749667	0
0.501	0.505	0.522	0.746	0
0.503	0.506333	0.528	0.753667	0
0.502	0.508	0.524667	0.750667	0
0.501	0.503333	0.52	0.736333	0
0.501333	0.506333	0.529	0.753	0
0.502333	0.507333	0.528333	0.754333	0
0.501333	0.503667	0.512	0.721333	0
0.501333	0.506667	0.521333	0.747	0
0.501333	0.503667	0.510667	0.721	0
0.500667	0.504667	0.512333	0.72	0
0.500667	0.503333	0.510667	0.717333	0
0.502667	0.509	0.529	0.755333	0
0.501333	0.505333	0.521333	0.746	0
0.501333	0.508667	0.528333	0.755	0
0.501	0.506	0.528	0.752333	0
0.501333	0.504333	0.522	0.745333	0
0.501	0.504333	0.521667	0.744	0
0.500333	0.507667	0.526333	0.749	0
0.501	0.506333	0.530333	0.753333	0
0.501667	0.506	0.529667	0.753333	0
0.501	0.504333	0.513	0.720667	0
0.501333	0.507667	0.526333	0.751333	0
0.501	0.507333	0.527667	0.752667	0
0.502667	0.504	0.522667	0.742333	0
0.501	0.503333	0.510667	0.719667	0
0.501667	0.504	0.509667	0.719667	0
0.500667	0.505667	0.523	0.747	0
0.500667	0.506333	0.522667	0.745333	0
0.501333	0.505667	0.524667	0.749333	0
0.500333	0.505	0.525	0.748667	0
0.501	0.504333	0.520333	0.742667	0
0.502	0.507333	0.529	0.754	0
0.501667	0.503667	0.518	0.73	0
0.501333	0.504333	0.514333	0.723667	0
0.501333	0.504333	0.514	0.723333	0
0.501333	0.504667	0.514	0.723667	0
0.501667	0.506	0.524	0.749333	0
0.501	0.507667	0.528667	0.753333	0
0.501	0.505	0.522333	0.746667	0
0.501	0.505	0.522667	0.747333	0
0.501667	0.505	0.522	0.746333	0
0.501667	0.505333	0.522	0.746667	0
0.502667	0.507	0.528333	0.754667	0
0.502333	0.507667	0.524667	0.750667	0
0.502	0.508333	0.525333	0.751	0
0.501333	0.507667	0.524667	0.750333	0
0.502333	0.507333	0.523667	0.75	0
0.503667	0.506667	0.526	0.753667	0
0.504	0.506667	0.525333	0.752667	0
0.503667	0.507333	0.525667	0.753	0
0.501	0.503333	0.519333	0.734667	0
0.501333	0.505333	0.528	0.751	0
0.501333	0.507	0.521667	0.747333	0
0.501333	0.506	0.521333	0.746333	0
0.501	0.504	0.511333	0.72	0
0.501667	0.507667	0.53	0.755	0
0.501	0.507	0.530667	0.754667	0
0.500667	0.505	0.53	0.75	0
0.501	0.502667	0.521333	0.738333	0
0.501	0.504667	0.511667	0.720333	0
0.500667	0.505667	0.525667	0.749667	0
0.501	0.503	0.510667	0.719	0
0.502333	0.503667	0.522333	0.741667	0
0.503	0.504	0.523	0.742667	0
0.501333	0.505333	0.519667	0.742667	0
0.501	0.504	0.519	0.737	0
0.501667	0.503667	0.519	0.739333	0
0.500667	0.503667	0.519667	0.741333	0
0.502667	0.508	0.528	0.754333	0
0.502333	0.504667	0.514333	0.724333	0
0.501333	0.503667	0.514	0.722333	0
0.501333	0.506	0.520333	0.745	0
0.501	0.506	0.521667	0.746	0
0.502	0.507667	0.530333	0.755333	0
0.501333	0.508667	0.527333	0.754333	0
0.501	0.508333	0.528	0.754333	0
0.500667	0.509667	0.528667	0.754	0
0.502333	0.504667	0.510667	0.722	0
0.501667	0.504	0.510333	0.721667	0
0.500667	0.507	0.528667	0.751333	0
0.501333	0.506333	0.527667	0.751	0
