OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums	Best
0.505333	0.508667	0.635	0.0666578373254708	0.0929813773565902	0
0.503	0.506333	0.636667	0.213336509199436	0.375952025781537	0
0.503667	0.508	0.661667	0.586251885443157	1.34880576706659	0
0.506333	0.511667	0.665667	0.167083214402573	0.274690715851884	0
0.505333	0.511	0.662333	0.321107730007071	0.583810388207367	0
0.505667	0.511333	0.664	0.321723168530606	0.515296899494278	0
0.506	0.511333	0.664333	0.265545208875551	0.49907452947969	0
0.505	0.508	0.653	0.448828925767639	0.979020232504635	0
0.504333	0.508333	0.652	0.381903575859775	1.01875834219515	0
0.507333	0.510333	0.654667	0.209083576729925	0.315184825422284	0
0.505333	0.506667	0.638333	0.129669946734779	0.267885117459964	0
0.504333	0.506	0.637333	0.0944822373393801	0.227374782041432	0
0.504333	0.506667	0.635333	0.0659533592230548	0.150835196614907	0
0.504	0.507	0.636333	0.0949447356408081	0.227555932189334	0
0.504	0.506667	0.636667	0.0949447356408081	0.227555932189335	0
0.503667	0.506667	0.637	0.169767315810683	0.331678354290368	0
0.505333	0.507333	0.641	0.129669946734779	0.198908163411846	0
0.504667	0.507667	0.638667	0.170610389132697	0.342453221108698	0
0.504333	0.509	0.659333	0.379896232668268	0.910709519687062	0
0.504667	0.509	0.659667	0.378644242439995	1.02163087650158	0
0.504667	0.509667	0.660333	0.319418222209398	0.799422593420078	0
0.507333	0.510667	0.65	0.0424124078528592	0.126589826991311	0
0.505	0.508333	0.634667	0.0664461062015637	0.0929655869415838	0
0.506	0.507667	0.633667	0.0426383785659523	0.0873783417395887	0
0.503667	0.512333	0.659667	0.590601449202264	1.13640957076327	0
0.505	0.513333	0.666	0.321107730007071	0.714902021435845	0
0.505333	0.512	0.665333	0.383916036440987	0.723788878198092	0
0.504333	0.512333	0.66	0.438730081122656	0.828784009564642	0
0.506333	0.508667	0.641333	0.127127624762106	0.179928114703356	0
0.505	0.510667	0.647667	0.129669946734779	0.182621742512019	0
0.505333	0.509333	0.648667	0.170160495758967	0.332226045758253	0
0.506	0.510333	0.650333	0.128591334624648	0.226060862713907	0
0.504	0.512667	0.658333	0.37722773776628	0.848706135675197	0
0.503333	0.512667	0.657333	0.446836473654542	0.950804659623057	0
0.503667	0.512333	0.657667	0.444126386325237	0.980450860231305	0
0.503333	0.508667	0.661	0.663972536303391	1.36497649897873	0
0.503	0.509	0.661667	0.755117058043251	1.73461657033791	0
0.504	0.509333	0.663667	0.669256862947167	1.49983724748188	1
0.507	0.512	0.666667	0.128591334624649	0.193606994185059	0
0.507333	0.511333	0.663333	0.0651826984850394	0.171531445652004	0
0.506333	0.513333	0.667	0.261012936980151	0.454093920965313	0
0.505	0.511	0.637333	0.0426666666666667	0.0765691901316172	0
0.503	0.506	0.637	0.263239464907741	0.425854981489843	0
0.506667	0.511667	0.665667	0.167083214402573	0.256890837938291	0
0.506667	0.511333	0.666333	0.262194634081042	0.380880121175756	0
0.506	0.511667	0.664667	0.211455063930802	0.31934391353364	0
0.506333	0.512	0.666	0.167083214402573	0.274690715851884	0
0.506667	0.512333	0.665333	0.167083214402573	0.232857139589586	0
0.505333	0.512	0.662	0.265545208875551	0.526248529130399	0
0.505	0.511333	0.660667	0.382657648955165	0.74047172683393	0
0.505667	0.511333	0.664333	0.321723168530606	0.545461187474445	0
0.506667	0.511	0.663667	0.167083214402573	0.251007711229109	0
0.508	0.511667	0.664667	0.0933099834045867	0.145126237006142	0
