OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.509333	0.878	0
0.5	0.509667	0.880333	0
0.500333	0.512667	0.89	0
0.500333	0.518333	0.899333	0
0.500667	0.511333	0.89	0
0.500333	0.513667	0.893333	0
0.501333	0.516333	0.9	0
0.501	0.502333	0.858	0
0.500333	0.507667	0.879	0
0.500667	0.519333	0.902	0
0.500333	0.501667	0.856	0
0.500333	0.511333	0.889333	0
0.500333	0.517	0.897667	0
0.500333	0.516667	0.897333	0
0.501333	0.507667	0.882333	0
0.503	0.512	0.893333	0
0.500333	0.509667	0.886333	0
0.500667	0.518667	0.901667	0
0.500333	0.514667	0.893667	0
0.500333	0.505333	0.873333	0
0.501667	0.515	0.898333	0
0.501	0.515667	0.898	0
0.502333	0.512333	0.894333	0
0.501	0.518333	0.901667	0
0.500667	0.505	0.874333	0
0.501	0.508333	0.882667	0
0.500667	0.513333	0.893667	0
0.501	0.513	0.893667	0
0.501	0.507333	0.881667	0
0.500333	0.519333	0.901333	0
0.500333	0.503333	0.872	0
0.500333	0.503667	0.872667	0
0.501333	0.505667	0.878	0
0.500667	0.515667	0.897333	0
0.500333	0.507333	0.878667	0
0.501	0.510667	0.888	0
0.500333	0.509	0.882333	0
0.501	0.503	0.871667	0
0.500667	0.509	0.885333	0
0.500667	0.503	0.870667	0
0.500333	0.516333	0.896	0
0.501	0.507667	0.882	0
0.500333	0.509333	0.885333	0
0.502	0.513333	0.895667	0
0.501	0.506	0.879667	0
0.501	0.518	0.901	0
0.501	0.504333	0.874333	0
0.500667	0.502333	0.857	0
0.500667	0.502667	0.857333	0
0.500333	0.517333	0.898	0
0.501	0.508667	0.884667	0
0.501667	0.516667	0.900333	0
0.500667	0.512667	0.892333	0
0.500667	0.504667	0.874	0
0.501667	0.515667	0.899333	0
0.500667	0.514667	0.895667	0
0.500667	0.513667	0.895333	0
0.501333	0.503667	0.873	0
0.500667	0.517	0.899	0
0.501	0.517667	0.900667	0
0.501333	0.508	0.883333	0
0.501	0.505333	0.876667	0
0.501	0.512667	0.892667	0
0.501	0.512	0.892	0
0.501333	0.513667	0.897	1
0.501	0.514	0.896	0
0.501667	0.512333	0.893667	0
0.501	0.519	0.902	0
0.500333	0.511	0.889	0
0.502333	0.512	0.893	0
0.501333	0.509333	0.886	0
0.501333	0.515	0.897667	0
0.500667	0.518	0.900667	0
0.501333	0.505	0.876	0
0.501667	0.512667	0.894333	0
0.500667	0.515333	0.896667	0
0.502333	0.516333	0.900333	0
0.502	0.507333	0.882	0
0.502333	0.511667	0.892	0
0.503333	0.511	0.891333	0
0.501	0.506667	0.880333	0
0.501	0.507	0.881333	0
0.501	0.515	0.897333	0
0.501	0.505667	0.877333	0
0.500667	0.518333	0.901	0
0.500333	0.502667	0.857	0
0.501	0.511	0.889667	0
0.500333	0.515	0.894667	0
0.500667	0.516667	0.898667	0
0.501	0.511667	0.891667	0
0.501	0.514667	0.896333	0
0.501	0.513667	0.895667	0
0.500333	0.519	0.9	0
0.501667	0.519333	0.902333	0
0.500667	0.508667	0.881667	0
0.500667	0.510667	0.887667	0
0.501	0.502667	0.868667	0
0.500667	0.507	0.880667	0
0.500333	0.517667	0.898333	0
0.500667	0.505333	0.876	0
0.501333	0.512	0.892333	0
0.501667	0.513	0.894667	0
0.501667	0.513333	0.895	0
0.501333	0.512333	0.893333	0
0.502667	0.516	0.899667	0
0.502	0.511333	0.890667	0
0.501333	0.510667	0.888333	0
0.502667	0.511667	0.892667	0
