OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums	Best
0.503667	0.508	0.706333	0.0330584590489915	0.0352365882544594	0
0.501667	0.503	0.697333	0.0958307721068775	0.161945801798015	0
0.501667	0.504667	0.704333	0.090945865242444	0.186539386976989	0
0.501333	0.505333	0.707	0.37564762580204	0.532356693718346	0
0.501333	0.503	0.698	0.11599312108994	0.220545328666877	0
0.501333	0.507	0.700333	0.059445106066077	0.154970652072217	0
0.503333	0.506667	0.698667	0.00206416483294170	0.00332818882198956	0
0.503667	0.507	0.705333	0.0172749889764897	0.0236154005849006	0
0.502667	0.503	0.703	0.125285397729614	0.199474610049501	0
0.501667	0.503	0.700667	0.0664461062015644	0.185277356089219	0
0.504333	0.506667	0.709	0.125285397729614	0.235474060698245	0
0.503333	0.504333	0.694	0.0231106007806084	0.0417413868726288	0
0.504667	0.508333	0.708	0.0185613470358234	0.0344203936287460	0
0.504333	0.508	0.707	0.00656389009030937	0.00885472711351279	0
0.505	0.508333	0.706667	0.00615816432813728	0.00716213923153839	0
0.502333	0.505	0.703333	0.0612608809476798	0.0702932885922975	0
0.502333	0.505	0.705	0.121831064407066	0.131169160509098	0
0.504	0.505667	0.703667	0.0380177968918368	0.0402241445461885	0
0.501667	0.502	0.703667	0.302014329789232	0.505514399851038	0
0.502667	0.508	0.707333	0.08131949600451	0.147724147404817	0
0.502667	0.506667	0.709333	0.115993121089942	0.265195731805103	0
0.503333	0.505667	0.704	0.020282604998853	0.0441214840656521	0
0.504	0.506	0.705333	0.0179308156471745	0.0203944728711764	0
0.501333	0.504667	0.697667	0.0416541422262562	0.110519618694784	0
0.501333	0.504333	0.696333	0.0419622484132675	0.082998416250645	0
0.501667	0.504	0.696333	0.0365358895325513	0.0666060356473898	0
0.502333	0.505333	0.697	0.0231106007806084	0.0358146094096329	0
0.500667	0.503667	0.698667	0.321107730007071	0.657987920756062	0
0.504	0.508667	0.707	0.0320930346056280	0.0410128507140049	0
0.501667	0.503667	0.696667	0.0959576792566308	0.14040720590309	0
0.502	0.502667	0.697	0.0958307721068775	0.162243433076520	0
0.501667	0.503	0.697	0.0841517331082759	0.159319274779900	0
0.501333	0.502667	0.696	0.0958307721068775	0.190018005261549	0
0.503	0.505333	0.704	0.0878806860333706	0.08832713990144	0
0.502	0.504667	0.703667	0.0889781916045357	0.151236985521393	0
0.501333	0.505667	0.704	0.090945865242444	0.186539386976989	0
0.503	0.510667	0.704667	0.00998289946347095	0.0272442556072009	0
0.501333	0.505667	0.707667	0.37564762580204	0.497515784794698	1
0.501333	0.505	0.707	0.37722773776628	0.533046275132634	0
0.501333	0.503333	0.697333	0.0958307721068775	0.188703940685213	0
0.503	0.505667	0.699	0.0077128357011743	0.00776337115458056	0
0.504	0.504667	0.704667	0.060383252675609	0.0818370836699311	0
0.504667	0.505333	0.704333	0.0365358895325513	0.0454975171178720	0
0.500667	0.503	0.698	0.214091364170524	0.499031196936628	0
0.503	0.509667	0.704	0.00998289946347095	0.0131568619769127	0
