OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.532	0.880667	0
0.5	0.504	0.855333	0
0.5	0.528667	0.88	0
0.500333	0.507333	0.862333	0
0.500333	0.518667	0.870667	0
0.500667	0.502	0.854667	0
0.5	0.528333	0.879667	0
0.500333	0.52	0.872667	0
0.500333	0.504	0.857333	0
0.500667	0.506667	0.862667	0
0.501	0.503333	0.858	0
0.502333	0.518	0.871667	0
0.500667	0.530667	0.882667	0
0.500333	0.53	0.881333	0
0.500667	0.531333	0.883	0
0.500333	0.504667	0.858	0
0.5	0.527	0.878333	0
0.501333	0.504333	0.860667	0
0.5	0.522333	0.876	0
0.500333	0.501333	0.853333	0
0.500667	0.532333	0.883667	0
0.500333	0.505	0.858333	0
0.500333	0.51	0.865	0
0.501667	0.518	0.871333	0
0.500333	0.519	0.871	0
0.500333	0.529667	0.881	0
0.501	0.523333	0.879	0
0.500333	0.521333	0.874	0
0.500667	0.501	0.852333	0
0.501	0.506667	0.863333	0
0.501333	0.516333	0.867	0
0.501667	0.524	0.880333	0
0.500333	0.503667	0.856333	0
0.502333	0.533667	0.885	0
0.501	0.522667	0.878667	0
0.500333	0.525333	0.88	0
0.500667	0.505	0.861667	0
0.501	0.518667	0.872	0
0.500667	0.521333	0.876667	0
0.500667	0.506333	0.862333	0
0.501	0.504333	0.860333	0
0.500333	0.501667	0.853667	0
0.502	0.507333	0.864333	0
0.5	0.52	0.870667	0
0.501667	0.516	0.867	0
0.500667	0.503667	0.857667	0
0.501	0.53	0.882667	0
0.502	0.517667	0.871	0
0.500333	0.517667	0.869333	0
0.501333	0.506333	0.863667	0
0.501667	0.527667	0.882667	0
0.501	0.52	0.874667	0
0.501333	0.519667	0.873667	0
0.501667	0.517	0.869333	0
0.500333	0.525667	0.880333	0
0.501333	0.518667	0.873333	0
0.500333	0.502667	0.856	0
0.501	0.504	0.859667	0
0.501333	0.516	0.866667	0
0.501	0.502333	0.857	0
0.502333	0.517333	0.87	0
0.502333	0.525	0.881667	0
0.500667	0.518	0.870333	0
0.500333	0.522333	0.877333	0
0.500667	0.525667	0.881333	0
0.502667	0.534333	0.886	0
0.501	0.521	0.876	0
0.500667	0.502667	0.857	0
0.500667	0.502333	0.856667	0
0.500333	0.530667	0.882333	0
0.502333	0.527667	0.883	0
0.501667	0.508	0.864667	0
0.500667	0.524667	0.880333	0
0.500667	0.517333	0.869	0
0.500333	0.517333	0.868333	0
0.500667	0.507667	0.863667	0
0.501	0.519333	0.873	0
0.501	0.503667	0.858333	0
0.5	0.506	0.857667	0
0.500333	0.502333	0.854333	0
0.500333	0.508	0.864	0
0.501333	0.508667	0.864333	0
0.501	0.523667	0.879667	0
0.501	0.517667	0.870333	0
0.501	0.517333	0.869667	0
0.501667	0.507333	0.864	0
0.502	0.515667	0.866333	0
0.501	0.527667	0.882	0
0.502	0.529	0.883	0
0.501667	0.519667	0.874	0
0.501333	0.517	0.868667	0
0.500667	0.504	0.859	0
0.502333	0.534333	0.885667	0
0.502333	0.534667	0.886	0
0.501	0.520667	0.875667	0
0.500333	0.525	0.879667	0
0.501	0.519	0.872333	0
0.501333	0.524667	0.881333	0
0.501333	0.530667	0.883333	0
0.501	0.527333	0.881667	0
0.501333	0.526	0.882	0
0.501	0.504667	0.861	0
0.501333	0.505	0.862333	0
0.501	0.505333	0.863	0
0.502333	0.526667	0.882333	0
0.500333	0.509	0.864667	0
0.501	0.509333	0.866	1
0.500333	0.521667	0.876333	0
0.502	0.534333	0.885	0
0.500667	0.525	0.880667	0
0.500333	0.504333	0.857667	0
0.500667	0.507	0.863	0
0.501	0.532333	0.884667	0
0.501	0.518	0.870667	0
0.500667	0.504667	0.860333	0
0.500667	0.518333	0.871333	0
0.500667	0.506	0.862	0
0.502	0.516667	0.868333	0
0.500667	0.525333	0.881	0
0.502333	0.534	0.885333	0
0.501	0.524333	0.880333	0
0.500333	0.507667	0.863	0
0.501333	0.516667	0.868	0
0.501	0.517	0.867333	0
0.500667	0.528	0.881667	0
0.502667	0.533667	0.885667	0
0.500667	0.521	0.875	0
0.500667	0.519333	0.872	0
0.501333	0.524333	0.880667	0
