OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.501333	0.503	0.514333	0.736667	0
0.500333	0.507333	0.522667	0.757667	0
0.500333	0.507333	0.521667	0.757333	0
0.502	0.505333	0.519667	0.756333	0
0.501	0.505333	0.52	0.755	0
0.500667	0.504667	0.511667	0.732667	0
0.501333	0.505	0.516667	0.750667	0
0.502	0.504667	0.516333	0.750667	0
0.501	0.507333	0.519333	0.756	0
0.501	0.504	0.514333	0.740667	0
0.501333	0.505	0.509	0.718	0
0.501667	0.504333	0.513	0.737667	0
0.501	0.504667	0.512333	0.736	0
0.501667	0.503667	0.515333	0.744333	0
0.502	0.506	0.513333	0.745667	0
0.500667	0.504	0.510667	0.711	0
0.500667	0.503667	0.515333	0.738333	0
0.501	0.503667	0.515	0.739	0
0.500667	0.504	0.514667	0.738333	0
0.500667	0.503	0.516	0.737667	0
0.502333	0.507	0.517667	0.752333	0
0.500667	0.504	0.511333	0.732	0
0.500333	0.504333	0.512	0.731333	0
0.502333	0.505333	0.523333	0.757333	0
0.502	0.505667	0.524	0.759333	0
0.501	0.506	0.514333	0.746	0
0.501667	0.504	0.516333	0.748333	0
0.501	0.504667	0.516667	0.750333	0
0.501667	0.504667	0.516667	0.750667	0
0.502333	0.505	0.516333	0.751	0
0.501333	0.505	0.515667	0.747667	0
0.501	0.504667	0.513333	0.737	0
0.500667	0.505333	0.513333	0.743	0
0.501333	0.504667	0.513333	0.743	0
0.501	0.503667	0.516667	0.739333	0
0.501333	0.504667	0.509333	0.719	0
0.501	0.504333	0.509667	0.718667	0
0.501333	0.505	0.516333	0.749333	0
0.501	0.506333	0.519333	0.755333	0
0.500667	0.505	0.51	0.716667	0
0.501667	0.504	0.509	0.712	0
0.502	0.503333	0.509	0.711333	0
0.501	0.504333	0.512333	0.735667	0
0.500333	0.505	0.518	0.751333	0
0.500667	0.506	0.518333	0.751667	0
0.501667	0.504	0.512667	0.736333	0
0.501667	0.504	0.512	0.734667	0
0.501	0.503333	0.517	0.746333	1
0.502	0.506667	0.513333	0.746333	0
0.501667	0.505667	0.514667	0.749	0
0.501333	0.502667	0.516	0.739667	0
0.500667	0.503333	0.516333	0.738333	0
0.501333	0.503	0.516	0.740333	0
0.500667	0.503333	0.515667	0.736333	0
0.501667	0.505333	0.510333	0.720333	0
0.502333	0.506333	0.525333	0.76	0
0.501333	0.502667	0.508667	0.709333	0
0.500667	0.505667	0.514667	0.744333	0
0.500667	0.504667	0.514333	0.741333	0
0.501333	0.504333	0.517	0.749	0
0.501333	0.504667	0.516	0.748	0
0.501	0.505333	0.516333	0.749667	0
0.501333	0.505333	0.518333	0.752333	0
0.501333	0.504	0.512	0.733333	0
0.500667	0.504	0.51	0.710667	0
0.502333	0.505667	0.523667	0.759333	0
0.500667	0.503333	0.513	0.711333	0
0.501333	0.507333	0.519667	0.756333	0
0.500667	0.507	0.519667	0.753667	0
0.501333	0.504	0.509	0.711	0
0.501667	0.503667	0.516	0.747333	0
0.501667	0.503333	0.516667	0.745667	0
0.501667	0.506333	0.513333	0.745667	0
0.501	0.505	0.513667	0.744333	0
0.501333	0.503333	0.515	0.738333	0
0.500667	0.503667	0.514667	0.737	0
0.503	0.506333	0.523	0.759333	0
0.501333	0.504	0.509667	0.711667	0
0.501333	0.503333	0.509667	0.711333	0
0.501	0.504333	0.516333	0.747	0
0.501333	0.504	0.516667	0.747333	0
0.501667	0.505	0.515667	0.75	0
0.502333	0.505333	0.516667	0.751333	0
0.501333	0.503333	0.511333	0.731	0
0.500667	0.508667	0.52	0.754	0
0.502	0.504333	0.514333	0.743	0
0.501	0.504667	0.519667	0.752667	0
0.501	0.504667	0.522667	0.754333	0
0.501333	0.505667	0.513333	0.743667	0
0.501333	0.504	0.513667	0.742	0
0.500333	0.507	0.520667	0.755333	0
0.501667	0.504333	0.509	0.717	0
0.502	0.504333	0.515667	0.749667	0
0.501667	0.505333	0.514	0.745	0
0.501	0.505667	0.52	0.758667	0
0.500333	0.505667	0.517667	0.750667	0
0.501333	0.504	0.512333	0.735667	0
0.500667	0.503667	0.512333	0.734333	0
0.502	0.506	0.514	0.747	0
0.501333	0.503	0.515667	0.739	0
