OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.500667	0.502333	0.796	0
0.500667	0.506	0.871333	0
0.500333	0.505333	0.860667	0
0.500333	0.504	0.841333	0
0.500667	0.508667	0.879333	0
0.500333	0.512	0.878333	0
0.500333	0.507	0.876333	0
0.500667	0.507	0.876667	0
0.500667	0.511333	0.880667	0
0.501	0.507667	0.879	0
0.501	0.502667	0.799	0
0.500667	0.506333	0.872	0
0.500667	0.508333	0.878333	0
0.500667	0.514667	0.888667	0
0.501	0.512	0.886333	0
0.500667	0.514333	0.888333	0
0.501333	0.513667	0.888667	0
0.501	0.512667	0.888	0
0.501667	0.511667	0.886333	0
0.500333	0.503	0.798	0
0.501	0.507333	0.878333	0
0.501333	0.507	0.877333	0
0.501333	0.505333	0.862667	0
0.501	0.514	0.889667	0
0.500667	0.505667	0.870333	0
0.500667	0.507667	0.878	0
0.500667	0.504333	0.854	0
0.501667	0.512333	0.888	0
0.501	0.511333	0.882333	0
0.502667	0.516667	0.892667	0
0.501	0.503667	0.833667	0
0.500333	0.513	0.886	0
0.501333	0.509	0.881	0
0.501	0.504333	0.858667	0
0.502333	0.514667	0.891333	0
0.501333	0.507667	0.879333	0
0.500667	0.514	0.888	0
0.501	0.507	0.877	0
0.500667	0.511667	0.885667	0
0.500667	0.512667	0.887667	0
0.500333	0.505667	0.863	0
0.502333	0.515	0.891667	0
0.501	0.505	0.862333	0
0.503	0.516	0.893	0
0.501333	0.515667	0.891333	0
0.500667	0.509333	0.88	0
0.501333	0.512333	0.887333	0
0.501667	0.514667	0.890333	0
0.500667	0.505	0.859667	0
0.500667	0.507333	0.877333	0
0.500333	0.512333	0.885	0
0.502	0.512667	0.888333	0
0.500667	0.505333	0.862	0
0.502667	0.516	0.892333	0
0.501333	0.512	0.886667	0
0.501333	0.504667	0.862	0
0.501	0.503333	0.833333	0
0.501333	0.508667	0.879667	0
0.500667	0.512	0.886	0
0.501667	0.513	0.889	0
0.501	0.515333	0.891	0
0.500667	0.509	0.879667	0
0.500667	0.504667	0.858667	0
0.502	0.512	0.887667	1
0.502333	0.516	0.892	0
