OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.5	0.505333	0.859	0
0.500333	0.504667	0.861333	0
0.500667	0.504333	0.862667	0
0.501333	0.505	0.870333	0
0.500333	0.508	0.884333	0
0.500333	0.504333	0.858333	0
0.502	0.509667	0.894667	0
0.500333	0.505	0.865	0
0.500667	0.509333	0.893333	0
0.500667	0.506	0.870667	0
0.501333	0.507667	0.885333	0
0.500667	0.507667	0.884333	0
0.501667	0.507333	0.885	0
0.501667	0.514667	0.899667	0
0.500333	0.503	0.853	0
0.501667	0.505333	0.872333	0
0.501	0.51	0.895	0
0.501	0.504667	0.868333	0
0.501	0.507333	0.883667	0
0.500667	0.505333	0.870333	0
0.501667	0.507	0.884667	0
0.502333	0.515667	0.900667	0
0.501	0.507	0.881333	0
0.500667	0.503667	0.858667	0
0.500333	0.507667	0.884	0
0.501667	0.507667	0.885667	0
0.501667	0.505	0.872	0
0.502667	0.511	0.898333	0
0.502	0.512333	0.898667	0
0.500667	0.504	0.859333	0
0.501	0.511333	0.897333	0
0.500667	0.506333	0.876	0
0.500333	0.503333	0.854667	0
0.502667	0.512333	0.899333	0
0.500333	0.504	0.855667	0
0.504	0.511333	0.899	0
0.500333	0.506667	0.871	0
0.500667	0.502667	0.852333	0
0.501	0.504333	0.863	0
0.501667	0.506333	0.879667	0
0.502	0.514	0.899667	0
0.501	0.503333	0.856667	0
0.501667	0.508333	0.891333	0
0.500667	0.503333	0.856333	0
0.501	0.512	0.897667	0
0.502	0.513333	0.899	0
0.502667	0.511667	0.899	0
0.501	0.509	0.893667	0
0.501	0.508667	0.893	0
0.500667	0.512667	0.897	0
0.500667	0.514333	0.897667	0
0.501	0.514667	0.898	0
0.500667	0.506667	0.879667	0
0.500333	0.509	0.892	0
0.500667	0.505	0.869	0
0.503	0.512	0.899667	0
0.502	0.508	0.888333	0
0.500667	0.512333	0.896333	0
0.501333	0.515667	0.899667	0
0.501333	0.507333	0.884667	0
0.500667	0.507333	0.883	0
0.500667	0.51	0.893667	0
0.501667	0.509667	0.894333	0
0.501333	0.514	0.899333	0
0.500667	0.508667	0.892333	0
0.501	0.508	0.886	0
0.501	0.506	0.876333	0
0.502333	0.511667	0.898667	0
0.501333	0.512	0.898333	0
0.501333	0.511	0.898	0
0.501333	0.510667	0.897333	1
0.501667	0.508	0.886667	0
0.501667	0.515	0.900333	0
0.500333	0.510333	0.893	0
0.500333	0.506	0.868333	0
0.502	0.514667	0.9	0
0.500667	0.503	0.853333	0
0.501	0.503667	0.859	0
0.501	0.511	0.896667	0
0.501	0.506333	0.878667	0
0.502333	0.512	0.899	0
0.501667	0.509	0.894	0
0.501	0.508333	0.888667	0
0.500333	0.512	0.895333	0
0.501333	0.506	0.878667	0
0.501667	0.513667	0.899333	0
0.501	0.505667	0.875333	0
0.500667	0.510333	0.895667	0
