OneWayAcc	TwoWayAcc	FiveWayAcc	ChiMaxs	ChiSums	Best
0.513	0.518667	0.685667	2.07516737584023	7.72426105414778	0
0.515	0.520667	0.67	0.95527271165627	2.68850127653247	0
0.515	0.52	0.665667	0.762152967462397	2.26847982476429	0
0.515333	0.52	0.667	0.689831722723348	2.34435707579844	0
0.509667	0.515333	0.695	6.6547245881562	24.9434259409206	0
0.509333	0.514667	0.689	6.62656444228006	23.3630690919187	0
0.509333	0.514333	0.688	6.35186628745395	23.4615882132833	0
0.509333	0.514667	0.692333	7.16907692921532	24.5104441686874	0
0.513	0.516333	0.672	1.14968634005889	4.34656567811004	0
0.514333	0.517667	0.675333	1.13679553577745	3.82965599587917	0
0.513	0.517667	0.673667	1.25671183506083	3.88900507119010	0
0.510667	0.518	0.684	2.70892160502945	10.0194241686483	0
0.509333	0.516333	0.675333	1.9428433592422	6.01716030425472	0
0.511333	0.516333	0.677	1.53335777674253	4.95739863085985	0
0.512	0.517333	0.678667	1.66147192269359	4.26488855850904	0
0.512667	0.517667	0.678333	1.53187245971124	4.22585769293042	0
0.513	0.517667	0.678	1.53187245971124	4.025513676034	0
0.508667	0.514333	0.692667	6.64544265055166	25.8716837550985	0
0.507667	0.513667	0.688333	7.46537884111938	26.7621612902289	0
0.510333	0.517667	0.684	2.87931420455646	10.3586327095684	0
0.510333	0.517667	0.682333	2.70892160502945	10.0412571959816	0
0.509667	0.516	0.684333	5.6316176346568	21.1718528984188	0
0.508	0.515667	0.686	6.65041442647739	24.1475555117047	0
0.508	0.515667	0.685333	6.098068115232	22.778775131185	0
0.511333	0.516667	0.677333	1.93840481867528	5.01193770536341	0
0.511333	0.516667	0.676667	1.79820724449935	4.86701590374685	0
0.515333	0.519667	0.681	1.28323582986768	3.82312654917011	0
0.514667	0.519667	0.681	1.17306240297272	4.04764443270348	0
0.515	0.519667	0.681333	1.28323582986768	3.86709599675531	0
0.515	0.52	0.681667	1.16784855803312	3.70564850918575	0
0.513667	0.518667	0.669333	1.15342310902483	3.26350017835858	0
0.514333	0.519333	0.672	1.14968634005889	3.06915638969777	0
0.514333	0.519333	0.669667	1.04339338071277	2.99361755162212	0
0.508333	0.515667	0.685667	6.34343000740356	22.4789157594198	0
0.507667	0.516333	0.686667	6.34343000740356	23.0077120624814	0
0.508333	0.516	0.687	6.34343000740356	22.6556931377853	0
0.511333	0.517	0.679	2.23429786888207	5.29451084378205	0
0.511667	0.516667	0.679667	1.79820724449935	5.21639733127146	0
0.515	0.519667	0.68	1.28323582986768	3.79880742886762	0
0.514667	0.519	0.679667	1.16784855803312	4.00092599031601	0
0.514667	0.519333	0.680333	1.40397580740791	4.22914325116936	0
0.515667	0.52	0.682	1.28323582986768	3.7121925585126	0
0.514667	0.52	0.682333	1.40397580740791	4.16462392992539	0
0.514333	0.519667	0.681	1.40176200505005	4.31689948738705	0
0.514667	0.52	0.681333	1.28323582986768	3.73955027777692	0
0.512	0.517667	0.676	1.93840481867528	4.22587998291411	0
0.508667	0.513	0.688	6.63980989823425	26.0377332776866	0
0.509	0.513	0.689667	6.66135794326966	26.0087495510090	0
0.509	0.513333	0.688	6.39607311964197	25.7355898604362	0
0.510333	0.515	0.693	5.598527049611	22.7352996746083	0
0.510333	0.515333	0.691	5.36028314380184	21.3988627733587	0
0.51	0.515667	0.691667	5.598527049611	22.1277572780604	0
0.508333	0.515333	0.684333	6.62656444228006	23.5716792562354	0
0.508	0.515	0.684	6.38435847451798	22.8282963725269	0
0.511667	0.518	0.684667	2.4269350011888	8.7594407458758	0
0.512	0.518667	0.684	2.08377152488672	7.71975107340207	0
0.516333	0.520667	0.669333	0.775215480461032	2.53117520801771	0
0.515333	0.521	0.67	1.05548172751772	2.61524041464623	0
0.515	0.521333	0.670667	0.95527271165627	2.57827999658419	0
0.515	0.520667	0.670667	0.95527271165627	2.72117749304401	0
0.515	0.52	0.669667	0.781515692405442	2.82573481570802	0
0.515333	0.52	0.669	0.857888839308562	2.81495317272743	0
0.514667	0.519667	0.669	0.957110458601032	2.91765865524466	0
0.514667	0.52	0.667333	0.765682591850357	2.54560476074547	0
0.515333	0.520333	0.665333	0.764034465919504	2.24311923551467	0
0.515333	0.520333	0.665	0.762152967462397	2.15606261023509	0
0.515667	0.520333	0.665	0.762152967462397	2.15182743603122	0
0.515333	0.520333	0.668	0.781515692405442	2.55598116104304	0
0.515333	0.519667	0.667	0.695670631517023	2.48281441973905	0
0.513667	0.519667	0.666333	1.08340388599280	3.19998918123081	0
0.514	0.519	0.667	1.09039666297785	2.99329457741459	0
0.510333	0.516	0.694333	6.65041442647739	24.1061339288281	0
0.509333	0.515667	0.695667	6.65041442647739	25.4923093530244	0
0.509667	0.515333	0.695333	7.19381220543361	25.9428857896492	1
0.509667	0.515333	0.694667	6.38891307208248	24.9011321086091	0
0.51	0.515333	0.688	5.6055670115187	21.2915210653998	0
0.509	0.514667	0.691333	6.89877767982706	24.4601142510589	0
0.509	0.515	0.691667	7.16907692921532	24.3568248801106	0
0.509	0.515333	0.69	6.89136033902259	24.0150838310219	0
0.513667	0.517	0.674	1.03969765892035	3.86510567201448	0
0.512667	0.516333	0.673333	1.26512304003099	4.66592577928577	0
0.513	0.516	0.672333	1.38191146422795	4.41179795852593	0
0.513333	0.518	0.675	1.05548172751772	3.75550448688355	0
0.513333	0.517333	0.673667	1.03150715404488	3.70512713868664	0
0.513667	0.517667	0.672667	1.05286617099243	3.59721815861219	0
0.513667	0.517333	0.675	1.03573508902027	3.71562518506737	0
0.514667	0.518333	0.674333	1.14137107884450	3.67674576904041	0
0.511667	0.516667	0.674	1.26106434447142	4.17288855030742	0
0.513	0.517333	0.675333	1.14968634005889	3.95155954627780	0
0.512	0.517	0.676667	1.14566852221486	4.37324610636891	0
0.509	0.516	0.684	5.39631574837846	21.5939697670549	0
0.510667	0.518667	0.684333	2.71304707196564	10.2585689627321	0
0.509	0.514667	0.669	2.33406573333781	8.10271951866505	0
0.508	0.514333	0.669	2.33406573333781	8.38317327333402	0
0.510667	0.516	0.679	2.23667334269392	5.92847949362862	0
0.511333	0.517333	0.679667	1.79820724449935	5.40206137082746	0
0.511	0.515	0.676	1.84303094859089	6.47178306893239	0
0.51	0.514667	0.675	1.84303094859089	6.91040371143025	0
0.513	0.517667	0.679667	1.66147192269359	4.17210629985103	0
0.509	0.514333	0.692667	6.9115974788657	25.4423335124532	0
