Set_Number	OneWayAcc	TwoWayAcc	FiveWayAcc	ChiMaxs	ChiSums
601	0.508667	0.514667	0.684333	3.25333230059346	11.3087043832639
602	0.509667	0.516	0.691333	2.91648472048777	11.4039482548103
603	0.51	0.518667	0.671667	2.71304707196564	7.49295186737841
604	0.510333	0.517	0.686333	2.38690920829224	7.7664379500425
605	0.508	0.516667	0.696333	3.6456030893644	12.4285756978297
606	0.513667	0.521667	0.699667	2.98163802641038	8.38294635208022
607	0.514667	0.523333	0.695	2.3991808640806	8.68808157124887
608	0.508667	0.513	0.69	5.14383163672876	12.2273458097384
609	0.511	0.515333	0.704333	3.81968232243255	14.8945410429831
610	0.507333	0.515	0.687667	6.30326186858632	24.9786786881618
611	0.511	0.519667	0.708	4.68118718884128	16.2821101597817
612	0.506667	0.512667	0.681333	7.45908440336552	24.1812098805198
613	0.509333	0.516667	0.702	4.92886527047158	19.2013341886208
614	0.513333	0.520333	0.693	3.22968754016988	9.17735502350692
615	0.507667	0.514333	0.681	6.098068115232	26.9251881634071
616	0.510333	0.518	0.697	0.443619008065455	1.48368628132496
617	0.508333	0.518	0.696667	2.73659809134529	10.4631897555121
618	0.508	0.517	0.693667	4.69695379402228	15.9658777708758
619	0.509	0.516	0.688	2.13441526145994	9.1328265598496
620	0.511667	0.519	0.697	2.61653552985532	9.35166857744325
621	0.515333	0.520667	0.696667	1.53451348803877	6.26737369946252
622	0.515	0.522	0.687	1.28096511444198	3.15621639805013
623	0.511333	0.518667	0.691	4.26558963068869	10.5460042978598
624	0.516333	0.523	0.689	1.71724490770116	5.68436214146468
625	0.509	0.519	0.707	5.87743712880414	19.5560060567061
626	0.513333	0.519667	0.691	3.07436231645058	9.4434076989917
627	0.513333	0.519333	0.69	1.53451348803877	5.32001037494538
628	0.514	0.520333	0.697	4.05593427223707	11.523579702943
629	0.514667	0.519333	0.701333	3.43628468273382	15.0907972129418
630	0.510333	0.518333	0.687	4.02706007684659	15.4293719465831
631	0.517	0.523	0.693333	0.859508157523617	2.55817795960691
