Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	FiveWayAcc	ChiMaxs	ChiSums	Best
601	1	0.508	0.514	0.677667	2.39488250334374	9.87301455314917	0
601	2	0.508667	0.513333	0.675333	2.55838881134541	10.1478453962284	0
601	3	0.511	0.517667	0.667	0.961843781594917	3.57640942747893	0
601	4	0.511333	0.517	0.668667	0.96184378159492	3.99014709608187	0
601	5	0.508	0.514667	0.681333	3.06399613801939	10.7958421857007	0
601	6	0.504667	0.512667	0.666	3.83810581449554	15.1406662426128	0
601	7	0.504667	0.514667	0.670333	3.45380690493677	14.5402080434489	0
601	8	0.504333	0.515	0.668667	3.26613281967696	13.9962887905128	0
601	9	0.510333	0.515333	0.668	1.17161301484109	4.58676751810133	0
601	10	0.511	0.515333	0.665333	0.96184378159492	3.99288681350165	0
601	11	0.510667	0.515	0.666	1.06320857940319	4.66424633707246	0
601	12	0.511667	0.515333	0.668667	1.15342310902483	4.55232957547562	0
601	13	0.511667	0.516667	0.67	1.04682087434988	4.19230004480417	0
601	14	0.51	0.515333	0.661333	1.28930030794645	4.15542697440949	0
601	15	0.51	0.515667	0.660667	1.29005931218573	4.06894757696747	0
601	16	0.510333	0.517333	0.685	2.85700626983149	10.3031809092043	0
601	17	0.511	0.517	0.684667	3.03757682725565	9.9361005902665	0
601	18	0.511	0.517333	0.685333	2.85700626983149	9.89632697081056	0
601	19	0.510667	0.517333	0.686	3.03757682725565	10.0734319271642	0
601	20	0.51	0.516333	0.685333	3.26186346060845	11.1067442738312	0
601	21	0.508	0.513	0.673667	3.07897459280419	9.9183015202883	0
601	22	0.507667	0.513	0.672667	2.90125240902524	10.3940494717873	0
601	23	0.507333	0.513333	0.672333	2.72718213556236	10.1348081883084	0
601	24	0.509333	0.517333	0.678667	2.08760086212295	9.27374964605994	0
601	25	0.508667	0.516	0.681667	2.56219118815517	10.6621034507984	0
601	26	0.509667	0.517333	0.678	2.08990002099092	8.64272958709326	0
601	27	0.506333	0.511	0.673333	3.6281236336834	13.3885013652423	0
601	28	0.506333	0.511667	0.673667	3.4316674473755	13.2106000822624	0
601	29	0.505667	0.512667	0.673	3.25664877627283	13.1875720254438	0
601	30	0.505667	0.512333	0.672333	3.25664877627283	13.2163889630163	0
601	31	0.506	0.512333	0.674333	3.25333230059346	13.3699158340547	0
601	32	0.506	0.512	0.670667	3.24528435022188	12.8981047267775	0
601	33	0.504333	0.513667	0.67	3.45380690493677	14.5191026314633	0
601	34	0.512	0.515667	0.666333	0.832300094835974	3.62140532941521	0
601	35	0.512	0.517	0.663667	0.734889068779993	3.07786171384005	0
601	36	0.511667	0.517333	0.664333	0.77040085386117	3.14251012935353	0
601	37	0.510333	0.515	0.661	1.17509296488378	4.26322711507885	0
601	38	0.507667	0.514	0.677	2.55374496624381	10.3339294719311	0
601	39	0.508333	0.513667	0.678	2.55627749474952	10.1788833405643	0
601	40	0.509	0.514333	0.677333	2.39488250334374	9.48603696378621	0
601	41	0.508333	0.513667	0.675333	2.55838881134541	10.1451751575686	0
601	42	0.508667	0.513667	0.675	2.89721727484207	9.4761251625213	0
601	43	0.507	0.513333	0.679	2.89721727484207	10.7577108722733	0
601	44	0.511333	0.517	0.664667	0.96000172954703	3.49019472888478	0
601	45	0.511333	0.516	0.667	0.96000172954703	3.75116532204655	0
601	46	0.511333	0.518	0.667333	0.862002251282485	3.36961633486871	0
601	47	0.511	0.517667	0.666333	0.961843781594917	3.51959081894111	0
601	48	0.511333	0.515333	0.667667	1.06652824128222	4.27714571839119	0
601	49	0.508333	0.515	0.681333	3.06399613801939	10.2194117303877	0
601	50	0.508	0.514	0.679333	3.25333230059346	10.8653835919991	0
601	51	0.508	0.515333	0.683	2.88378524737118	10.7725050542039	0
601	52	0.508	0.514333	0.68	3.4316674473755	11.1656248116527	0
601	53	0.508333	0.514333	0.681	3.24954390952082	10.6869044004485	0
601	54	0.504333	0.512	0.666667	3.63660895209099	15.6107750315219	0
601	55	0.504	0.512333	0.667667	4.04122320422861	16.0263063135565	0
601	56	0.505333	0.515	0.670667	3.26376064254526	14.3517768169993	0
601	57	0.504	0.514667	0.67	3.84425577810521	15.0866514395225	0
601	58	0.505	0.514333	0.668	3.26613281967696	13.9957359715766	0
601	59	0.504333	0.514667	0.668333	3.26613281967696	13.9962887905128	0
601	60	0.510667	0.515333	0.668333	1.28687290467919	4.81188123150897	0
601	61	0.510333	0.515333	0.665667	1.06542114387052	4.57097439041339	0
601	62	0.51	0.515667	0.667333	1.17161301484108	4.8586154610187	0
601	63	0.510667	0.515333	0.667333	1.06542114387052	4.36843956869998	0
601	64	0.510667	0.515333	0.665	1.17596371226381	4.29677594110526	0
601	65	0.511333	0.515333	0.668667	1.03969765892035	4.82820017973679	0
601	66	0.511667	0.515333	0.670333	1.38599674309826	5.07586654118296	0
601	67	0.512333	0.515333	0.668	1.04682087434988	4.35739351833482	0
601	68	0.511	0.515667	0.669667	1.14968634005889	4.46667099890112	0
601	69	0.512	0.516333	0.669667	1.04682087434988	4.07800584251976	0
601	70	0.511667	0.518	0.685667	3.22355265439105	9.76351737843292	0
601	71	0.51	0.517333	0.687667	3.6401054889401	11.9292865612336	0
601	72	0.509667	0.517	0.685333	3.6401054889401	11.4819459681473	0
601	73	0.511	0.517333	0.685667	2.85700626983149	10.0208270969816	0
601	74	0.510667	0.516667	0.685	2.85700626983149	10.0208491306935	0
601	75	0.510333	0.516667	0.686667	3.44990961478076	11.1673692441761	0
601	76	0.509667	0.516333	0.685	3.44990961478076	11.4110895854785	0
601	77	0.507667	0.513333	0.671667	2.56007843805409	9.88947337638607	0
601	78	0.507333	0.512667	0.672667	2.7287063685719	10.4853764688449	0
601	79	0.507333	0.513	0.673667	3.08058962874615	11.1505845638204	0
601	80	0.507333	0.512667	0.672333	2.54362632513131	10.3490889515398	0
601	81	0.507333	0.513667	0.672	2.55627749474952	10.0637334470576	0
601	82	0.509	0.517333	0.678	2.24023872963181	9.4059178001039	0
601	83	0.509333	0.516667	0.678	2.08760086212295	8.88983083343696	0
601	84	0.508667	0.517667	0.678	2.08760086212295	9.0397642248852	0
601	85	0.509	0.518	0.679	2.22480758350227	9.16778034310787	0
601	86	0.508333	0.515667	0.68	2.24222062839582	9.91708736341898	0
601	87	0.51	0.517	0.677667	2.07841590180895	8.77698260736108	0
601	88	0.508667	0.514667	0.684333	3.25333230059346	11.3087043832639	1
601	89	0.506333	0.511333	0.672333	3.4316674473755	12.9053948954395	0
601	90	0.506	0.512667	0.673	3.4316674473755	13.0333006826559	0
601	91	0.506667	0.512	0.673667	3.4316674473755	13.0699232259493	0
601	92	0.506667	0.512	0.672667	3.24954390952081	12.8879180432795	0
601	93	0.505667	0.512333	0.673333	3.4472313754962	13.2811509741765	0
601	94	0.506	0.512667	0.674	3.25664877627283	13.3202794889947	0
601	95	0.506	0.512	0.673667	3.25664877627283	13.5149302530796	0
601	96	0.505667	0.511667	0.672667	3.64310371913805	13.7535262054282	0
601	97	0.505667	0.513	0.674667	3.25333230059346	13.5157834124192	0
601	98	0.506333	0.512333	0.674667	3.25333230059346	13.5025243003216	0
601	99	0.511	0.516667	0.660667	1.17567342936862	3.55575845802386	0
601	100	0.512333	0.517	0.665667	0.768275925537618	2.99924730854574	0
602	1	0.511	0.516	0.687333	2.5960621182107	9.51764934085889	0
602	2	0.511667	0.520333	0.681667	1.87421054018109	4.53112281183779	0
602	3	0.513333	0.522333	0.671333	0.503686850689399	1.7746793111525	0
602	4	0.509	0.514333	0.681667	3.26660734839106	12.053707265283	0
602	5	0.509	0.514667	0.689667	2.90411655829094	12.3494099496748	0
602	6	0.509333	0.515	0.689333	2.90411655829094	12.1339850836846	0
602	7	0.509333	0.515667	0.685333	2.58521549115921	9.68254437965736	0
602	8	0.51	0.516667	0.686333	2.5960621182107	9.41916312338816	0
602	9	0.508667	0.515	0.669667	2.87931420455646	8.7176275501871	0
602	10	0.508	0.516	0.671667	2.71674070345601	9.28652662926827	0
602	11	0.508333	0.518	0.675	2.66803991748207	8.19863985079543	0
602	12	0.511333	0.52	0.681	1.71724490770116	4.87925523862743	0
602	13	0.513333	0.522	0.676333	0.804542479521805	2.51976302872591	0
602	14	0.516333	0.524	0.680667	0.310732790536963	1.17717609621193	0
602	15	0.515667	0.524333	0.681333	0.438730081122655	1.30248404300889	0
602	16	0.513333	0.521333	0.669	0.503686850689399	1.67053440369754	0
602	17	0.511667	0.519667	0.677	1.03150715404488	3.60337506141606	0
602	18	0.513	0.519667	0.677333	0.768275925537618	2.64129450084929	0
602	19	0.512333	0.519333	0.680333	0.730736706263842	2.81797550800802	0
602	20	0.512667	0.52	0.680667	0.96000172954703	3.16309403028424	0
602	21	0.511	0.519667	0.675667	1.24190659502934	3.89147266095124	0
602	22	0.511667	0.520667	0.677	1.24190659502934	3.48604165156875	0
602	23	0.511	0.516	0.685667	2.23667334269391	8.98734002913206	0
602	24	0.510667	0.516667	0.688	2.55838881134541	9.20902936463218	0
602	25	0.511667	0.518333	0.686333	2.08377152488672	7.91888401391456	0
602	26	0.510333	0.516333	0.689	2.58521549115921	9.51845612643128	0
602	27	0.508667	0.515667	0.675667	2.71304707196564	10.033890971461	0
602	28	0.509	0.516667	0.672333	2.49080497330736	7.91646990923664	0
602	29	0.516667	0.525	0.681667	0.26659650819415	1.02452703202386	0
602	30	0.513333	0.521667	0.666667	0.372000744001488	1.46904741277513	0
602	31	0.513333	0.520333	0.665333	0.494799365744675	1.77834151158953	0
602	32	0.512667	0.520333	0.667	0.749277583884863	2.01620165469606	0
602	33	0.515	0.523333	0.666667	0.405811799197668	1.23102972649156	0
602	34	0.510667	0.517667	0.689	2.41622675963729	8.74084026252035	0
602	35	0.507333	0.515333	0.674333	2.88781187943826	10.6919101693325	0
602	36	0.511667	0.520667	0.683	1.88113173887083	4.64161124519181	0
602	37	0.513667	0.522333	0.671667	0.503686850689399	1.7746793111525	0
602	38	0.513667	0.522667	0.670667	0.506281351212239	1.71269408169287	0
602	39	0.513667	0.521667	0.672	0.578215065176025	1.92131643795015	0
602	40	0.513667	0.521	0.668	0.369936324196777	1.39638913467838	0
602	41	0.514333	0.521333	0.669	0.367712997419831	1.46444581612307	0
602	42	0.508333	0.515333	0.672333	2.65254051978071	8.98975653498153	0
602	43	0.508667	0.515333	0.674333	2.65254051978071	8.60623509749727	0
602	44	0.509333	0.514667	0.682	3.26613281967696	11.8723175800968	0
