OneWayAcc	TwoWayAcc	FiveWayAcc	ChiMaxs	ChiSums	Best
0.516333	0.522	0.680667	0.765682591850359	2.28441451840203	0
0.516	0.521333	0.680667	0.853909012088821	2.42764253918737	0
0.512333	0.519	0.681333	1.53533924504348	4.48469400868314	0
0.512	0.518	0.679333	1.29051481545601	4.40646785860566	0
0.512	0.518333	0.68	1.41062703196449	4.57780152337219	0
0.512	0.518667	0.681333	1.536	4.68938060077686	0
0.511667	0.517667	0.680333	2.09047499308967	5.51314656195101	0
0.512	0.517333	0.676667	1.66662370396148	5.21185274273046	0
0.512333	0.519667	0.681	1.40967595558794	4.17299716958769	0
0.512333	0.521	0.681333	1.28930030794645	3.96608449067905	0
0.512333	0.520667	0.679667	1.40872517965822	4.01894646232269	0
0.512333	0.518	0.675	1.29005931218573	4.10571431413159	0
0.512333	0.517333	0.680333	1.80266666666667	5.55359247896187	0
0.513667	0.522	0.699667	2.85032926381480	10.4476623479101	0
0.516	0.524333	0.703667	2.02898905288572	8.26573946235584	0
0.513667	0.521667	0.694	2.35412292167768	8.77547193290599	0
0.517333	0.523667	0.681667	0.757693277323836	2.13484087152055	0
0.511667	0.520667	0.687333	2.01464499485863	6.8436728743562	0
0.516333	0.521667	0.681333	0.853909012088821	2.34082899313655	0
0.512333	0.518667	0.68	1.41030997312388	4.21471024076857	0
0.512667	0.516667	0.675667	1.66662370396148	5.65293814339417	0
0.512333	0.521333	0.682333	1.28930030794645	4.05557814998024	0
0.512333	0.519333	0.674333	1.28930030794645	3.81112305392896	0
0.510667	0.518	0.676	2.09066666666667	5.92211983045248	0
0.511667	0.518333	0.681	1.80266666666667	5.45050964607841	0
0.511667	0.517	0.679333	1.94395372825478	5.92677982927123	0
0.513333	0.519	0.687333	1.80248819135973	5.52677604975611	0
0.513333	0.519	0.688333	1.94395372825478	5.67592226230574	0
0.513333	0.522	0.699667	2.85700626983149	10.6190488739308	1
0.514333	0.522	0.699333	2.85032926381480	9.88474247469834	0
0.516333	0.524	0.704667	2.04186303759579	8.51725748722074	0
0.515333	0.524667	0.704667	2.49831983734561	9.10635615544296	0
0.515667	0.523333	0.702667	2.03561067268336	8.61443831625482	0
0.512333	0.519667	0.678	1.17567342936862	3.9127685507265	0
0.511667	0.518667	0.679333	1.29066666666667	4.36824166372185	0
0.513667	0.522	0.696	2.51841008656771	9.48790088956408	0
0.514	0.521333	0.696667	2.39263239114584	9.1074455670679	0
0.516333	0.522667	0.681667	0.764034465919504	2.33535008182359	0
0.517333	0.523	0.680667	0.757693277323836	2.09364644141945	0
0.515	0.520667	0.683	1.16004831837639	3.6048239118603	0
0.515	0.520667	0.682333	1.16004831837639	3.39039041149033	0
0.512667	0.518667	0.680667	1.53451348803877	4.45277379175269	0
0.512333	0.516667	0.675	1.66662370396148	5.15813175519289	0
0.512333	0.517	0.676667	1.66662370396148	5.14424541286538	0
0.512333	0.517333	0.676667	1.53533924504348	5.10917668871236	0
0.511667	0.517	0.677	1.80266666666667	5.56217493054569	0
0.512333	0.517	0.676333	1.66662370396148	5.09058048510331	0
0.513333	0.519667	0.681	1.17509296488378	3.94028081859234	0
0.512667	0.519667	0.681333	1.41030997312388	4.33050617001923	0
0.512667	0.520333	0.679333	1.53451348803877	4.04407681607701	0
0.513333	0.521667	0.680667	1.28930030794645	3.71994007574813	0
0.512	0.520667	0.681	1.40872517965822	4.25025793691334	0
0.512667	0.521	0.681333	1.17422252143144	3.9180445842661	0
0.513	0.521	0.680667	1.29005931218573	3.82211208703581	0
0.512	0.521	0.680333	1.53335777674253	4.21061846582858	0
0.512667	0.518667	0.675333	1.17509296488377	4.02375131965865	0
0.512333	0.518	0.674667	1.28930030794645	3.97852578334347	0
0.512333	0.518333	0.674	1.17509296488377	3.78462534119944	0
0.511667	0.520333	0.684	2.00692627750051	6.915618415643	0
0.517333	0.522667	0.683667	0.760038926555489	2.48649243652533	0
0.516667	0.521667	0.683	0.760038926555489	2.87570433825168	0
0.515667	0.522333	0.700333	2.1889924826052	8.53860484572705	0
0.515333	0.521667	0.700667	2.37527786326183	9.3699423325113	0
0.515667	0.522333	0.701	2.21651882751527	8.72474584825417	0
0.515333	0.524	0.703	2.18233141027913	8.51623523538307	0
0.516	0.525333	0.702667	2.03561067268336	8.14495403038928	0
