OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.551333	0.882333	0
0.5	0.563	0.894667	0
0.5	0.556667	0.888667	0
0.501333	0.558333	0.895667	0
0.500333	0.553333	0.887	0
0.500333	0.552333	0.886	0
0.500667	0.501333	0.881	0
0.501667	0.557333	0.894667	0
0.500333	0.56	0.894	0
0.500667	0.551333	0.885333	0
0.500333	0.551	0.883333	0
0.501	0.555333	0.891333	0
0.501	0.568667	0.904	0
0.502667	0.562667	0.901333	0
0.500333	0.549333	0.880667	0
0.500333	0.501667	0.879333	0
0.500333	0.555	0.890667	0
0.5	0.553667	0.886333	0
0.500333	0.564333	0.900667	0
0.500667	0.562333	0.898667	0
0.501	0.551667	0.885667	0
0.500333	0.502	0.88	0
0.501	0.558	0.894667	0
0.501667	0.557667	0.895	0
0.501667	0.563333	0.902	0
0.500667	0.552667	0.886333	0
0.500667	0.549333	0.881667	0
0.500333	0.501333	0.878667	0
0.500667	0.564	0.901	0
0.502	0.553	0.888	0
0.500667	0.556	0.892	0
0.502	0.560333	0.897	0
0.502333	0.56	0.896	0
0.500667	0.56	0.894667	0
0.501	0.501333	0.881333	0
0.501	0.553	0.887667	0
0.500667	0.562	0.898333	0
0.501	0.570333	0.904667	0
0.501667	0.563	0.900333	0
0.501667	0.552	0.886333	0
0.502333	0.549667	0.883333	0
0.501	0.566667	0.902333	0
0.500667	0.567667	0.903333	0
0.502	0.552	0.886667	0
0.501333	0.567667	0.903667	0
0.501667	0.556667	0.893333	0
0.501	0.549667	0.882667	0
0.501667	0.561333	0.898667	0
0.501667	0.562	0.9	0
0.500333	0.562333	0.898	0
0.501	0.550333	0.884	0
0.500333	0.550667	0.883	0
0.500667	0.553667	0.889667	0
0.500333	0.554	0.890333	0
0.501333	0.566333	0.902333	0
0.500333	0.560333	0.895333	0
0.500667	0.561	0.897	0
0.501333	0.563333	0.9	0
0.502333	0.568333	0.904667	0
0.501	0.557	0.893667	0
0.501	0.551	0.884667	0
0.500333	0.551333	0.884333	0
0.501333	0.550667	0.885667	0
0.502	0.549333	0.882667	0
0.501333	0.562667	0.899667	0
0.500667	0.564333	0.901333	0
0.500667	0.555667	0.891	0
0.500667	0.567333	0.902667	0
0.500333	0.556	0.891333	0
0.502	0.561	0.898333	0
0.502333	0.548667	0.883	0
0.500667	0.569333	0.904	0
0.500333	0.557333	0.893667	0
0.500333	0.561333	0.897333	0
0.500333	0.549667	0.881	0
0.500667	0.563	0.899667	0
0.501667	0.560667	0.897333	0
0.500333	0.556333	0.892333	0
0.501333	0.502333	0.882333	1
0.502333	0.562333	0.901	0
0.502	0.563	0.901333	0
0.503667	0.551	0.886	0
0.500667	0.569667	0.904333	0
0.501333	0.561667	0.899	0
0.500667	0.550667	0.884333	0
0.500667	0.560667	0.896667	0
0.500667	0.556667	0.893	0
0.500667	0.556333	0.892667	0
0.500667	0.553	0.886667	0
0.500667	0.55	0.883667	0
0.501333	0.551333	0.886	0
0.501	0.562667	0.899333	0
0.501333	0.557667	0.894	0
0.500333	0.563667	0.900333	0
0.500667	0.552	0.886	0
0.501667	0.558	0.895333	0
0.501667	0.553333	0.888	0
0.501333	0.552667	0.886667	0
0.500333	0.552	0.884667	0
0.501	0.501	0.880667	0
0.502	0.552333	0.887	0
0.501333	0.564	0.901667	0
0.501667	0.550333	0.885	0
0.501333	0.567	0.903	0
0.501667	0.561	0.898	0
0.502667	0.548333	0.882667	0
0.500667	0.569	0.903667	0
0.500333	0.556667	0.892667	0
0.501	0.567	0.902667	0
0.502667	0.562	0.900333	0
0.501667	0.561667	0.899667	0
0.503333	0.549333	0.883333	0
0.503333	0.549667	0.883667	0
