OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
0.502	0.507667	0.520333	0.547333	0.700667	0
0.502333	0.508333	0.520333	0.547333	0.704	0
0.502667	0.508667	0.52	0.548	0.703	0
0.502	0.509667	0.521	0.548667	0.703333	0
0.503	0.509	0.520333	0.547667	0.704333	0
0.502667	0.509333	0.520667	0.547333	0.704667	0
0.502333	0.509	0.521667	0.547	0.703	0
0.503	0.508667	0.52	0.547333	0.702333	0
0.503	0.509	0.520333	0.546333	0.700667	0
0.502667	0.51	0.521	0.546	0.702	0
0.502667	0.509667	0.52	0.546667	0.703333	0
0.502667	0.509333	0.52	0.547667	0.703	0
0.502667	0.509	0.519667	0.546667	0.702667	1
0.503333	0.51	0.519333	0.547667	0.702333	0
0.503667	0.509333	0.517	0.546	0.694667	0
0.502667	0.509	0.517333	0.546	0.694667	0
0.503	0.508333	0.517333	0.545	0.694	0
0.503	0.509	0.518	0.545667	0.695667	0
0.503	0.507667	0.518333	0.545333	0.695333	0
0.502	0.51	0.518667	0.553667	0.701	0
0.502333	0.509667	0.518333	0.554	0.701333	0
0.502	0.509	0.518333	0.554	0.698	0
0.502	0.509667	0.519	0.551333	0.7	0
0.502	0.509667	0.518333	0.552	0.700333	0
0.502333	0.509667	0.518	0.550667	0.697	0
0.502	0.509333	0.518667	0.552333	0.699333	0
0.502667	0.510667	0.519	0.553333	0.705	0
0.502667	0.510667	0.519	0.552333	0.704667	0
0.503	0.51	0.518333	0.553333	0.704667	0
0.503333	0.509667	0.519333	0.553	0.704667	0
0.502333	0.509667	0.519333	0.552667	0.702333	0
0.502667	0.51	0.518667	0.553	0.702667	0
0.504	0.509667	0.518333	0.553	0.704667	0
0.503333	0.508333	0.518667	0.552333	0.704	0
0.504333	0.509667	0.521333	0.554333	0.705333	0
0.504	0.509333	0.519	0.549	0.703	0
0.503	0.507667	0.517667	0.550333	0.700333	0
0.503	0.507667	0.517333	0.551	0.700667	0
0.503333	0.508	0.518	0.551333	0.702	0
0.502667	0.508333	0.518333	0.549333	0.699	0
0.503	0.508	0.518333	0.549333	0.700333	0
0.503333	0.508333	0.518667	0.550667	0.702	0
0.502667	0.508667	0.518333	0.551667	0.7	0
0.503	0.508333	0.518	0.552333	0.702	0
0.502333	0.509333	0.518667	0.550667	0.699333	0
0.503	0.508667	0.518	0.549333	0.703	0
0.503	0.508667	0.518667	0.549333	0.703333	0
0.501667	0.508333	0.520333	0.553333	0.700333	0
0.501667	0.507667	0.519667	0.554333	0.701667	0
0.502	0.507667	0.519	0.553	0.700667	0
0.502	0.507667	0.519333	0.552333	0.699333	0
0.502333	0.507667	0.520333	0.551667	0.701333	0
0.502	0.507333	0.520333	0.550667	0.700333	0
0.502	0.508333	0.518667	0.550333	0.698	0
0.502333	0.507667	0.518333	0.551333	0.697667	0
0.502333	0.507667	0.519	0.547333	0.699667	0
0.503	0.506667	0.52	0.549333	0.699667	0
0.502667	0.507	0.519	0.549667	0.701333	0
0.502667	0.506333	0.520333	0.549667	0.699333	0
0.502667	0.507667	0.519333	0.551333	0.702	0
0.502333	0.507333	0.52	0.551	0.699667	0
0.502667	0.507	0.519667	0.549333	0.700333	0
0.503	0.507	0.52	0.548	0.700667	0
0.501	0.508	0.520333	0.546667	0.691	0
0.501	0.507333	0.521667	0.546	0.69	0
0.501	0.507	0.521667	0.547	0.690333	0
0.500667	0.507667	0.518667	0.549	0.687	0
0.500667	0.507667	0.518	0.547667	0.686333	0
0.500667	0.508	0.517333	0.547333	0.686333	0
0.501	0.508667	0.517667	0.547667	0.688333	0
0.502	0.506333	0.518	0.548333	0.692667	0
0.501333	0.508	0.519333	0.545333	0.692333	0
0.501667	0.507333	0.518	0.544667	0.692	0
0.502	0.507667	0.518667	0.545333	0.693	0
0.501667	0.506333	0.517667	0.545	0.690667	0
0.501667	0.508333	0.518333	0.545667	0.693333	0
0.501667	0.507333	0.517667	0.544	0.689667	0
0.501667	0.506667	0.519333	0.544	0.689333	0
0.501333	0.507667	0.519	0.543333	0.689333	0
0.501667	0.506667	0.518667	0.544333	0.691	0
0.501333	0.507667	0.518333	0.544	0.689333	0
0.502	0.506667	0.516667	0.544333	0.691333	0
0.502333	0.507	0.517667	0.544	0.693	0
0.502667	0.507333	0.517333	0.544	0.691667	0
0.501667	0.506667	0.516667	0.545667	0.691667	0
0.502	0.507	0.516	0.542667	0.689	0
0.503667	0.506333	0.517333	0.540333	0.684667	0
0.503	0.506667	0.517667	0.541	0.684667	0
0.503667	0.507	0.517	0.541	0.684	0
0.501667	0.506	0.516667	0.542333	0.685333	0
0.502333	0.507	0.517	0.542	0.683667	0
0.501	0.506	0.517333	0.543333	0.684	0
0.501667	0.505333	0.517333	0.542667	0.682333	0
0.501667	0.505667	0.515667	0.544	0.684333	0
0.501667	0.505667	0.516667	0.543	0.686	0
0.502	0.506667	0.516667	0.542333	0.685667	0
0.504333	0.506333	0.517333	0.541333	0.686	0
0.503333	0.507667	0.518	0.542	0.691333	0
0.504	0.508667	0.518	0.540667	0.689333	0
0.502667	0.507333	0.519	0.541667	0.688667	0
