Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums	Best
401	1	0.504333	0.511333	0.653667	0.125285397729614	0.306708874670858	0
401	2	0.503333	0.505	0.645667	0.264915399364063	0.729359421062964	0
401	3	0.506	0.510667	0.647333	0.0231106007806084	0.0416719478164317	0
401	4	0.501333	0.505667	0.648667	0.38098290825175	0.796773668999558	0
401	5	0.501333	0.506333	0.649333	0.379896232668268	0.764524334481091	0
401	6	0.506333	0.512333	0.650333	0.0151765780408669	0.0203662620432949	0
401	7	0.503333	0.51	0.649333	0.0782285983585499	0.162097911309991	0
401	8	0.506333	0.513	0.65	0.014440982070532	0.0171088368508643	0
401	9	0.503	0.506667	0.655333	0.682666666666667	1.55525603421693	0
401	10	0.504333	0.509667	0.65	0.130063265212384	0.226474869617468	0
401	11	0.504	0.509667	0.65	0.169767315810681	0.266178920215766	0
401	12	0.504	0.508333	0.648	0.215226085597059	0.311393572270884	0
401	13	0.503333	0.508667	0.648667	0.169767315810681	0.318652764595405	0
401	14	0.501333	0.504667	0.649333	0.383916036440991	1.11840488447564	0
401	15	0.503333	0.507333	0.652667	0.362795505238418	0.67423125372556	0
401	16	0.503667	0.508333	0.649333	0.192609784410474	0.329883370434451	0
401	17	0.503333	0.508	0.649333	0.294005491738043	0.489671261859747	0
401	18	0.504	0.511	0.652667	0.170666666666667	0.412913133654278	0
401	19	0.506333	0.510333	0.647333	0.0185613470358234	0.0313883499650993	0
401	20	0.503667	0.509667	0.648333	0.108848692328395	0.245826804315211	0
401	21	0.505	0.508	0.644667	0.0798053123847052	0.127752216293616	0
401	22	0.503	0.504667	0.643333	0.264146620352127	0.727410611518195	0
401	23	0.503667	0.505667	0.642667	0.248999504715622	0.674793503288355	0
401	24	0.501333	0.504667	0.651667	0.522666666666667	1.21500244961132	0
401	25	0.501333	0.504	0.650333	0.522666666666667	1.16529658976564	0
401	26	0.501667	0.505	0.652	0.599973866939617	1.33997465005742	0
401	27	0.505667	0.511333	0.651333	0.094482237339380	0.194941248848919	0
401	28	0.503667	0.507	0.655667	0.521104636049524	0.916544069629296	0
401	29	0.503	0.507333	0.656333	0.448828925767639	0.979543865349872	0
401	30	0.504333	0.511667	0.654333	0.125285397729614	0.30543713083789	0
401	31	0.504	0.505333	0.645	0.319418222209398	0.647717428328625	0
401	32	0.502	0.506333	0.648667	0.379896232668268	0.710610757420994	0
401	33	0.504	0.509667	0.648	0.108848692328395	0.217636969649894	0
401	34	0.504333	0.509667	0.649333	0.0513284156248035	0.103731582742628	0
401	35	0.504	0.510667	0.648667	0.0310933859841542	0.0649800180535491	0
401	36	0.504667	0.509333	0.649667	0.0662347073765813	0.118786661752913	0
401	37	0.504333	0.510333	0.648667	0.0422151707251851	0.0970489687989912	0
401	38	0.504333	0.508	0.646	0.192609784410474	0.283149223391203	0
401	39	0.503667	0.508333	0.646	0.19488839233358	0.261309344513674	0
401	40	0.504	0.508	0.645667	0.150941275194693	0.177558382366012	0
401	41	0.503	0.508	0.656	0.448828925767639	0.95805804512349	0
401	42	0.503667	0.507	0.656333	0.448828925767639	0.95444908292474	0
401	43	0.504333	0.507667	0.656333	0.382657648955164	0.720200889372425	0
401	44	0.503667	0.507333	0.655667	0.383244647730613	0.870569023211363	0
401	45	0.503	0.504333	0.644333	0.321107730007071	0.889525456932091	0
401	46	0.503	0.507333	0.653	0.322185122592578	0.70030661382388	0
