Set_Number	OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums
401	0.502667	0.507333	0.656667	0.568396715346771	1.23320983339661
402	0.501333	0.51	0.657667	0.450462294357813	1.10076964674858
403	0.507667	0.514333	0.678333	1.38191146422795	3.09418182720717
404	0.502	0.505333	0.666	0.265545208875549	0.616718034561127
405	0.505333	0.511333	0.676	0.657832827675559	1.64741797442948
406	0.507667	0.516333	0.671	0.510909634666791	1.03404792507289
407	0.503667	0.507	0.686667	1.26888655742632	3.18757528994362
408	0.504667	0.508	0.641	2.21178878607028	5.05988446119051
409	0.510667	0.513667	0.678333	2.81041641380684	8.04565241926134
410	0.505667	0.515333	0.670667	2.30268747067042	4.919271852963
411	0.505	0.509333	0.653	3.07136601497987	8.02843970647879
412	0.510667	0.513667	0.682333	0.730736706263842	1.90775740608485
413	0.503667	0.506667	0.655667	0.263239464907741	0.488038029226907
414	0.502	0.509	0.690667	1.06652824128222	2.62781167298357
415	0.502	0.505	0.674667	1.28687290467919	3.14048983429003
416	0.505333	0.512333	0.668	1.53335777674253	3.45655320916061
417	0.504333	0.508667	0.659667	0.77040085386117	1.53010674172666
418	0.506	0.509667	0.661	0.259695290858725	0.592766706646984
419	0.503	0.505	0.706667	0.263239464907739	0.659116721119683
420	0.504667	0.509333	0.712667	0.296811494803201	0.770810470897188
421	0.505	0.511667	0.673	0.521104636049527	0.59060144321446
422	0.504333	0.516667	0.665	3.35913425526009	9.45773398517965
423	0.502667	0.511	0.659	0.764034465919504	1.69975408667902
424	0.503	0.504667	0.714333	0.843870868772403	1.33666638049768
425	0.503333	0.506667	0.684333	0.596841863339499	1.43161923536865
426	0.504	0.508667	0.674333	3.20235718224769	6.1179157077606
427	0.506	0.510333	0.66	1.66147192269359	4.28076800669687
428	0.503	0.509333	0.706667	1.16593371937969	2.59353536724985
429	0.503	0.507667	0.687	0.767096619136406	1.87109693344803
430	0.502	0.507	0.65	0.87567299598122	2.40514003326938
431	0.502667	0.505333	0.698333	0.263239464907739	0.518883500220614
432	0.501333	0.505667	0.707667	0.37564762580204	0.497515784794698
433	0.501333	0.508	0.682667	0.962370389614384	2.59092897727571
434	0.505	0.507333	0.688	0.843870868772403	1.3957231472582
435	0.503333	0.509	0.677667	1.62561753347784	3.35140115558451
436	0.506333	0.509667	0.675667	1.06945789952179	1.30270520351283
437	0.503	0.510667	0.656667	0.902707574062703	1.53752289234027
438	0.502333	0.508	0.738	0.828254810607029	1.72333109252645
439	0.502333	0.505333	0.706333	0.449554514013027	1.21255712909173
