OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.5	0.51	0.811333	0
0.500333	0.502333	0.784667	0
0.500333	0.503	0.817	0
0.500333	0.507	0.855667	0
0.500333	0.510333	0.862667	0
0.500333	0.519333	0.881667	0
0.500333	0.506333	0.851	0
0.501	0.506	0.854667	0
0.500667	0.511	0.87	0
0.500333	0.505333	0.85	0
0.501	0.513333	0.877333	0
0.500333	0.502667	0.816667	0
0.500667	0.507	0.856333	0
0.500667	0.502667	0.817	0
0.500333	0.507333	0.856	0
0.500667	0.503	0.82	0
0.501667	0.502667	0.818	0
0.500667	0.507667	0.857	0
0.501	0.518667	0.883	0
0.500333	0.504667	0.849667	0
0.501	0.508333	0.862667	0
0.501333	0.502667	0.817667	0
0.500333	0.505667	0.850667	0
0.501333	0.505667	0.855	0
0.500333	0.520333	0.884333	0
0.501667	0.520667	0.888667	0
0.501333	0.504	0.823333	0
0.502333	0.510333	0.87	0
0.501	0.508667	0.863667	0
0.500333	0.515	0.880333	0
0.500333	0.503667	0.82	0
0.500667	0.504667	0.851	0
0.500667	0.504333	0.849333	0
0.500667	0.514	0.879	0
0.500333	0.52	0.884	0
0.500667	0.513667	0.877667	0
0.501	0.505333	0.854333	0
0.500333	0.514	0.876667	0
0.501	0.512667	0.874333	0
0.501	0.504	0.822667	0
0.501333	0.504667	0.853	0
0.500333	0.504	0.820333	0
0.501	0.507333	0.859333	0
0.500333	0.511	0.868333	0
0.500667	0.519	0.883667	0
0.500667	0.512667	0.872333	0
0.500667	0.508667	0.861667	0
0.501	0.512333	0.873667	0
0.502	0.519667	0.886667	0
0.501333	0.509	0.864333	0
0.501	0.514333	0.882	0
0.502667	0.506	0.857333	0
0.502	0.511333	0.874	0
0.501667	0.520333	0.888	0
0.502333	0.506667	0.859	0
0.500667	0.509333	0.863	0
0.500667	0.520667	0.885667	0
0.501	0.513667	0.88	0
0.501	0.509	0.864	0
0.501667	0.511667	0.874	0
0.501	0.521	0.888	0
0.502	0.521	0.889667	0
0.501333	0.514	0.882667	1
0.500333	0.510667	0.867667	0
0.500333	0.513	0.871333	0
0.500667	0.508333	0.859667	0
0.500667	0.506667	0.855	0
0.501667	0.521	0.889	0
0.500333	0.513667	0.876333	0
0.501333	0.520667	0.888	0
0.501333	0.514667	0.883	0
0.502	0.506	0.856667	0
0.501	0.52	0.885667	0
0.501	0.519	0.885	0
0.500667	0.520333	0.885	0
0.502	0.507667	0.860333	0
0.500667	0.505	0.854	0
0.501333	0.504333	0.85	0
0.500333	0.514667	0.879	0
0.501333	0.509333	0.865	0
0.500333	0.519667	0.883333	0
0.501667	0.511	0.871333	0
0.502667	0.511	0.872667	0
0.502	0.506333	0.858667	0
0.500333	0.509	0.862	0
0.500667	0.510333	0.867	0
0.501333	0.510667	0.869667	0
0.500667	0.514333	0.879667	0
0.501333	0.507	0.859333	0
0.501667	0.522333	0.889333	0
0.501333	0.510333	0.869	0
0.501667	0.505333	0.854667	0
0.502667	0.521667	0.89	0
0.501	0.513	0.876667	0
0.501333	0.507667	0.859667	0
0.501333	0.512	0.874	0
0.502333	0.506	0.857	0
0.501667	0.511333	0.873	0
0.501	0.510667	0.868333	0
0.501333	0.503667	0.822667	0
0.500333	0.519	0.880667	0
0.502333	0.519667	0.887	0
0.501667	0.512	0.874333	0
0.501333	0.521667	0.888667	0
0.502333	0.510667	0.872	0
0.500667	0.519667	0.884	0
0.502333	0.505667	0.856333	0
0.500667	0.503667	0.822333	0
0.501	0.511667	0.872667	0
0.501333	0.519667	0.885333	0
0.501667	0.506667	0.858667	0
0.501333	0.512667	0.875333	0
0.501333	0.506333	0.855333	0
0.500667	0.515333	0.880667	0
0.501	0.511333	0.871333	0
0.501667	0.507667	0.86	0
0.501333	0.506667	0.857667	0
0.501	0.514	0.880667	0
0.501667	0.508333	0.863333	0
0.502333	0.507333	0.859667	0
0.501	0.520667	0.887667	0
0.501667	0.52	0.887667	0
0.501667	0.510667	0.870667	0
0.500667	0.509667	0.865	0
0.501	0.507	0.859	0
0.501333	0.511333	0.872	0
0.501	0.503333	0.820333	0
0.501667	0.519667	0.886333	0
0.501667	0.512333	0.875	0
