OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
0.502	0.506	0.52	0.543333	0.680667	0
0.501667	0.506333	0.519667	0.543667	0.681333	0
0.501333	0.507	0.517667	0.540667	0.677	0
0.501333	0.508667	0.522	0.542667	0.679333	0
0.502	0.507	0.519333	0.543	0.681	0
0.501667	0.507667	0.52	0.543333	0.684	0
0.502667	0.508333	0.519	0.541667	0.680667	0
0.503	0.507333	0.519333	0.541667	0.680333	0
0.502667	0.507667	0.518	0.543667	0.682333	0
0.502333	0.508	0.517667	0.543	0.682333	0
0.503	0.507333	0.518	0.542667	0.684333	0
0.503	0.507667	0.518	0.542	0.681333	0
0.502333	0.506667	0.517667	0.541333	0.679667	0
0.503	0.508	0.518	0.541333	0.682	0
0.502	0.507667	0.518	0.545667	0.681667	0
0.501333	0.505667	0.517667	0.542667	0.676	0
0.501333	0.507333	0.518333	0.539	0.673	0
0.501333	0.507	0.518	0.539	0.672	0
0.501	0.507333	0.519333	0.539	0.673	0
0.501333	0.507333	0.519	0.539667	0.674333	0
0.501667	0.507333	0.518333	0.539667	0.674667	0
0.501	0.506667	0.518667	0.54	0.675	0
0.501333	0.506667	0.518	0.539333	0.674	0
0.501	0.506	0.517333	0.541	0.673667	0
0.501333	0.506333	0.517	0.541333	0.675333	0
0.501667	0.507	0.518333	0.544	0.679333	0
0.501333	0.505667	0.517333	0.543333	0.677667	0
0.501667	0.505667	0.518667	0.541667	0.678667	0
0.501667	0.506	0.517667	0.541667	0.677667	0
0.501667	0.505667	0.517	0.541667	0.677333	0
0.502	0.505333	0.518	0.540333	0.675667	0
0.501667	0.505667	0.517	0.541333	0.677	0
0.501667	0.506	0.518	0.54	0.676333	0
0.501667	0.505	0.519	0.541333	0.677	0
0.501333	0.505667	0.518667	0.540333	0.675667	0
0.501333	0.506667	0.517667	0.540667	0.675333	0
0.502	0.506667	0.517667	0.539	0.673	0
0.501	0.508	0.517333	0.539333	0.672667	0
0.502	0.507333	0.517333	0.539	0.672667	0
0.501	0.506667	0.518	0.540667	0.670667	0
0.503	0.508	0.516333	0.538667	0.666	0
0.502	0.506	0.517333	0.539	0.671333	0
0.501667	0.506667	0.517333	0.54	0.671	0
0.501333	0.506	0.517	0.539	0.667667	0
0.501333	0.505333	0.516667	0.539333	0.668667	0
0.501	0.506	0.517333	0.539667	0.669	0
0.501333	0.506333	0.518333	0.551333	0.687667	0
0.501667	0.506	0.519667	0.549	0.685667	0
0.502	0.505667	0.518333	0.548667	0.685	0
0.502667	0.506333	0.517667	0.548667	0.687333	0
0.502333	0.506667	0.518667	0.549333	0.688	0
0.502	0.506	0.516667	0.550333	0.685667	0
0.502333	0.506333	0.518	0.551	0.688	0
0.502333	0.506333	0.517	0.548	0.685333	0
0.502667	0.506333	0.517333	0.549	0.687	0
0.501	0.506333	0.517667	0.551	0.686	0
0.502	0.506667	0.517667	0.549	0.687333	0
0.501333	0.507667	0.521667	0.552667	0.69	0
0.501333	0.507	0.519667	0.550333	0.689	0
0.501	0.506667	0.520333	0.552667	0.689333	0
0.501667	0.506667	0.519333	0.553	0.692	0
0.501333	0.506667	0.518667	0.552333	0.689	0
0.501667	0.506667	0.519	0.551333	0.69	0
0.501667	0.506667	0.518333	0.552333	0.689333	0
0.502	0.506667	0.518	0.551	0.688667	0
0.501667	0.506	0.518	0.55	0.687667	0
0.501667	0.506667	0.519333	0.549333	0.689	0
0.501333	0.507333	0.519	0.547333	0.684333	0
0.501	0.507333	0.518333	0.548	0.686333	0
0.501	0.506667	0.518667	0.548	0.686	0
0.501333	0.507	0.519	0.547667	0.686333	0
0.501667	0.507333	0.517667	0.548	0.687667	0
0.501333	0.507667	0.518667	0.547333	0.683	0
0.501667	0.507	0.518	0.547667	0.684333	0
0.501333	0.506667	0.518	0.548	0.685333	0
0.501333	0.507333	0.519333	0.547	0.682667	0
0.501	0.507	0.519	0.548	0.687667	0
0.501333	0.507667	0.520667	0.548333	0.688333	0
0.501	0.506667	0.519333	0.548333	0.686333	0
0.501333	0.507333	0.518	0.549	0.687	0
0.501667	0.507	0.518	0.549333	0.687667	0
0.501333	0.506667	0.517667	0.549333	0.687333	0
0.501333	0.507	0.518	0.548	0.686333	0
0.501667	0.506333	0.517333	0.548	0.686667	0
0.501667	0.507	0.516667	0.549667	0.686	0
0.501333	0.507333	0.519333	0.549333	0.688667	0
0.501333	0.506667	0.518	0.550333	0.688333	0
0.502	0.507333	0.519667	0.548667	0.689	0
0.501667	0.507333	0.519333	0.546333	0.685667	0
0.502	0.507	0.518667	0.547	0.687	0
0.502667	0.506667	0.519667	0.546333	0.688333	0
0.503	0.507	0.518667	0.546667	0.689	0
0.503333	0.507667	0.517667	0.546333	0.687333	0
0.504	0.507667	0.518333	0.545667	0.688667	0
0.503333	0.508667	0.518333	0.545333	0.687333	0
0.503	0.507667	0.518333	0.546	0.689333	1
0.502333	0.507333	0.518667	0.545667	0.688	0
0.502667	0.507333	0.519	0.546	0.689333	0
0.503333	0.506667	0.518333	0.547333	0.688333	0
0.501333	0.508667	0.519333	0.547	0.688667	0
