OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.502667	0.824667	0
0.5	0.500667	0.82	0
0.5	0.522667	0.852	0
0.5	0.512333	0.841667	0
0.502333	0.539667	0.870333	0
0.500667	0.504333	0.835333	0
0.500333	0.521667	0.855333	0
0.500333	0.502	0.828333	0
0.501333	0.535333	0.868	0
0.500667	0.501	0.825667	0
0.500333	0.535	0.865333	0
0.500667	0.517	0.849333	0
0.503	0.521	0.857333	0
0.501	0.529333	0.861	0
0.501	0.528667	0.860667	0
0.501667	0.503	0.833	0
0.500667	0.533333	0.863667	0
0.5	0.537667	0.867	0
0.500333	0.506667	0.837333	0
0.5	0.522333	0.851	0
0.501333	0.534	0.865667	0
0.500667	0.503333	0.832333	0
0.500667	0.537	0.868333	0
0.500667	0.511333	0.844	0
0.500667	0.505	0.835667	0
0.500333	0.501	0.824667	0
0.501333	0.533333	0.864333	0
0.500333	0.520333	0.855	0
0.501	0.54	0.869667	0
0.500333	0.511333	0.842667	0
0.500333	0.507	0.838	0
0.501333	0.540667	0.870667	0
0.502	0.530667	0.862	0
0.501	0.527333	0.859333	0
0.501333	0.502	0.830333	0
0.502	0.539667	0.87	0
0.500667	0.536333	0.867	0
0.500667	0.536667	0.867333	0
0.500667	0.519	0.854333	0
0.501	0.534	0.865333	0
0.500667	0.533	0.863	0
0.500667	0.508667	0.841	0
0.501667	0.514	0.847	0
0.501	0.527667	0.859667	0
0.500667	0.528333	0.859667	0
0.500333	0.534333	0.864333	0
0.500667	0.506	0.838333	0
0.503	0.520333	0.856667	0
0.503333	0.539667	0.871333	0
0.502	0.516667	0.851	0
0.501	0.502333	0.830333	0
0.501	0.504	0.834333	0
0.501333	0.535	0.867333	0
0.500667	0.534667	0.865667	0
0.501333	0.528	0.860333	0
0.501	0.539667	0.869333	0
0.502333	0.531667	0.863	0
0.501667	0.533333	0.865333	0
0.502333	0.522667	0.858333	0
0.500333	0.534	0.863333	0
0.500333	0.518667	0.853333	0
0.502333	0.529333	0.862333	0
0.500333	0.529667	0.860667	0
0.500333	0.507333	0.839333	0
0.501	0.514333	0.846	0
0.501	0.536	0.868333	0
0.500667	0.533667	0.864	0
0.500667	0.505333	0.836333	0
0.500667	0.511	0.843	0
0.500333	0.505333	0.835	0
0.500667	0.541667	0.871333	0
0.5	0.528333	0.856667	0
0.501333	0.518	0.854	0
0.501	0.521	0.856667	0
0.501	0.542333	0.871667	0
0.501667	0.505333	0.837	0
0.501	0.534667	0.866333	0
0.501	0.540667	0.870333	0
0.501667	0.515667	0.85	0
0.500667	0.54	0.869333	0
0.503	0.529	0.862	0
0.500667	0.541333	0.871	0
0.503333	0.539333	0.870667	0
0.500333	0.502333	0.828667	0
0.5	0.527333	0.856	0
0.501	0.540333	0.87	0
0.501667	0.533667	0.865667	0
0.502333	0.539333	0.869667	0
0.500333	0.528	0.859333	0
0.501	0.515	0.848667	0
0.500667	0.520333	0.856	0
0.500333	0.518	0.852333	0
0.501	0.538333	0.868667	0
0.500667	0.539333	0.868667	0
0.500333	0.517667	0.849333	0
0.501	0.535667	0.868	0
0.502333	0.521	0.857	0
0.500333	0.53	0.861	0
0.500333	0.511667	0.845	0
0.500667	0.526667	0.859	0
0.502667	0.538667	0.869	0
0.501333	0.514667	0.848	0
0.501333	0.520667	0.856667	0
0.501667	0.505	0.836333	0
0.501	0.515667	0.849333	0
0.500333	0.542	0.87	0
0.501667	0.518	0.854667	1
0.500667	0.502333	0.829	0
0.501	0.503	0.831667	0
0.500333	0.509333	0.841333	0
0.501	0.535333	0.867667	0
0.500667	0.536	0.866	0
0.500333	0.519333	0.854	0
0.501	0.532667	0.862333	0
0.500667	0.505667	0.837667	0
0.500333	0.504667	0.834	0
0.501	0.52	0.856	0
0.501333	0.527333	0.859667	0
0.500333	0.540667	0.868	0
0.500667	0.529333	0.860333	0
0.500667	0.541	0.870333	0
0.500333	0.508667	0.839667	0
0.502	0.515333	0.849667	0
0.500333	0.541333	0.869	0
0.503667	0.539	0.869667	0
0.502	0.533	0.863667	0
0.502	0.513667	0.846667	0
0.502	0.513	0.845333	0
0.500667	0.501667	0.826	0
0.503	0.521667	0.858	0
0.502	0.528333	0.860667	0
0.500667	0.503	0.830667	0
0.500333	0.537	0.867667	0
0.500333	0.532333	0.861667	0
0.500667	0.502667	0.829667	0
0.500333	0.518333	0.853	0
0.500333	0.529333	0.86	0
0.502333	0.521667	0.857667	0
0.501	0.534333	0.866	0
0.500667	0.539667	0.869	0
0.502	0.539333	0.869333	0
0.500667	0.52	0.855333	0
0.502	0.540333	0.871333	0
0.502667	0.522	0.858	0
0.502	0.523667	0.857667	0
0.500667	0.517333	0.852	0
0.501333	0.517333	0.852333	0
0.500333	0.509	0.841	0
0.502	0.531333	0.862333	0
0.500333	0.526667	0.858333	0
0.501	0.514667	0.847333	0
0.501333	0.519667	0.855667	0
0.501333	0.515	0.849333	0
0.503333	0.528667	0.861667	0
0.500667	0.519667	0.855	0
0.500333	0.506333	0.836667	0
0.500667	0.529667	0.861667	0
0.500667	0.509	0.841333	0
0.501333	0.514	0.846667	0
0.502333	0.516333	0.851667	0
0.502	0.523	0.857333	0
0.502667	0.522667	0.858667	0
0.501333	0.516333	0.850333	0
0.502667	0.529	0.861333	0
0.502667	0.539333	0.870333	0
0.502333	0.539	0.869333	0
0.500333	0.52	0.854667	0
0.500667	0.516333	0.849	0
0.501333	0.517667	0.853667	0
0.500667	0.515	0.847	0
0.500667	0.509333	0.842	0
0.500333	0.504	0.833333	0
0.501	0.517667	0.852333	0
