Set_Number	OneWayAcc	TwoWayAcc	ThreeWayAcc
1	0.502	0.513	0.874
2	0.501667	0.513333	0.892667
3	0.501333	0.508333	0.874333
4	0.501667	0.51	0.863333
5	0.504667	0.511333	0.867333
6	0.500667	0.506667	0.916667
7	0.501333	0.509	0.89
8	0.501	0.505	0.906333
9	0.500333	0.505	0.918667
10	0.500667	0.514	0.858
11	0.502667	0.512	0.878333
12	0.502	0.510333	0.884
13	0.502667	0.508667	0.886333
14	0.502667	0.517667	0.848
15	0.502	0.507667	0.896667
16	0.501667	0.507667	0.880333
17	0.501667	0.511333	0.887667
18	0.501333	0.509	0.913333
19	0.501	0.503667	0.883
20	0.502	0.507	0.905
21	0.502	0.512	0.867333
22	0.501333	0.51	0.887333
23	0.501333	0.511667	0.855333
24	0.503667	0.512	0.878
25	0.501333	0.508	0.889333
26	0.501	0.518	0.865667
27	0.501333	0.509667	0.897333
28	0.501333	0.512	0.887333
29	0.502333	0.516333	0.855667
30	0.501667	0.513667	0.877667
31	0.502	0.510667	0.872
32	0.502	0.510667	0.903
33	0.500667	0.506667	0.892333
34	0.503	0.505333	0.89
35	0.501333	0.507333	0.923667
36	0.503	0.509333	0.891
37	0.501333	0.504667	0.930333
38	0.501333	0.508667	0.876
39	0.502333	0.506667	0.904667
40	0.501667	0.513	0.877
41	0.501333	0.511667	0.906333
42	0.503333	0.517333	0.851
43	0.500667	0.516	0.866333
44	0.501	0.507	0.921667
45	0.501	0.510333	0.874333
46	0.501667	0.518	0.854667
47	0.502667	0.516	0.845333
48	0.502	0.504667	0.903333
49	0.501333	0.506	0.919667
50	0.502	0.507	0.914333
51	0.501	0.507	0.899
52	0.501333	0.507667	0.895667
53	0.501667	0.516333	0.866667
54	0.503	0.519	0.853667
55	0.502	0.509667	0.891
56	0.502333	0.515333	0.863
57	0.501667	0.513	0.855333
58	0.500333	0.503667	0.937667
59	0.502333	0.513	0.859667
60	0.503333	0.515333	0.869333
61	0.501667	0.505	0.913
62	0.501333	0.512	0.879667
63	0.501667	0.514667	0.851
64	0.502667	0.508667	0.848667
65	0.501333	0.502333	0.882333
66	0.502333	0.512	0.894333
67	0.502333	0.518	0.864333
68	0.501333	0.502667	0.926
69	0.501	0.513333	0.851333
70	0.501	0.511333	0.913
71	0.502	0.509	0.883667
72	0.501	0.509333	0.866
73	0.501	0.508667	0.892333
74	0.503	0.508333	0.899
75	0.501333	0.512	0.870667
76	0.502	0.562667	0.880667
77	0.500667	0.509	0.911
78	0.503333	0.514333	0.864667
79	0.502333	0.512333	0.876333
80	0.502667	0.503333	0.885667
81	0.502333	0.507333	0.876667
82	0.501	0.509	0.873667
83	0.502333	0.504667	0.911
84	0.502	0.516	0.857
85	0.500667	0.527333	0.843667
86	0.501667	0.509	0.894
87	0.501333	0.506333	0.891333
88	0.502	0.507333	0.908667
89	0.502	0.515667	0.885667
90	0.501667	0.516	0.845333
91	0.500333	0.507	0.925
92	0.501	0.504	0.929667
93	0.502	0.513667	0.856333
94	0.501667	0.506667	0.904667
95	0.501667	0.504667	0.901333
96	0.501333	0.512333	0.878
97	0.501	0.507333	0.910667
98	0.502	0.508667	0.915667
99	0.500667	0.503333	0.925667
100	0.501333	0.508333	0.901333
