OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
0.502333	0.506	0.518667	0.542333	0.668333	0
0.502667	0.505333	0.519	0.543333	0.667333	0
0.501333	0.505667	0.518667	0.543333	0.666667	0
0.501333	0.505333	0.519	0.544	0.666333	0
0.501	0.505333	0.519	0.543667	0.665667	0
0.501333	0.506	0.518333	0.542667	0.666	0
0.501333	0.505333	0.517333	0.542333	0.663	0
0.502	0.505333	0.518333	0.542	0.663	0
0.501667	0.505667	0.517667	0.538667	0.656	0
0.502	0.505667	0.516333	0.54	0.66	0
0.502	0.505667	0.515667	0.541333	0.658667	0
0.502667	0.505667	0.515667	0.539	0.657	0
0.501667	0.505667	0.515667	0.54	0.658	0
0.502	0.506	0.515667	0.539667	0.658	0
0.501	0.505	0.517333	0.539333	0.657333	0
0.501	0.504333	0.515333	0.539	0.656667	0
0.501333	0.504333	0.516333	0.54	0.658	0
0.502	0.505667	0.517333	0.543333	0.664667	0
0.502	0.505	0.516667	0.542667	0.660333	0
0.501667	0.506	0.516667	0.544	0.663	0
0.502	0.506333	0.515667	0.542667	0.661667	0
0.501667	0.507	0.516	0.543	0.662667	0
0.502	0.507	0.516	0.541667	0.662667	0
0.502	0.507333	0.516667	0.543	0.663667	0
0.502	0.505333	0.517	0.544667	0.662333	0
0.502667	0.505333	0.517	0.544667	0.662667	0
0.501667	0.507667	0.516	0.542333	0.661	0
0.502	0.506	0.517	0.542333	0.662	0
0.501333	0.505333	0.518333	0.539	0.661	0
0.501667	0.505	0.518667	0.539667	0.660333	0
0.501667	0.505333	0.517333	0.54	0.661	0
0.501667	0.505	0.518	0.541333	0.661	0
0.502667	0.505667	0.519	0.541333	0.662	0
0.501	0.506	0.518667	0.54	0.659333	0
0.500667	0.505667	0.518333	0.54	0.658667	0
0.503	0.505667	0.517667	0.538333	0.662	0
0.502667	0.506333	0.516333	0.540333	0.663333	0
0.501	0.506333	0.517667	0.544	0.67	0
0.502	0.506333	0.518333	0.544667	0.670333	0
0.501667	0.506	0.517333	0.541333	0.666333	0
0.501667	0.506	0.518333	0.544333	0.667	0
0.502	0.505	0.519333	0.544333	0.667333	0
0.502667	0.506333	0.517333	0.542333	0.667	0
0.502	0.509	0.517	0.542667	0.671667	0
0.501333	0.511333	0.517667	0.539333	0.671	0
0.501333	0.51	0.518333	0.541333	0.674667	0
0.502333	0.509667	0.517667	0.541	0.675	0
0.502	0.511	0.518667	0.540667	0.674333	0
0.502	0.510333	0.518	0.540667	0.674	0
0.502333	0.509667	0.517333	0.539333	0.672667	0
0.501333	0.509667	0.518	0.541	0.671333	0
0.501333	0.51	0.517667	0.54	0.671333	0
0.501667	0.51	0.519	0.541	0.673333	0
0.501333	0.508333	0.517333	0.539333	0.667667	0
0.502	0.508	0.517	0.539333	0.667	0
0.501667	0.508	0.517667	0.539333	0.667667	0
0.501333	0.508333	0.518333	0.538333	0.665	0
0.501333	0.508667	0.517333	0.538333	0.663333	0
0.501667	0.507667	0.517667	0.538667	0.667	0
0.501333	0.507667	0.518333	0.539	0.667	0
0.502	0.509333	0.516667	0.537333	0.666	0
0.502	0.508667	0.516667	0.537667	0.667	0
0.503	0.51	0.517667	0.536667	0.666333	0
0.503	0.509333	0.517333	0.537667	0.667333	0
0.501667	0.510667	0.518667	0.538667	0.673333	0
0.502	0.51	0.518667	0.539	0.672333	0
0.501667	0.512667	0.522667	0.542667	0.678667	0
0.502	0.512667	0.522	0.541667	0.677333	0
0.502	0.511667	0.522	0.542	0.678	0
0.502333	0.508667	0.518	0.539667	0.676	1
0.502333	0.509667	0.519333	0.540333	0.678333	0
0.502333	0.509333	0.519333	0.539	0.676	0
0.501667	0.509333	0.519333	0.539667	0.677	0
0.501667	0.509333	0.519	0.541333	0.674333	0
0.502333	0.510667	0.518667	0.538333	0.672	0
0.502	0.509333	0.519	0.538667	0.672333	0
0.502667	0.507667	0.517	0.539	0.669	0
0.503333	0.507667	0.516667	0.539667	0.670333	0
0.502333	0.51	0.515667	0.540333	0.669333	0
0.503	0.509333	0.516333	0.54	0.671	0
0.502333	0.509667	0.516333	0.54	0.670333	0
0.502	0.510333	0.516667	0.537667	0.670667	0
0.501667	0.508667	0.517333	0.539667	0.672667	0
0.502	0.509667	0.517	0.538667	0.671333	0
0.502	0.51	0.517667	0.539	0.672	0
0.502333	0.509333	0.518	0.539	0.673	0
0.503	0.508	0.517667	0.54	0.672333	0
0.502333	0.508333	0.517	0.539	0.672333	0
0.502	0.509333	0.517333	0.540667	0.673333	0
0.502	0.509333	0.517667	0.542	0.674333	0
0.502	0.508333	0.517667	0.54	0.670667	0
0.502	0.508333	0.518333	0.538333	0.669667	0
0.502667	0.508	0.517667	0.538333	0.667667	0
0.503	0.509	0.518333	0.537667	0.668	0
0.501667	0.508333	0.518	0.539	0.668667	0
0.502	0.508	0.518667	0.539	0.67	0
0.503667	0.509	0.518	0.538667	0.672667	0
0.503333	0.509667	0.517333	0.54	0.674333	0
0.502667	0.509	0.517	0.541333	0.674333	0
0.502333	0.509	0.516667	0.546667	0.679	0
