OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.5	0.504	0.828	0
0.5	0.515	0.874333	0
0.5	0.514667	0.873667	0
0.500333	0.502	0.777	0
0.500333	0.503667	0.842667	0
0.501	0.504667	0.866333	0
0.500333	0.508667	0.880667	0
0.501	0.508	0.880333	0
0.500333	0.504	0.843667	0
0.500333	0.505333	0.869	0
0.500667	0.508333	0.881	0
0.500667	0.503	0.840667	0
0.501	0.503333	0.847667	0
0.500667	0.506	0.871667	0
0.500333	0.512333	0.885	0
0.500333	0.504667	0.865	0
0.500333	0.508333	0.872667	0
0.502	0.510333	0.885667	0
0.501	0.505333	0.872667	0
0.500333	0.502333	0.791667	0
0.500667	0.505	0.87	0
0.5	0.514333	0.872333	0
0.501667	0.504	0.865333	0
0.501333	0.504667	0.868	0
0.501	0.505667	0.873	0
0.501	0.503	0.841	0
0.502	0.506667	0.875	0
0.502	0.510667	0.886333	0
0.500333	0.512	0.884667	0
0.501	0.510667	0.884	0
0.502667	0.507	0.877	0
0.501333	0.512667	0.888333	0
0.500667	0.505667	0.871333	0
0.500333	0.504333	0.864	0
0.500667	0.504333	0.865667	0
0.500667	0.503333	0.845333	0
0.501333	0.502333	0.794667	0
0.501667	0.515	0.892667	0
0.501	0.511333	0.886333	0
0.500667	0.504	0.864667	0
0.501333	0.513	0.889667	0
0.502	0.514	0.892333	0
0.501667	0.511	0.888333	1
0.501	0.505	0.870667	0
0.500667	0.502667	0.839	0
0.501333	0.507667	0.873667	0
0.501667	0.510333	0.885333	0
0.501	0.513333	0.890667	0
0.500667	0.502333	0.794333	0
0.502	0.514667	0.893	0
0.502	0.512333	0.889	0
0.500667	0.503667	0.862667	0
0.500667	0.509333	0.882667	0
0.500667	0.513667	0.889333	0
0.501667	0.505667	0.873333	0
0.502667	0.512333	0.889667	0
0.500333	0.503333	0.838667	0
0.501333	0.508333	0.882333	0
0.501333	0.513333	0.891	0
0.500333	0.502667	0.792333	0
0.502667	0.506667	0.876333	0
0.502	0.507	0.875667	0
0.501	0.511	0.886	0
0.501	0.512	0.886667	0
0.502	0.513333	0.891667	0
0.502333	0.512333	0.889333	0
0.500667	0.513333	0.889	0
0.502	0.515	0.894	0
0.500667	0.508	0.872667	0
0.501333	0.511333	0.888	0
0.501	0.508667	0.883	0
0.501	0.513	0.889	0
0.502333	0.511333	0.889	0
0.502333	0.513667	0.892667	0
0.500333	0.508	0.870333	0
0.502333	0.507667	0.877333	0
0.502333	0.507333	0.876333	0
0.500333	0.503	0.793	0
0.500667	0.511	0.885667	0
0.501667	0.507	0.874667	0
0.500333	0.506333	0.869667	0
0.502333	0.507	0.876	0
0.500667	0.508667	0.882	0
0.500667	0.514	0.891333	0
0.501667	0.514667	0.891667	0
0.500333	0.514	0.887333	0
0.501667	0.513	0.890333	0
0.501	0.51	0.883333	0
0.502	0.511333	0.888667	0
