"OneWayAcc"	"TwoWayAcc"	"ThreeWayAcc"	"Best"
0.501	0.505333	0.893667	0
0.5	0.504333	0.889667	0
0.500333	0.503333	0.890333	0
0.500333	0.511333	0.903667	0
0.5	0.506333	0.894333	0
0.5	0.51	0.900333	0
0.500667	0.501667	0.886333	0
0.500667	0.501	0.885	0
0.5	0.501333	0.881333	0
0.501333	0.507333	0.899667	0
0.500667	0.509667	0.901667	0
0.501	0.505667	0.894667	0
0.501333	0.502333	0.888333	0
0.500333	0.506667	0.896	0
0.500667	0.507	0.898	0
0.500667	0.504	0.891667	0
0.500333	0.509333	0.899667	0
0.500667	0.501333	0.885333	0
0.500333	0.51	0.901333	0
0.501	0.509	0.901667	0
0.501	0.507667	0.899667	0
0.500333	0.503	0.889	0
0.502	0.505333	0.895	0
0.501	0.504333	0.892667	0
0.501333	0.507	0.899	0
0.500333	0.505667	0.893	0
0.500333	0.502333	0.887333	0
0.501667	0.504667	0.894	0
0.501333	0.508	0.900667	0
0.501333	0.508333	0.901333	1
0.500333	0.505	0.892333	0
0.501	0.51	0.902333	0
0.501667	0.517333	0.907333	0
0.500667	0.505333	0.893333	0
0.500667	0.513333	0.905667	0
0.500667	0.511667	0.904	0
0.500667	0.509	0.900333	0
0.500333	0.501667	0.885667	0
0.500667	0.509333	0.901333	0
0.500667	0.506	0.894	0
0.501333	0.502	0.887667	0
0.500667	0.506333	0.895667	0
0.501333	0.508667	0.901667	0
0.501	0.507333	0.899333	0
0.500333	0.507667	0.896333	0
0.501	0.506667	0.897333	0
0.500667	0.510333	0.902333	0
0.500333	0.511	0.901667	0
0.501333	0.505	0.894	0
0.500667	0.515667	0.906333	0
0.500667	0.516	0.906667	0
0.500333	0.515667	0.905667	0
0.500667	0.502	0.886667	0
0.500333	0.501	0.884333	0
0.501667	0.505	0.894667	0
0.501	0.508667	0.900333	0
0.501	0.505	0.893333	0
0.500333	0.504667	0.892	0
0.500667	0.507333	0.899	0
0.501333	0.505333	0.894667	0
0.501667	0.517	0.907	0
0.500333	0.513333	0.904333	0
0.500667	0.512333	0.905333	0
