OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.515667	0.874	0
0.5	0.503333	0.847333	0
0.5	0.516333	0.887	0
0.500667	0.504	0.866667	0
0.500333	0.520667	0.893667	0
0.502667	0.521	0.896333	0
0.501	0.507333	0.875667	0
0.500667	0.520333	0.893333	0
0.500667	0.505667	0.871333	0
0.501333	0.520333	0.895667	0
0.501	0.503333	0.865667	0
0.501	0.502667	0.864	0
0.500667	0.504333	0.868	0
0.501	0.508	0.878333	0
0.501333	0.52	0.895	0
0.500667	0.520667	0.894333	0
0.500333	0.506333	0.871333	0
0.500667	0.510333	0.886	0
0.501	0.504333	0.868333	0
0.500333	0.502333	0.861333	0
0.501	0.515	0.892	0
0.501	0.51	0.884	0
0.502333	0.513667	0.891333	0
0.500667	0.502667	0.863667	0
0.501333	0.521667	0.896667	0
0.5	0.506	0.870667	0
0.500667	0.501667	0.860333	0
0.500667	0.508667	0.878667	0
0.500667	0.507333	0.875333	0
0.501	0.521	0.895	0
0.500333	0.511667	0.884667	0
0.500333	0.502	0.858667	0
0.501667	0.506	0.873333	0
0.501	0.519667	0.892667	0
0.501333	0.515	0.893	0
0.500667	0.506	0.872	0
0.501333	0.509333	0.882	0
0.500667	0.508	0.878	0
0.500667	0.512667	0.888667	0
0.501333	0.511667	0.889333	1
0.501333	0.521333	0.896	0
0.500333	0.522333	0.894667	0
0.500667	0.506333	0.874	0
0.501333	0.505667	0.872667	0
0.501	0.509	0.881	0
0.501	0.504	0.867	0
0.501	0.511	0.887333	0
0.500333	0.503333	0.863333	0
0.500667	0.514667	0.890333	0
0.501667	0.511333	0.888667	0
0.501	0.523333	0.897	0
0.501667	0.522333	0.897667	0
0.500333	0.513333	0.889333	0
0.5	0.505667	0.87	0
0.500333	0.506667	0.874667	0
0.501667	0.507333	0.876667	0
0.501	0.507667	0.877333	0
0.500667	0.508333	0.878333	0
0.501333	0.523667	0.898	0
0.500667	0.511333	0.887667	0
0.500333	0.513	0.887667	0
0.500667	0.515	0.891	0
0.500667	0.503667	0.865	0
0.500667	0.511	0.887	0
0.500667	0.509333	0.880333	0
0.500333	0.510667	0.883	0
0.500333	0.51	0.882	0
0.501	0.522	0.895667	0
0.500667	0.507667	0.877	0
0.501	0.503	0.865333	0
0.501	0.502333	0.863333	0
0.501667	0.519667	0.894667	0
0.500667	0.52	0.892333	0
0.501333	0.514667	0.892333	0
0.501333	0.505333	0.871	0
0.500667	0.513	0.889	0
0.501	0.511333	0.888333	0
0.501	0.508667	0.880667	0
0.500333	0.503	0.863	0
0.501333	0.519667	0.893667	0
0.501	0.512	0.888667	0
0.500333	0.504333	0.866333	0
0.500667	0.509667	0.883	0
0.500333	0.511333	0.884	0
0.500333	0.508667	0.876333	0
0.500667	0.505333	0.869	0
0.501667	0.507	0.875333	0
0.501	0.523667	0.897333	0
0.500667	0.511667	0.888333	0
0.500667	0.519667	0.892	0
0.501	0.514	0.891333	0
0.501	0.510667	0.886667	0
