OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums	Best
0.505333	0.509667	0.675	0.0172749889764897	0.0186102862051369	0
0.505	0.508	0.674667	0.0562836773947533	0.058925586708039	0
0.505333	0.512333	0.674667	0.000649007828670014	0.000846143847878615	0
0.505	0.512	0.673333	0.000649007828670014	0.000761691278449219	0
0.505333	0.511333	0.673333	0.00132915244213973	0.0021296928187233	0
0.503667	0.510333	0.677333	0.0416541422262562	0.0853190646682687	0
0.504	0.510667	0.676667	0.0310933859841542	0.0680557611552174	0
0.504667	0.509667	0.677	0.0526403339371985	0.0881624543349828	0
0.505667	0.514	0.684333	0.3890562998156	1.10597918080902	0
0.505667	0.513333	0.683667	0.333258681936798	0.98105975633721	0
0.506	0.514	0.684667	0.329272019441382	0.976610818229342	0
0.507333	0.512667	0.684	0.599764822108980	1.09508630838759	0
0.506333	0.510333	0.679667	0.38098290825175	0.753217836618082	0
0.505333	0.510667	0.680333	0.528750661162543	1.23915473598085	0
0.505	0.507333	0.688	0.843870868772403	1.39572314725820	1
0.502667	0.509667	0.676333	0.0694906623784262	0.112711232802716	0
0.501667	0.504333	0.678667	1.29316391071142	3.17844797041078	0
0.507333	0.515667	0.684	0.266939696088484	0.754899894742092	0
0.507333	0.515333	0.683667	0.266939696088484	0.710403385210841	0
0.506	0.51	0.680667	0.519155260413540	0.859241548021695	0
0.504333	0.504667	0.681333	0.860879483883253	2.29201568817982	0
0.504333	0.504667	0.682667	0.988342620000073	2.5889881787169	0
0.504333	0.505333	0.682	0.920971359883064	2.56459466366358	0
0.505667	0.510667	0.681	0.450099076220201	0.914070841960872	0
0.506333	0.511	0.68	0.383244647730613	0.777888986304422	0
0.505333	0.509667	0.679667	0.594133820822825	1.11788986693771	0
0.506	0.509333	0.68	0.517890050988581	1.03239224548517	0
0.502	0.504333	0.678	1.16784855803312	2.86515769891854	0
0.502	0.503667	0.677667	1.42622168127061	3.42689301280453	0
0.502	0.503667	0.677333	1.40397580740791	3.10878938363728	0
0.502	0.504333	0.678667	1.18220036837885	3.15356764703549	0
0.502667	0.504	0.679333	1.17161301484109	2.98036239102157	0
0.503333	0.510667	0.673667	0.0172749889764897	0.0317273555488871	0
0.504	0.510667	0.673667	0.00615816432813728	0.0126822995590927	0
0.503667	0.508667	0.674333	0.0330584590489915	0.0470971912717714	0
0.503333	0.509667	0.675	0.0330584590489915	0.0560449841916949	0
0.504	0.506	0.682	1.17306240297272	2.41535734971652	0
0.502333	0.503667	0.680667	1.57302192001001	3.62053282753372	0
0.502667	0.503333	0.682	1.57302192001001	4.01327588433825	0
0.507667	0.512	0.681333	0.325153676195383	0.521712739449239	0
0.508333	0.512333	0.683	0.320906512741528	0.539359198175655	0
0.506667	0.511333	0.680333	0.325153676195383	0.746796880536606	0
0.504667	0.509667	0.674333	0.0172749889764897	0.0210602992145718	0
0.505333	0.509667	0.674333	0.0165958940648503	0.0177197391270699	0
0.505	0.510333	0.674667	0.0172749889764897	0.0186102862051369	0
0.505333	0.509	0.674667	0.0172749889764897	0.0186102862051369	0
0.504667	0.508333	0.674333	0.0562836773947533	0.0588444704234518	0
0.505	0.507333	0.675333	0.117579840408398	0.120221749721684	0
0.504667	0.507667	0.674	0.0562836773947533	0.0710768520826612	0
0.505	0.508667	0.675667	0.0348780035092402	0.0375199128225259	0
0.505333	0.511667	0.675	0.0136913686400903	0.016936682310751	0
0.505	0.512333	0.674667	0.00574446329479437	0.008906235489417	0
0.506	0.512	0.673667	0.000649007828670014	0.000846143847878615	0
0.504667	0.512	0.673333	0.00574446329479437	0.00822604346942132	0
0.505333	0.511333	0.672667	0.000789155874718226	0.00108271472852258	0
0.505333	0.511	0.672667	0.00228212306845905	0.00296065600364374	0
0.505667	0.511667	0.674	0.00217819537010411	0.00429650368696207	0
0.505333	0.510333	0.672667	0.00656389009030937	0.00768773515252891	0
0.505333	0.511333	0.674333	0.00615816432813728	0.0101092960195310	0
0.505667	0.511	0.674	0.00749515186895737	0.00829569224554094	0
0.503667	0.51	0.677333	0.06560250490932	0.109267427351332	0
