OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.510333	0.896333	0
0.500333	0.503667	0.885	0
0.500333	0.505	0.891	0
0.500667	0.510667	0.908667	0
0.500667	0.503	0.884	0
0.500667	0.511667	0.909333	0
0.501	0.503333	0.886	0
0.500333	0.507333	0.901333	0
0.500333	0.504667	0.889667	0
0.500667	0.506667	0.900667	0
0.500333	0.511	0.908667	0
0.500667	0.506	0.899333	0
0.501667	0.507	0.904333	0
0.500333	0.508	0.904667	0
0.500667	0.505333	0.891667	0
0.501	0.505333	0.892333	0
0.500333	0.504333	0.889	0
0.500667	0.505	0.891333	0
0.501333	0.51	0.909	0
0.501333	0.508333	0.907	0
0.501667	0.505333	0.892667	0
0.501333	0.503333	0.886333	0
0.501333	0.509333	0.908	0
0.500667	0.509333	0.907667	0
0.500667	0.504667	0.890333	0
0.500333	0.504	0.885333	0
0.500333	0.507667	0.903667	0
0.500667	0.507333	0.905667	1
0.500333	0.508667	0.906	0
0.501667	0.510333	0.909333	0
0.501333	0.508667	0.907333	0
0.501667	0.505	0.892	0
0.500667	0.505667	0.892	0
0.501	0.505667	0.896	0
0.501	0.508667	0.906333	0
0.500333	0.506333	0.9	0
0.500333	0.509	0.907	0
0.501	0.504333	0.889333	0
0.500333	0.506	0.897333	0
0.500667	0.507	0.903	0
0.501	0.511	0.909	0
0.500333	0.511333	0.909	0
0.501333	0.508	0.906333	0
0.501	0.503	0.885333	0
0.501333	0.509667	0.908333	0
0.501333	0.506667	0.903	0
0.501	0.510333	0.908667	0
0.501333	0.504	0.887333	0
