OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.501	0.502333	0.899	0
0.501333	0.504	0.904	0
0.501	0.507333	0.91	0
0.500333	0.502	0.897333	0
0.500333	0.504	0.900333	0
0.501	0.503	0.900333	0
0.501	0.503667	0.901333	0
0.500333	0.504333	0.901667	0
0.500333	0.506667	0.908333	0
0.500667	0.505	0.905	0
0.500333	0.507333	0.909	0
0.501	0.504333	0.904	0
0.500333	0.503667	0.9	0
0.501	0.503333	0.901	0
0.500667	0.508333	0.911	0
0.500667	0.504	0.903	0
0.500333	0.508667	0.909333	0
0.500667	0.502	0.898333	0
0.500667	0.506333	0.908333	0
0.500667	0.505333	0.905333	0
0.501	0.506333	0.908667	0
0.502	0.505333	0.905667	0
0.500333	0.505	0.904	0
0.500333	0.506	0.907667	0
0.500667	0.508	0.910667	0
0.500333	0.504667	0.902333	0
0.501	0.506667	0.909333	0
0.501	0.506	0.908333	1
0.500333	0.502333	0.898	0
0.501	0.508333	0.911333	0
0.500667	0.504667	0.903667	0
0.501333	0.507	0.909667	0
0.500667	0.508667	0.911333	0
0.501333	0.507667	0.911	0
0.500667	0.505667	0.906333	0
0.500667	0.507667	0.910333	0
