OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.505333	0.885	0
0.501	0.505	0.893	0
0.500667	0.504667	0.891667	0
0.500667	0.503667	0.887667	0
0.501	0.507667	0.900333	0
0.501	0.506	0.897	0
0.501	0.505333	0.896333	0
0.500333	0.503667	0.886333	0
0.501667	0.504	0.891	0
0.501	0.503667	0.888333	0
0.500333	0.506667	0.896	0
0.500667	0.507333	0.899667	0
0.500333	0.507333	0.898	0
0.500667	0.504333	0.891333	0
0.500333	0.506	0.894667	0
0.501333	0.506333	0.897667	0
0.500667	0.507	0.899333	1
0.500667	0.508	0.9	0
0.501333	0.504333	0.893	0
0.500667	0.502667	0.886333	0
0.500667	0.503	0.887333	0
0.500667	0.504	0.888	0
0.501	0.504	0.89	0
0.501	0.504667	0.892667	0
0.500333	0.505667	0.893667	0
0.500667	0.505667	0.894333	0
0.500667	0.508333	0.900333	0
0.500667	0.506	0.896333	0
0.501333	0.505667	0.897	0
0.501	0.507333	0.9	0
