OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums	Best
0.502	0.507	0.638	1.64777015326601	4.56846303118551	0
0.507	0.511333	0.660333	1.53187245971124	3.92618872195913	0
0.506333	0.509667	0.658	1.67865896534468	4.27595256892643	0
0.507	0.511667	0.656333	1.28235442612049	3.05413695113753	0
0.502333	0.511333	0.639333	1.38977278552109	4.0461742863003	0
0.504	0.508333	0.637667	1.47902199731467	3.39408161898388	0
0.502333	0.509333	0.641667	1.47902199731467	4.04686001643584	0
0.51	0.516333	0.655	0.384	1.00126451068188	0
0.506333	0.510667	0.660667	1.66147192269359	4.30517068233007	0
0.507	0.509333	0.656333	1.53187245971124	4.0423671661536	0
0.502333	0.508667	0.643	1.74144050537293	4.30670733165943	0
0.502667	0.51	0.644	1.75306663180289	4.09166384211789	0
0.503667	0.51	0.650667	2.08894189627257	5.24018143397799	0
0.508333	0.511333	0.660333	0.958687002970265	2.65029549260470	0
0.507667	0.511	0.652667	1.29437393427137	2.88236405201511	0
0.507	0.509667	0.650667	1.29437393427137	3.15081778977914	0
0.510667	0.517333	0.658	0.322185122592577	0.88786082866607	0
0.51	0.517	0.657	0.318345332549722	0.89215379029368	0
0.504	0.509333	0.636333	1.04339338071277	2.81312884578422	0
0.503	0.509	0.643	1.61318501667894	4.06464134125897	0
0.503333	0.509333	0.642333	1.6018475175191	3.83290465495541	0
0.509	0.513	0.662	1.06445287942109	2.67366550998620	0
0.508667	0.511333	0.661	1.17161301484108	2.68392594512201	0
0.507	0.514	0.658667	1.28930030794645	3.35261529666827	0
0.507	0.513667	0.658667	1.28823805457444	3.46839644535635	0
0.510333	0.517333	0.656	0.266666666666667	0.720940575042463	0
0.511	0.517667	0.657	0.322493270607671	0.82301470104062	0
0.506	0.510333	0.66	1.66147192269359	4.28076800669687	1
0.505	0.510667	0.637	1.04997886261707	2.63190686560828	0
0.504	0.509667	0.638	1.04997886261707	2.83834839004684	0
0.504333	0.510667	0.638333	1.00923876362550	2.72449276826981	0
0.507	0.509667	0.656	1.53005798515498	4.04055269159735	0
0.507	0.51	0.656	1.44507356257185	3.81200234307423	0
0.507	0.509	0.655333	1.66456210043388	4.17505680687624	0
0.502667	0.508667	0.644	1.74144050537293	4.54529089346777	0
0.502	0.508333	0.643	1.75306663180289	4.55818425374126	0
0.502667	0.508333	0.642333	1.74144050537293	4.30383651869644	0
0.502333	0.508667	0.642667	1.6018475175191	4.05165484529272	0
0.502667	0.508	0.640333	1.47902199731467	4.03975041764135	0
0.502	0.508	0.642667	1.89865441343471	4.95745604506106	0
0.504	0.509	0.643667	1.75306663180289	3.77550921242094	0
0.503333	0.509667	0.644	1.75306663180289	4.09466913281339	0
0.503333	0.509667	0.644333	1.88675525527527	4.22535246559027	0
0.503	0.508667	0.643667	1.75306663180289	4.09021445398625	0
0.503	0.509667	0.644	1.75306663180289	4.32536298408636	0
0.503	0.510667	0.651	2.39918086408061	5.95072957870907	0
0.503	0.51	0.650333	2.08990002099092	5.64772141413950	0
0.503	0.510667	0.65	1.94358357263748	5.62729888174508	0
0.503	0.51	0.65	2.08990002099092	5.64144873561938	0
0.508667	0.511667	0.661333	0.920971359883064	2.3707853837238	0
0.508333	0.511667	0.66	0.958687002970265	2.56232502952000	0
0.507667	0.511333	0.659	1.06652824128222	3.03445400787799	0
0.508	0.511	0.66	1.02741061568575	2.85009761865602	0
0.507333	0.512	0.66	0.957110458601034	2.7420818184841	0
0.506667	0.512667	0.658	1.40872517965822	3.60149537432943	0
0.507	0.513333	0.658333	1.28823805457444	3.35181639854129	0
0.509	0.512667	0.653	0.711962622697802	1.99394877888311	0
0.509	0.512333	0.654	0.799116997142835	2.16389365171	0
0.509333	0.513	0.654	0.711962622697802	1.99394877888311	0
0.509	0.513333	0.654667	0.77040085386117	2.16458481063530	0
0.510333	0.513333	0.656333	0.770637129751372	1.92071166727539	0
0.509667	0.513333	0.655333	0.770637129751372	2.06707480374831	0
0.509	0.514	0.656333	1.01844112170840	2.21462982231103	0
0.507333	0.512	0.652333	1.06168870247191	2.64739946848760	0
0.507667	0.513	0.652667	0.803518720623523	2.17155946827012	0
0.507333	0.511333	0.651667	0.96000172954703	2.45440165444277	0
0.508	0.512667	0.655667	0.980270224433264	2.46284092785351	0
0.508333	0.513667	0.656333	0.96000172954703	2.3548153881056	0
0.508	0.513333	0.656	0.96000172954703	2.27741049503920	0
0.508333	0.512667	0.656	0.958687002970265	2.37568203479961	0
0.508667	0.513333	0.654667	0.894426057956131	2.17397591266842	0
0.508667	0.514667	0.654667	0.785966587312056	1.87417093645553	0
0.508333	0.512667	0.654333	0.885152642512552	2.03415283750873	0
0.508667	0.514	0.652667	0.785966587312056	1.91255299972910	0
0.507333	0.511667	0.654	1.09068162663427	2.73162137050717	0
0.510667	0.516	0.656	0.322185122592578	0.882346874144798	0
0.510667	0.518	0.658	0.322185122592577	0.831682071364412	0
0.511	0.517667	0.657667	0.322185122592577	0.841149123363521	0
0.510667	0.518333	0.659	0.383664199056618	1.00981791558898	0
0.51	0.517667	0.656333	0.318345332549722	0.836893837317985	0
0.510333	0.517333	0.656667	0.318345332549722	0.841372680011216	0
0.51	0.517	0.656333	0.307422371081229	0.837047922651698	0
0.51	0.517667	0.657	0.3194182222094	0.844999574131296	0
0.509333	0.516333	0.657	0.450643956424166	1.01631966249766	0
0.509667	0.516667	0.659	0.45064395642417	1.06959797490372	0
0.509667	0.516333	0.654667	0.450462294357813	1.00750142015359	0
0.504667	0.508667	0.649333	1.94284335924220	4.97103885879451	0
0.504333	0.508333	0.646333	1.94173328375841	5.09877572296921	0
0.505	0.508333	0.647333	1.75306663180289	4.82023079728376	0
0.505333	0.508333	0.648333	1.94173328375841	4.97803574542898	0
0.504333	0.509333	0.647333	1.66628002088017	3.96921374521024	0
0.505667	0.509667	0.647	1.28823805457444	3.5940425918675	0
0.507333	0.512	0.661667	1.45667148034070	4.15704076565032	0
0.508	0.511667	0.661333	1.53451348803877	4.03908203578477	0
0.506	0.512	0.661667	1.94284335924220	4.93143094813205	0
0.506	0.512333	0.662	1.94284335924220	4.82356873507366	0
0.506	0.511	0.661	1.94284335924220	4.91920559176976	0
0.506	0.509333	0.658333	1.80106068414748	4.78218453591589	0
0.506667	0.511	0.656	1.65144376169945	3.7410551115163	0
0.510667	0.513333	0.650667	0.614772810229142	1.51551584287351	0
