OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.5	0.505333	0.794667	0
0.500333	0.504667	0.856	0
0.500667	0.503333	0.840667	0
0.501333	0.503	0.838333	0
0.501	0.502	0.822	0
0.500333	0.504	0.853	0
0.500667	0.504333	0.856	0
0.500333	0.504333	0.854333	0
0.500333	0.503667	0.852	0
0.500333	0.509	0.872	0
0.500333	0.511	0.882667	0
0.501333	0.503333	0.841333	0
0.500667	0.502	0.821333	0
0.500333	0.509667	0.881	0
0.500333	0.505	0.858667	0
0.500333	0.503333	0.839667	0
0.500333	0.515333	0.89	0
0.500667	0.513667	0.891667	0
0.500667	0.51	0.883	0
0.500333	0.515	0.889	0
0.500667	0.508333	0.874667	0
0.501	0.509	0.879	0
0.501	0.511333	0.888	0
0.500333	0.506	0.869333	0
0.500667	0.508667	0.877667	0
0.500667	0.502333	0.836	0
0.501333	0.511667	0.89	1
0.500333	0.508333	0.871333	0
0.500667	0.504667	0.867667	0
0.501333	0.505	0.869333	0
0.500667	0.509	0.878333	0
0.500333	0.508	0.871	0
0.502	0.506	0.874	0
0.500333	0.512333	0.887	0
0.501667	0.505333	0.871	0
0.501333	0.504667	0.868333	0
0.501333	0.504	0.854	0
0.500333	0.513	0.888333	0
0.501333	0.502	0.822333	0
0.500667	0.502667	0.837333	0
0.501	0.515333	0.893333	0
0.500333	0.502333	0.835	0
0.502333	0.506333	0.874667	0
0.501333	0.513	0.892333	0
0.501333	0.506	0.873	0
0.501	0.514667	0.892667	0
0.500667	0.510667	0.884	0
0.501333	0.511	0.886667	0
0.500667	0.512667	0.889667	0
0.500333	0.505667	0.869	0
0.502	0.506333	0.874333	0
0.501	0.505667	0.870333	0
0.500333	0.512	0.886667	0
0.500667	0.511333	0.885	0
0.501333	0.506333	0.874	0
0.501	0.511667	0.889667	0
0.501	0.504333	0.865333	0
0.501	0.512667	0.891333	0
0.500667	0.505333	0.869333	0
0.500667	0.509333	0.880667	0
0.501333	0.51	0.883333	0
0.501	0.506	0.871333	0
0.500667	0.511667	0.887667	0
0.501	0.506333	0.873	0
0.501	0.504	0.853667	0
0.500333	0.511667	0.884667	0
0.501	0.506667	0.873333	0
0.501333	0.512667	0.891667	0
0.501	0.505	0.868667	0
0.501	0.515	0.893	0
0.501	0.512	0.890667	0
0.500667	0.506667	0.873	0
0.501333	0.511333	0.889	0
0.501333	0.509667	0.881667	0
0.501333	0.505667	0.871333	0
0.500667	0.505667	0.869667	0
0.500667	0.506333	0.872667	0
0.501333	0.513667	0.893	0
