OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.501667	0.503	0.521	0.769	0
0.501333	0.503667	0.516667	0.765667	0
0.501	0.504333	0.512333	0.760333	0
0.501	0.503	0.508333	0.740667	0
0.501333	0.502667	0.517333	0.766	0
0.501	0.505	0.515333	0.765	0
0.501	0.504	0.523	0.770333	0
0.501	0.503667	0.513	0.759333	0
0.501667	0.503667	0.523	0.769333	0
0.501667	0.505	0.521	0.774	0
0.501667	0.502667	0.515667	0.759667	0
0.502	0.506333	0.524	0.778	0
0.501333	0.503333	0.520667	0.768333	0
0.501333	0.503667	0.517333	0.768	0
0.502333	0.505333	0.523667	0.777333	0
0.501333	0.503333	0.511	0.756333	0
0.501667	0.503333	0.517	0.765	0
0.500667	0.504333	0.514333	0.764333	0
0.501	0.505	0.514	0.763	0
0.502667	0.505333	0.521333	0.775	0
0.501333	0.505	0.519	0.772	0
0.501	0.505333	0.519667	0.770667	0
0.500667	0.504	0.509	0.751	0
0.501333	0.503	0.513333	0.759333	0
0.501333	0.503333	0.514	0.76	0
0.501333	0.503333	0.511667	0.758	0
0.500667	0.502667	0.510667	0.755	0
0.500333	0.503667	0.515667	0.757667	0
0.500667	0.503333	0.515667	0.759	1
0.500333	0.504	0.516333	0.758	0
0.501667	0.505	0.517333	0.768667	0
0.501	0.505	0.518	0.769	0
0.501667	0.504667	0.522	0.774	0
0.501667	0.504	0.514	0.763	0
0.501667	0.503333	0.515667	0.760667	0
0.502	0.506	0.521667	0.777667	0
0.501667	0.506	0.521	0.777	0
0.501333	0.505333	0.515	0.765	0
0.502	0.507	0.516	0.767333	0
0.501333	0.504	0.522	0.77	0
0.501333	0.503333	0.513	0.759667	0
0.501	0.503667	0.513333	0.759667	0
0.501	0.503333	0.512	0.757667	0
0.501667	0.505	0.519333	0.773333	0
0.500667	0.505	0.513667	0.761333	0
0.502333	0.506333	0.517333	0.769667	0
0.501667	0.505	0.522667	0.776667	0
0.502	0.505	0.512667	0.762	0
0.501	0.504333	0.521667	0.771	0
0.501333	0.503	0.520667	0.767333	0
0.501333	0.504333	0.524333	0.773333	0
0.501333	0.505667	0.520333	0.774333	0
0.500667	0.504667	0.514	0.761667	0
0.501333	0.503667	0.521	0.768667	0
0.501333	0.505333	0.517333	0.769333	0
0.501667	0.504333	0.512333	0.761333	0
0.502333	0.504333	0.516	0.766333	0
0.500667	0.503333	0.508	0.740333	0
0.502	0.506	0.520333	0.777	0
0.501667	0.506	0.520667	0.775333	0
0.501	0.504	0.522667	0.77	0
0.500667	0.504	0.523333	0.769	0
0.501667	0.505333	0.520667	0.773667	0
0.502333	0.506333	0.523	0.778	0
0.500667	0.503	0.509333	0.739333	0
0.501	0.503667	0.521	0.768333	0
0.501	0.504333	0.518333	0.768333	0
0.501	0.504333	0.517667	0.767333	0
0.501667	0.504333	0.516333	0.768	0
0.502667	0.506333	0.52	0.773667	0
0.501333	0.505333	0.523333	0.775333	0
0.501	0.504	0.511333	0.755333	0
0.501333	0.505	0.513667	0.761667	0
0.501667	0.503333	0.513667	0.76	0
0.502	0.503333	0.512667	0.759667	0
0.501	0.505	0.519333	0.77	0
0.501667	0.503333	0.509667	0.751	0
0.501	0.503333	0.509667	0.750667	0
0.500667	0.503667	0.509333	0.750333	0
0.501	0.504333	0.509	0.751333	0
0.500667	0.504333	0.509667	0.751667	0
0.501667	0.504	0.510333	0.751333	0
0.501333	0.503333	0.512333	0.758333	0
0.501667	0.503	0.511	0.756667	0
0.501333	0.502667	0.511667	0.757333	0
0.502	0.505	0.518	0.772667	0
0.501667	0.504333	0.518	0.772	0
0.501667	0.504667	0.518	0.772333	0
0.501	0.505333	0.518	0.769333	0
0.502	0.503667	0.514	0.762333	0
0.500667	0.504	0.515333	0.761667	0
0.501333	0.506	0.521333	0.776	0
0.501333	0.505667	0.521	0.775667	0
0.501333	0.503333	0.512667	0.758667	0
0.501	0.504	0.514	0.76	0
0.501333	0.505333	0.52	0.772333	0
0.500667	0.504333	0.513	0.760667	0
0.501	0.505	0.513	0.761	0
0.501667	0.506333	0.516333	0.768667	0
0.501667	0.505333	0.513333	0.761667	0
