OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.501333	0.505333	0.520333	0.761333	0
0.503667	0.506333	0.519333	0.764333	0
0.502	0.506667	0.517667	0.758333	0
0.502	0.507	0.524333	0.770667	0
0.500667	0.503667	0.517	0.749667	1
0.504333	0.506	0.518333	0.761333	0
0.501	0.506333	0.519	0.758	0
0.501333	0.507333	0.522667	0.77	0
0.501	0.504333	0.510333	0.719333	0
0.501333	0.505667	0.514667	0.742333	0
0.502667	0.506333	0.517333	0.760667	0
0.501333	0.506333	0.517667	0.757	0
0.501667	0.504	0.511667	0.731	0
0.503	0.504667	0.512	0.733333	0
0.501667	0.507667	0.518667	0.763	0
0.502667	0.505333	0.518	0.76	0
0.501333	0.503	0.512	0.723333	0
0.500667	0.505	0.513667	0.735333	0
0.501667	0.507667	0.519	0.764	0
0.501667	0.506333	0.518667	0.759	0
0.503667	0.505333	0.519	0.762333	0
0.502667	0.508	0.523333	0.771333	0
0.502	0.504333	0.515333	0.750333	0
0.502	0.505	0.512	0.733333	0
0.502667	0.505333	0.52	0.761333	0
0.502667	0.505	0.517	0.753333	0
0.501667	0.505	0.518	0.753667	0
0.501	0.507667	0.522667	0.768333	0
0.501333	0.505333	0.509667	0.717333	0
0.502667	0.507	0.521	0.768	0
0.501667	0.507667	0.521333	0.768333	0
0.501333	0.507	0.521667	0.768667	0
0.500667	0.505333	0.517	0.750667	0
0.501667	0.504667	0.514	0.738333	0
0.500667	0.505667	0.515	0.741667	0
0.500667	0.506	0.512667	0.730667	0
0.501	0.504667	0.511667	0.730667	0
0.501667	0.506	0.517667	0.757333	0
0.501667	0.506667	0.517	0.756333	0
0.501333	0.506	0.522	0.766	0
0.502333	0.506333	0.519333	0.762333	0
0.501333	0.507	0.519333	0.762333	0
0.502333	0.504333	0.512333	0.734667	0
0.502	0.505667	0.517667	0.757333	0
0.502	0.506	0.514667	0.744333	0
0.502	0.505	0.514333	0.743667	0
0.500667	0.503333	0.516333	0.747	0
0.502667	0.504667	0.519333	0.759333	0
0.501	0.505333	0.519667	0.758	0
0.501333	0.507	0.522333	0.769333	0
0.500667	0.507667	0.522	0.768	0
0.501	0.504667	0.51	0.718	0
0.502333	0.508667	0.521	0.769667	0
0.502	0.507667	0.520667	0.768	0
0.501	0.506	0.514667	0.740333	0
0.501667	0.506333	0.514	0.740667	0
0.502667	0.506	0.518	0.760667	0
0.502333	0.506	0.517667	0.759333	0
0.501667	0.504	0.511	0.728667	0
0.502333	0.503667	0.512	0.73	0
0.501333	0.504	0.513667	0.735	0
0.501667	0.505	0.512667	0.737	0
0.501667	0.507333	0.518667	0.761333	0
0.503	0.505667	0.517	0.759	0
0.503	0.506667	0.519333	0.762667	0
0.503333	0.506333	0.519667	0.763333	0
0.501333	0.503333	0.511667	0.723333	0
0.501	0.503	0.512333	0.723	0
0.500333	0.503333	0.512667	0.722667	0
0.501	0.503333	0.513333	0.724	0
0.501667	0.507	0.518333	0.759	0
0.502	0.506333	0.518667	0.759333	0
0.503667	0.505	0.518667	0.761667	0
0.503333	0.506	0.519	0.762	0
0.503	0.508333	0.523	0.770667	0
0.501333	0.504333	0.517667	0.751667	0
0.502333	0.506	0.519333	0.760333	0
0.503	0.506	0.519667	0.761	0
0.501	0.503667	0.511333	0.729	0
0.502333	0.504667	0.517333	0.752667	0
0.503	0.505	0.516667	0.753333	0
0.501333	0.504333	0.518	0.752	0
0.503	0.505333	0.517667	0.753667	0
0.501333	0.504667	0.516667	0.752	0
0.501333	0.504	0.51	0.719	0
0.503	0.506667	0.521	0.766333	0
0.502333	0.507333	0.520667	0.767333	0
0.502	0.507333	0.520667	0.767	0
0.501	0.507333	0.521333	0.767667	0
0.500667	0.505667	0.52	0.764333	0
0.501	0.504333	0.515	0.748	0
0.500333	0.505667	0.516	0.748667	0
0.501333	0.505333	0.514	0.738	0
0.501667	0.504667	0.513667	0.737667	0
0.500667	0.505667	0.514333	0.74	0
0.501333	0.505	0.514333	0.739667	0
0.502333	0.505667	0.514	0.741667	0
0.500667	0.506333	0.512667	0.731	0
0.501333	0.505667	0.518333	0.756333	0
0.501667	0.504333	0.512333	0.734333	0
