OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.500333	0.506	0.930333	0
0.500333	0.502667	0.919333	0
0.500667	0.503	0.923667	0
0.501	0.505667	0.931	0
0.500333	0.502333	0.918	0
0.501	0.502333	0.919	0
0.501	0.502667	0.922333	0
0.500667	0.505	0.93	0
0.500667	0.503667	0.925333	0
0.500333	0.503	0.922667	0
0.500333	0.507333	0.930667	0
0.500667	0.504	0.926667	0
0.500333	0.507667	0.931	0
0.500667	0.505333	0.930333	0
0.501	0.506	0.932	0
0.500667	0.502667	0.921	0
0.500667	0.506333	0.931667	0
0.501333	0.506	0.933	0
0.501	0.503667	0.925667	0
0.500333	0.504333	0.928	0
0.501	0.506667	0.932667	0
0.501333	0.505667	0.932333	1
