Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
1101	1	0.501333	0.503333	0.52	0.756667	0
1101	2	0.501333	0.503	0.510667	0.737667	0
1101	3	0.502333	0.507667	0.525333	0.771667	0
1101	4	0.501667	0.504667	0.522667	0.761667	0
1101	5	0.501	0.505	0.517	0.753333	0
1101	6	0.500667	0.509	0.524667	0.768333	0
1101	7	0.502	0.504667	0.516	0.752	0
1101	8	0.502	0.505333	0.518	0.759	0
1101	9	0.502333	0.505333	0.517667	0.758333	0
1101	10	0.501	0.504667	0.52	0.758	0
1101	11	0.501333	0.506333	0.519	0.763	0
1101	12	0.500667	0.503667	0.511667	0.728	0
1101	13	0.502	0.504333	0.512333	0.742667	0
1101	14	0.501333	0.503667	0.512	0.742333	0
1101	15	0.500667	0.503333	0.513	0.740333	0
1101	16	0.502	0.503667	0.514333	0.744	0
1101	17	0.501333	0.508	0.52	0.764333	0
1101	18	0.502	0.503667	0.52	0.758	0
1101	19	0.502	0.506333	0.519667	0.765	0
1101	20	0.502	0.506333	0.52	0.765333	0
1101	21	0.502	0.504333	0.514333	0.744333	0
1101	22	0.502	0.505333	0.519667	0.763	0
1101	23	0.502	0.505	0.515333	0.751	0
1101	24	0.501667	0.505333	0.518	0.757667	0
1101	25	0.501667	0.504	0.511	0.739333	0
1101	26	0.502	0.508	0.524333	0.768667	0
1101	27	0.501	0.504333	0.517667	0.751667	0
1101	28	0.501667	0.505333	0.52	0.762333	0
1101	29	0.501	0.509	0.523667	0.767	0
1101	30	0.501	0.505	0.514667	0.742667	0
1101	31	0.500667	0.504333	0.520667	0.757	0
1101	32	0.501	0.504333	0.520333	0.757333	0
1101	33	0.503	0.508	0.523667	0.770333	0
1101	34	0.501	0.506333	0.519333	0.761667	0
1101	35	0.501333	0.506333	0.522333	0.766	0
1101	36	0.502	0.505667	0.522	0.765667	0
1101	37	0.501333	0.504667	0.517333	0.755	0
1101	38	0.501667	0.503	0.511667	0.740333	0
1101	39	0.501333	0.504333	0.513	0.742667	0
1101	40	0.501333	0.505	0.516667	0.753	0
1101	41	0.501	0.507667	0.525	0.766667	0
1101	42	0.501333	0.508333	0.524333	0.767333	0
1101	43	0.501333	0.504667	0.523667	0.759	0
1101	44	0.502	0.503667	0.524667	0.759333	0
1101	45	0.501333	0.503333	0.521	0.757	0
1101	46	0.501667	0.503	0.521333	0.756	0
1101	47	0.502667	0.505667	0.522333	0.766667	0
1101	48	0.502333	0.508	0.524	0.769	0
1101	49	0.501	0.508667	0.525667	0.768667	0
1101	50	0.501333	0.503333	0.519333	0.756	0
1101	51	0.501333	0.503667	0.520667	0.757667	0
1101	52	0.502	0.508333	0.525	0.77	0
1101	53	0.501333	0.506	0.52	0.764	0
1101	54	0.501667	0.508667	0.523667	0.77	0
1101	55	0.502	0.508	0.523333	0.768333	0
1101	56	0.501	0.504667	0.518667	0.754667	0
1101	57	0.501667	0.504667	0.516667	0.751667	0
1101	58	0.501	0.505667	0.516	0.744333	0
1101	59	0.500667	0.503667	0.514667	0.741333	0
1101	60	0.501	0.504333	0.512333	0.739333	0
1101	61	0.500667	0.504667	0.520333	0.758	0
1101	62	0.501333	0.506	0.519333	0.762333	0
1101	63	0.501	0.504667	0.513	0.742333	0
1101	64	0.500667	0.507667	0.523667	0.765	0
1101	65	0.502667	0.508333	0.523	0.768	0
1101	66	0.501333	0.508	0.524667	0.769	0
1101	67	0.501667	0.508333	0.525333	0.77	0
1101	68	0.502333	0.503667	0.514	0.743333	0
1101	69	0.502	0.504	0.514	0.744	0
1101	70	0.501	0.505	0.521333	0.758333	0
1101	71	0.501	0.505	0.521667	0.758667	0
1101	72	0.501333	0.508	0.519667	0.763667	0
1101	73	0.501667	0.504	0.516	0.746667	0
1101	74	0.501333	0.506	0.520667	0.765667	0
1101	75	0.501333	0.504	0.515	0.743	0
1101	76	0.501333	0.504333	0.515	0.743667	0
1101	77	0.501667	0.505667	0.520667	0.763	0
1101	78	0.502	0.505	0.52	0.762333	0
1101	79	0.502	0.504667	0.515667	0.749333	0
1101	80	0.502	0.505333	0.515	0.750667	0
1101	81	0.502333	0.507333	0.524	0.768	0
1101	82	0.502	0.507667	0.525	0.768667	0
1101	83	0.501333	0.509	0.523333	0.766333	0
1101	84	0.501	0.508333	0.524333	0.766667	0
1101	85	0.501667	0.507333	0.520333	0.764667	0
1101	86	0.501667	0.507	0.521	0.766333	0
1101	87	0.501667	0.507667	0.520333	0.766	0
1101	88	0.500667	0.506333	0.522	0.762333	0
1101	89	0.501333	0.505	0.520667	0.758333	0
1101	90	0.500667	0.505333	0.519667	0.755667	0
1101	91	0.501	0.504	0.520667	0.757333	0
1101	92	0.501333	0.507	0.518333	0.757	0
1101	93	0.503	0.507333	0.524	0.769667	0
1101	94	0.503	0.507667	0.523	0.769	0
1101	95	0.501	0.505667	0.520333	0.76	0
1101	96	0.500667	0.506333	0.519667	0.761	0
1101	97	0.501333	0.504	0.517667	0.753667	1
1101	98	0.501333	0.505	0.517	0.754333	0
1101	99	0.501667	0.504	0.513	0.742667	0
1101	100	0.501667	0.505	0.516667	0.753333	0
1102	1	0.501667	0.508	0.526	0.75	0
1102	2	0.501333	0.505333	0.518667	0.735	0
1102	3	0.501333	0.504333	0.517333	0.724	0
1102	4	0.501	0.503333	0.515667	0.714333	0
1102	5	0.501	0.504667	0.519	0.728333	0
1102	6	0.501333	0.506667	0.525667	0.748667	0
1102	7	0.501667	0.505667	0.521	0.743333	0
1102	8	0.501667	0.507667	0.526333	0.749333	0
1102	9	0.500667	0.505	0.523333	0.742	0
1102	10	0.500667	0.504	0.513333	0.697667	0
1102	11	0.501333	0.505667	0.517667	0.733	0
1102	12	0.500667	0.504333	0.523667	0.731667	0
1102	13	0.501	0.505667	0.516333	0.720333	0
1102	14	0.501333	0.504333	0.519	0.727333	0
1102	15	0.501667	0.503667	0.520667	0.727667	0
1102	16	0.502667	0.503333	0.521333	0.725667	0
1102	17	0.502333	0.505	0.528667	0.751	0
1102	18	0.500667	0.506667	0.519667	0.729	0
1102	19	0.502	0.504	0.521333	0.735667	0
1102	20	0.502	0.505	0.517333	0.732333	0
1102	21	0.501667	0.506667	0.525333	0.748	0
1102	22	0.501	0.505667	0.522333	0.745667	0
1102	23	0.501333	0.506333	0.522333	0.746333	0
1102	24	0.501667	0.505	0.522667	0.746	0
1102	25	0.501667	0.505333	0.522	0.746	0
1102	26	0.501333	0.506333	0.521	0.742667	0
1102	27	0.502	0.507667	0.524667	0.748	0
1102	28	0.502333	0.507	0.519333	0.736667	0
1102	29	0.501667	0.506333	0.527667	0.751667	0
1102	30	0.501333	0.504333	0.512333	0.696333	0
1102	31	0.501	0.504333	0.521333	0.731	0
1102	32	0.503	0.505	0.526	0.749333	0
1102	33	0.500667	0.504	0.515	0.706667	0
1102	34	0.501667	0.507333	0.527667	0.753333	0
1102	35	0.501667	0.504333	0.513667	0.714667	0
1102	36	0.501333	0.503667	0.513	0.71	0
1102	37	0.500667	0.505333	0.522	0.736667	0
1102	38	0.501667	0.507	0.517333	0.733333	0
1102	39	0.501333	0.505	0.518667	0.733667	0
1102	40	0.501667	0.505667	0.518333	0.733667	0
1102	41	0.501333	0.505333	0.519667	0.735333	0
1102	42	0.502	0.504	0.518	0.724	0
1102	43	0.500667	0.505333	0.519667	0.727333	0
1102	44	0.501333	0.503667	0.515	0.713333	0
1102	45	0.501	0.504667	0.518333	0.727	0
1102	46	0.501667	0.507	0.525333	0.748333	0
1102	47	0.501667	0.505	0.520667	0.736333	0
1102	48	0.501	0.505667	0.531667	0.75	0
1102	49	0.501333	0.505667	0.532333	0.750333	0
1102	50	0.501	0.506	0.532	0.751	0
1102	51	0.501667	0.506	0.520333	0.741667	0
1102	52	0.500667	0.504667	0.518667	0.725333	0
1102	53	0.502	0.506	0.527333	0.751667	0
1102	54	0.502	0.505667	0.527667	0.751333	0
1102	55	0.501	0.504333	0.512667	0.696667	0
1102	56	0.502	0.504667	0.529333	0.751333	0
1102	57	0.502333	0.505333	0.527	0.751667	0
1102	58	0.502333	0.506	0.526333	0.750333	0
1102	59	0.501667	0.506667	0.530667	0.752333	0
1102	60	0.501	0.503667	0.523	0.729	1
1102	61	0.501667	0.504667	0.518667	0.731	0
1102	62	0.500667	0.504667	0.519	0.726333	0
1102	63	0.502	0.504	0.519333	0.725667	0
1102	64	0.501667	0.504	0.520333	0.726667	0
1102	65	0.502	0.503667	0.519667	0.727	0
1102	66	0.501333	0.504667	0.520333	0.734333	0
1102	67	0.501	0.507	0.529333	0.748667	0
1102	68	0.501333	0.505667	0.53	0.749667	0
1102	69	0.501	0.506	0.529667	0.75	0
1102	70	0.501333	0.504	0.517333	0.721333	0
1102	71	0.501	0.505	0.515	0.710667	0
1102	72	0.500667	0.504667	0.515	0.709667	0
1102	73	0.501	0.504333	0.513	0.707667	0
1102	74	0.502333	0.506	0.518333	0.735	0
1102	75	0.502333	0.504667	0.517667	0.731333	0
1102	76	0.503	0.505	0.527667	0.750667	0
1102	77	0.501333	0.504333	0.520667	0.733	0
1102	78	0.500333	0.506	0.531	0.749	0
1102	79	0.501	0.505667	0.522	0.744	0
1102	80	0.500667	0.505667	0.522667	0.744	0
1102	81	0.501	0.505333	0.522667	0.744667	0
1102	82	0.501	0.505667	0.523333	0.746	0
1102	83	0.500667	0.505333	0.523333	0.745667	0
1102	84	0.501667	0.506	0.521667	0.745333	0
1102	85	0.501667	0.504667	0.522667	0.743	0
1102	86	0.502333	0.505	0.521667	0.744667	0
1102	87	0.501333	0.506333	0.520333	0.742333	0
1102	88	0.502333	0.507333	0.518667	0.736333	0
1102	89	0.502	0.508	0.519333	0.736	0
1102	90	0.502667	0.508667	0.519667	0.737	0
1102	91	0.502	0.504333	0.512333	0.697333	0
1102	92	0.502	0.507333	0.516667	0.73	0
1102	93	0.501333	0.505333	0.517	0.728	0
1102	94	0.503	0.505667	0.525667	0.748333	0
1102	95	0.502333	0.504667	0.525667	0.747	0
1102	96	0.502333	0.505333	0.526333	0.749333	0
1102	97	0.503667	0.505	0.525667	0.748	0
1102	98	0.502333	0.505333	0.526667	0.750667	0
1102	99	0.501333	0.503667	0.512667	0.709333	0
1102	100	0.500667	0.505	0.522	0.736333	0
1103	1	0.501	0.505333	0.521667	0.743	0
1103	2	0.501333	0.502667	0.511667	0.693	0
1103	3	0.500667	0.503667	0.514	0.735	0
1103	4	0.502	0.504667	0.512333	0.734667	0
1103	5	0.502333	0.506333	0.525333	0.753333	0
1103	6	0.501	0.503	0.516	0.722667	0
1103	7	0.500667	0.505	0.515333	0.736333	0
1103	8	0.502333	0.504333	0.523667	0.75	0
1103	9	0.501667	0.506	0.520667	0.745333	0
1103	10	0.502333	0.507667	0.519333	0.747	0
1103	11	0.501667	0.503333	0.510667	0.695333	0
1103	12	0.501	0.503667	0.512667	0.732	0
1103	13	0.502	0.504	0.513	0.733333	0
1103	14	0.501	0.505	0.513	0.735	0
1103	15	0.500667	0.502667	0.518	0.723667	0
1103	16	0.501	0.506	0.522	0.743333	0
1103	17	0.501	0.504667	0.523	0.744667	0
1103	18	0.500667	0.505667	0.523	0.743667	0
1103	19	0.501667	0.504	0.511333	0.697333	0
1103	20	0.502	0.505333	0.523	0.75	0
1103	21	0.501667	0.505333	0.523667	0.751	0
1103	22	0.502	0.504667	0.523333	0.75	0
1103	23	0.501	0.508667	0.522667	0.748333	0
1103	24	0.501333	0.507	0.521333	0.748	0
1103	25	0.501333	0.508	0.525667	0.753333	0
1103	26	0.501333	0.507667	0.525333	0.752667	0
1103	27	0.500667	0.504	0.516333	0.735667	0
1103	28	0.501	0.507	0.518667	0.744333	0
1103	29	0.501333	0.504667	0.518667	0.742333	0
1103	30	0.501667	0.504333	0.522333	0.744667	0
1103	31	0.501	0.505333	0.524333	0.749	0
1103	32	0.500667	0.507333	0.52	0.744333	0
1103	33	0.501333	0.502667	0.515	0.737667	0
1103	34	0.501333	0.503333	0.514333	0.738	0
1103	35	0.502	0.504	0.523333	0.747	0
1103	36	0.502	0.504	0.517	0.740667	0
1103	37	0.501333	0.504	0.511333	0.696	0
1103	38	0.501333	0.503667	0.511667	0.695667	0
1103	39	0.501667	0.505	0.514667	0.738333	0
1103	40	0.501667	0.504	0.515	0.739	0
1103	41	0.502	0.504	0.508333	0.691333	0
1103	42	0.501	0.504	0.508667	0.690667	0
1103	43	0.502	0.505333	0.512	0.733333	0
1103	44	0.501667	0.504333	0.513333	0.734333	0
1103	45	0.502333	0.504333	0.512667	0.734667	0
1103	46	0.502333	0.506333	0.524333	0.753	0
1103	47	0.501667	0.506667	0.526	0.753333	0
1103	48	0.501333	0.505	0.524667	0.752	0
1103	49	0.501333	0.504667	0.523	0.748333	0
1103	50	0.501333	0.507	0.519	0.745333	0
1103	51	0.503333	0.505	0.511	0.696333	0
