OneWayAcc	TwoWayAcc	FiveWayAcc	ChiMaxs	ChiSums	Best
0.521	0.528667	0.677333	0.137267833125672	0.487850587265471	0
0.523333	0.529667	0.676333	0.0666578373254708	0.129608276972998	0
0.524333	0.531	0.687	0.0665872233633878	0.0956286028888963	0
0.517667	0.522333	0.691	1.77705070416640	4.90008887947466	0
0.518	0.523667	0.689	1.27552310864432	4.21323218976166	0
0.524	0.528333	0.675667	0.0666578373254723	0.215606499432233	0
0.521	0.528333	0.684667	0.266386086662728	0.839961074883252	0
0.520333	0.528	0.685	0.296811494803201	0.903626422652394	0
0.518333	0.522	0.69	1.91517958162099	5.18832385154262	0
0.517333	0.523333	0.69	1.64777015326601	4.65602782169536	0
0.517667	0.524	0.692667	1.52264559435759	4.48650642381647	0
0.524333	0.529667	0.675333	0.0398838092790703	0.101451737905180	0
0.522333	0.529	0.676333	0.170610389132694	0.267817096046984	0
0.522667	0.529667	0.675667	0.170610389132694	0.249046845442658	0
0.523	0.529667	0.677	0.096	0.191863588974761	0
0.523667	0.528	0.683333	0.0959576792566308	0.433315552079387	0
0.523667	0.529	0.683667	0.0956194437977211	0.276370088765084	0
0.523	0.531	0.685	0.0666578373254708	0.190107639108988	0
0.524	0.53	0.681667	0.0424124078528592	0.129105610745278	0
0.514	0.520667	0.687667	2.85700626983149	9.60191915991284	0
0.513667	0.52	0.689	3.04377031552985	10.0200337347652	0
0.514	0.519667	0.69	3.04377031552985	10.6889275460399	0
0.513667	0.52	0.69	3.03757682725565	10.3976852345396	0
0.513667	0.520667	0.69	2.68812089328234	9.94530143137597	0
0.514667	0.520333	0.692	2.71304707196564	9.66121082972045	0
0.513333	0.52	0.691667	2.70892160502945	10.4180129619958	1
0.514	0.521	0.689667	2.55079179951865	9.558678554463	0
0.518333	0.524	0.685667	1.05548172751772	3.48112492491786	0
0.518	0.524	0.687	1.05286617099243	3.71009497979824	0
0.518667	0.524333	0.686667	1.04997886261707	3.47398835825975	0
0.519	0.524667	0.686	1.04682087434988	3.47357659538092	0
0.517333	0.524	0.687	1.14566852221486	3.88095012456949	0
0.517667	0.523667	0.687	1.14566852221486	3.79791622993777	0
0.517333	0.524	0.687667	1.14566852221486	3.88580289309908	0
0.516667	0.523	0.686667	1.25671183506083	4.74694984795867	0
0.517333	0.523	0.688	1.26888655742632	4.65180701640265	0
0.517	0.523	0.685667	1.28520531168236	4.7081974469959	0
0.522333	0.53	0.690333	0.094944735640809	0.340211555572573	0
0.522333	0.529667	0.69	0.129669946734779	0.40617310565929	0
0.523333	0.53	0.687667	0.0659533592230548	0.262250466898981	0
0.523333	0.529667	0.690667	0.0827689864115824	0.316115043423833	0
0.522667	0.528667	0.687667	0.0841517331082759	0.313255658051038	0
0.522667	0.528333	0.687667	0.154780734131337	0.358749339824663	0
0.523	0.529	0.688333	0.0936325863393382	0.285567087537526	0
0.522667	0.529	0.690667	0.0936325863393382	0.364128304440654	0
0.522333	0.528667	0.689333	0.0912199211080457	0.335023203347642	0
0.522667	0.528667	0.689667	0.0959914553687697	0.343917205117639	0
0.522667	0.529333	0.676333	0.170666666666667	0.250076386817931	0
0.523	0.53	0.678333	0.130654338655683	0.210826451209123	0
0.521667	0.530667	0.689333	0.599346837263131	1.19774411065397	0
0.521	0.532333	0.692	0.522275948194486	1.31043166975520	0
