OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
0.501	0.505	0.516667	0.538667	0.659667	0
0.501667	0.505	0.516	0.535667	0.655	0
0.501	0.508333	0.518	0.542333	0.67	0
0.501667	0.506667	0.517	0.541	0.668333	0
0.501667	0.506667	0.517333	0.541	0.669333	0
0.504333	0.509333	0.522	0.551	0.691333	0
0.504667	0.511	0.520667	0.550667	0.689667	0
0.505333	0.509333	0.522	0.550333	0.690667	0
0.504333	0.509	0.520667	0.55	0.689	0
0.504667	0.509	0.520333	0.551333	0.688333	0
0.503333	0.509667	0.520667	0.551333	0.690333	0
0.503667	0.509667	0.520667	0.550333	0.689333	0
0.503667	0.510333	0.521	0.55	0.689	0
0.504	0.509667	0.52	0.549333	0.688667	0
0.504	0.508333	0.521333	0.550333	0.688	0
0.504	0.508333	0.522	0.552333	0.689	0
0.503667	0.508	0.519333	0.549333	0.687	0
0.503333	0.508333	0.520333	0.551	0.686667	0
0.504	0.509	0.520667	0.551	0.688667	0
0.504	0.508667	0.521	0.550667	0.688667	0
0.503	0.508667	0.520333	0.549667	0.687	0
0.504333	0.509	0.520667	0.551667	0.689333	0
0.503667	0.508667	0.522333	0.549	0.687333	0
0.503	0.508333	0.521	0.549333	0.686667	0
0.502667	0.509333	0.522	0.551333	0.688667	0
0.502667	0.509	0.521333	0.551	0.687667	0
0.503	0.508667	0.522667	0.552	0.688	0
0.502	0.509333	0.521333	0.550333	0.688	0
0.502	0.509333	0.522	0.549333	0.686333	0
0.502	0.509	0.522	0.552333	0.689	0
0.502333	0.508	0.521	0.551	0.686	0
0.502	0.508333	0.521	0.551333	0.684667	0
0.501333	0.506667	0.519667	0.546667	0.681	0
0.501	0.506667	0.519	0.548	0.681667	0
0.501333	0.507667	0.518667	0.547667	0.680333	0
0.502	0.507667	0.518667	0.547333	0.683333	0
0.502	0.508333	0.519667	0.547667	0.684333	0
0.501667	0.506333	0.518333	0.548	0.683333	0
0.501	0.506333	0.518333	0.548667	0.681667	0
0.501333	0.506667	0.52	0.548667	0.684	0
0.501667	0.506333	0.519	0.547	0.683	1
0.502	0.508333	0.519	0.545333	0.681	0
0.502333	0.508333	0.520667	0.546333	0.682	0
0.501667	0.507	0.519	0.546667	0.677	0
0.501667	0.507333	0.519333	0.545667	0.676	0
0.502	0.507333	0.518667	0.545667	0.676333	0
0.501667	0.508333	0.520333	0.545	0.677	0
0.501667	0.507667	0.518667	0.545667	0.678333	0
0.503333	0.509	0.519667	0.546333	0.682	0
0.503667	0.509333	0.519333	0.546667	0.682667	0
0.501667	0.506	0.519	0.550667	0.672333	0
0.501667	0.506	0.518667	0.55	0.671667	0
0.501333	0.506	0.519333	0.549667	0.671667	0
0.501667	0.506333	0.518	0.550667	0.673333	0
0.501333	0.506333	0.518	0.551	0.672667	0
0.502	0.506333	0.517667	0.550667	0.675	0
0.502667	0.506	0.518	0.548333	0.671333	0
0.502667	0.511	0.519333	0.542667	0.674333	0
0.503	0.51	0.519	0.542	0.674333	0
0.503	0.509667	0.518	0.543	0.674333	0
0.502	0.510333	0.519667	0.544	0.674333	0
0.502333	0.51	0.52	0.544	0.674667	0
0.503	0.508667	0.519333	0.543667	0.674667	0
0.501333	0.506667	0.517333	0.537667	0.666667	0
0.501333	0.506667	0.516667	0.539333	0.668	0
0.501333	0.506667	0.516333	0.538333	0.665667	0
0.501333	0.505333	0.515	0.539667	0.660667	0
0.501	0.507333	0.515667	0.541	0.662333	0
0.501	0.506	0.515667	0.539667	0.662	0
0.501	0.506333	0.515	0.539667	0.661333	0
0.501333	0.506	0.514667	0.538333	0.659333	0
0.503	0.506	0.515	0.536	0.660333	0
0.502667	0.506	0.515667	0.536667	0.659667	0
0.502	0.506	0.515667	0.537	0.659667	0
0.502	0.505667	0.517	0.537	0.660667	0
0.501667	0.506	0.516	0.536333	0.659333	0
0.502	0.505667	0.518333	0.537333	0.665	0
0.502	0.506	0.517	0.537	0.665667	0
0.501	0.506667	0.519	0.545667	0.668667	0
0.500667	0.506667	0.518333	0.545667	0.667667	0
0.501333	0.506	0.518	0.543	0.668	0
0.502	0.506333	0.516333	0.542333	0.667667	0
0.502	0.506333	0.516667	0.542	0.668	0
0.501667	0.507	0.515667	0.540667	0.666667	0
0.502667	0.507333	0.515667	0.535667	0.658333	0
0.501667	0.506667	0.516	0.536	0.661	0
0.501	0.506667	0.517	0.537	0.661333	0
0.501667	0.507	0.515	0.537	0.662333	0
0.501667	0.506333	0.515667	0.537	0.662667	0
0.502333	0.505667	0.515333	0.538	0.661333	0
0.501333	0.506667	0.515667	0.536333	0.659667	0
0.501333	0.506667	0.515333	0.537333	0.661333	0
0.502	0.506	0.514333	0.537333	0.661	0
0.503	0.507667	0.516333	0.536333	0.664	0
0.501667	0.507333	0.516333	0.538	0.665667	0
0.502	0.507	0.515667	0.537	0.665	0
0.502	0.507333	0.515333	0.537667	0.665	0
0.501	0.505333	0.516	0.537667	0.659	0
0.501	0.507667	0.52	0.545	0.671333	0
0.501667	0.508	0.521333	0.542	0.673667	0
