Set_Number	OneWayAcc	TwoWayAcc	FourWayAcc	ChiMaxs	ChiSums
501	0.508667	0.514	0.678	1.51952096683791	4.12425824638178
502	0.505667	0.511	0.664	2.97186882495869	8.56325486745776
503	0.503667	0.509667	0.681667	2.86324454589379	10.2184981087289
504	0.508333	0.514333	0.660667	1.4074579458147	4.77153892805674
505	0.511333	0.519667	0.658333	1.88113173887083	4.4357460033258
506	0.504	0.507	0.682333	6.36680383318215	15.524922650431
507	0.504	0.507667	0.667667	3.420985624442	10.6103855349822
508	0.510667	0.515333	0.674667	0.596841863339501	1.63376474889297
509	0.506	0.513	0.673	2.08990002099092	6.92213581796498
510	0.508	0.513667	0.683333	1.66318835807295	4.80934484187883
511	0.505	0.51	0.676	1.03150715404488	2.48426027667525
512	0.504667	0.510333	0.663333	3.84835819714378	11.338843199938
513	0.506333	0.511667	0.669333	1.45701416105524	4.01846602541327
514	0.503333	0.509333	0.695	4.68597100948211	13.9298881891059
515	0.506333	0.515333	0.679	0.819461304665573	2.08986948217405
516	0.51	0.516	0.664333	1.65701305270708	4.35783049232102
517	0.509333	0.516	0.663	0.918097078101314	2.59381803368172
518	0.507667	0.513667	0.670333	2.39263239114584	5.53690399685629
519	0.509667	0.515333	0.668667	1.29005931218573	2.97256921804363
520	0.504	0.509	0.687333	1.36103095458146	3.04412265326187
521	0.509	0.512667	0.670333	1.66318835807295	4.28273014763109
522	0.509	0.516	0.673333	1.53533924504348	5.0571074624495
523	0.509333	0.514333	0.677	3.61167750512031	8.36668004597557
524	0.508667	0.514	0.671667	3.20235718224769	8.97547253006648
525	0.509	0.514667	0.680333	1.17567342936862	3.93911587951924
526	0.510667	0.516	0.684667	0.962633744859437	2.50853943975341
527	0.506667	0.514667	0.674	5.89058834748478	19.748869387157
528	0.506667	0.512667	0.68	0.556842331221964	1.68227900125842
529	0.508333	0.512	0.674667	2.08894189627257	4.79103283207098
530	0.504667	0.510333	0.670667	2.7287063685719	7.34581858472922
531	0.512	0.516333	0.666333	0.962370389614384	1.98957687940167
532	0.509	0.514333	0.677667	2.56007843805409	8.00891809121256
533	0.505	0.510333	0.670667	1.04997886261707	3.51786389808203
534	0.508	0.514667	0.669	2.73044882410571	7.34575026667364
535	0.506333	0.512667	0.664667	4.30468325482648	9.9985810736377
536	0.510333	0.517	0.674667	1.01724753726374	2.79571878053915
537	0.507333	0.513	0.690333	1.70122585735793	6.01056192801127
538	0.506667	0.514333	0.673333	3.08243585339181	6.41713197806037
539	0.504333	0.51	0.669667	2.7304488241057	9.09031894413276
540	0.508333	0.515	0.678333	2.08377152488672	7.50532389842469
541	0.505667	0.510333	0.677	4.68118718884128	10.5663664523129
542	0.514	0.52	0.676667	1.4074579458147	4.61466227143847
543	0.506667	0.510667	0.679	2.72979534391427	10.0751663363747
544	0.507333	0.514667	0.672	1.53005798515498	3.44009230490647
545	0.507	0.517	0.671667	1.53451348803877	2.99886968843367
546	0.505	0.512	0.677333	2.39672422533528	8.02662783585419
547	0.508667	0.514667	0.675	2.55079179951865	6.84693558346325
548	0.507333	0.515333	0.672333	6.6547245881562	17.1473138006196
549	0.506	0.51	0.662333	1.06652824128223	2.43729073357153
550	0.504333	0.508333	0.667333	1.92364361839972	6.1027186683033
551	0.504	0.509333	0.678667	1.28930030794645	4.43389176071518
552	0.507667	0.513333	0.673667	2.39263239114584	6.76292385478729
553	0.508	0.511667	0.662	1.27552310864432	3.57538491798445
554	0.501333	0.507667	0.669	4.04489874004256	13.4290411583699
555	0.506	0.511333	0.677667	4.92483119212991	13.3717277570788
556	0.506	0.511	0.679	2.90349525191556	6.63084630550823
557	0.505667	0.511	0.668333	2.9025980203384	8.56184546501954
558	0.510333	0.516	0.680333	1.93064867730471	3.81123257672568
559	0.508	0.512333	0.673667	1.64401143123956	5.52490276758483
560	0.502333	0.507667	0.682667	2.5474186640414	7.15879917273123
561	0.507333	0.511	0.643	1.25671183506083	3.34522008292721
562	0.506	0.511667	0.665	2.23152794994137	6.30221978846501
563	0.505667	0.512667	0.667333	3.07436231645058	11.393764251959
564	0.509667	0.516333	0.682667	2.87931420455646	6.58061730412313
565	0.505	0.510333	0.675333	2.37527786326185	5.67773649417094
566	0.506667	0.512	0.665333	0.860879483883253	2.1268710562299
567	0.509667	0.516667	0.680667	1.27552310864432	4.15422717775247
568	0.504	0.508667	0.664667	3.23535518402578	7.85536489994245
569	0.504	0.511333	0.678667	2.22836426333022	5.50277830322324
570	0.504333	0.51	0.658	3.87324561400748	9.98339651678828
571	0.503667	0.512333	0.652667	2.21178878607028	6.83310810241098
572	0.508667	0.515	0.675	1.53187245971124	4.63258397726867
573	0.505667	0.512	0.672333	2.08894189627257	7.57853235854622
574	0.508333	0.513667	0.658333	1.53533924504348	3.84718886026266
575	0.503333	0.508333	0.677667	2.26338998603687	7.43739781075152
576	0.510667	0.518667	0.683	2.24142777219229	6.33683567050336
577	0.503667	0.513	0.665	6.79457540885611	21.2583308612402
578	0.512	0.516333	0.664333	1.40176200505005	4.22385434221461
579	0.501667	0.509667	0.67	3.26613281967696	11.9115823912277
580	0.504	0.510667	0.684667	4.83244829282406	14.8581134928391
581	0.506	0.511333	0.674333	6.42663312946241	15.2881097516098
582	0.506667	0.513667	0.664	1.66456210043388	5.77570340309687
583	0.505667	0.511667	0.667333	0.957110458601032	2.92067691726808
584	0.507333	0.514333	0.663667	0.95527271165627	2.81293570172502
585	0.507	0.513333	0.678333	0.516432039479426	1.60133568471322
586	0.506667	0.512	0.676	2.23667334269392	5.84554452780275
587	0.506	0.513	0.677	1.05548172751772	3.26159690410731
588	0.507333	0.514	0.671	0.953174480059498	2.49703492845051
589	0.508667	0.521667	0.671333	1.9428433592422	4.56409103545418
590	0.506333	0.514	0.673667	5.8561716849965	14.1563889150623
591	0.507667	0.513	0.670667	1.16987486378689	2.86341080820401
592	0.505667	0.512667	0.666	1.93360170100418	5.97739302397753
593	0.510667	0.514667	0.677667	0.680886170158634	2.0452898365409
594	0.511667	0.521	0.682667	1.32438817571732	3.35603795896572
